Ivy Williamson [3422]: (-0.520921273393178, 0.6637784162503207) -- 1
James Houlihan [1537]: (-0.520921273393178, 0.6637784162503207) -- 1
Harold White [3366]: (-0.5185243414660446, 0.666175348177454) -- 1
Willie Coward [676]: (-0.517431278046505, 0.6672684115969937) -- 1
Howard Flack [1063]: (-0.5164877758562321, 0.6682119137872666) -- 1
Dutch Thiele [3139]: (-0.5149688924407969, 0.6697307972027018) -- 1
Frank Donlon [849]: (-0.5148304649767881, 0.6698692246667106) -- 1
J.E Barnes [143]: (-0.5145055334445039, 0.6701941561989948) -- 1
Donald Warnke [3305]: (-0.5135619660338706, 0.6711377236096281) -- 1
Ewing Freeland [1116]: (-0.5134024764006967, 0.671297213242802) -- 1
Irving Barron [156]: (-0.5107171917605249, 0.6739824978829738) -- 1
Jack Vowell [3262]: (-0.509016511488416, 0.6756831781550827) -- 1
Jimmie Powers [2573]: (-0.509016511488416, 0.6756831781550827) -- 1
Earl Krieger [1809]: (-0.508517509492408, 0.6761821801510907) -- 1
Arthur Conrad [639]: (-0.5084788770798139, 0.6762208125636848) -- 1
Fred Murray [2319]: (-0.5075013599732645, 0.6771983296702342) -- 1
Chili Cochrane [594]: (-0.506460274269602, 0.6782394153738966) -- 1
Ed Visscher [3256]: (-0.5058836794082155, 0.6788160102352832) -- 1
Whitey Piro [2540]: (-0.503064130536035, 0.6816355591074637) -- 1
Meredith Smith [2968]: (-0.5028436719822432, 0.6818560176612555) -- 1
Steve O'Rourke [2413]: (-0.5025294855403122, 0.6821702041031865) -- 1
Whitelaw Morrison [2282]: (-0.4983901132781252, 0.6863095763653735) -- 1
C.A. Reed [2649]: (-0.49814694627102474, 0.686552743372474) -- 1
Millard Anderson [70]: (-0.49654146158821644, 0.6881582280552823) -- 1
H.F. Tuttle [3211]: (-0.49579812068381834, 0.6889015689596804) -- 1
S.H. Hubbard [1546]: (-0.4955756512733622, 0.6891240383701365) -- 1
Charles Cummings [714]: (-0.49538014785205237, 0.6893195417914463) -- 1
Zac Roman [2754]: (-0.49234984482174937, 0.6923498448217493) -- 1
E.T. MacDonnell [1973]: (-0.49167870388215207, 0.6930209857613466) -- 1
Art Quinlan [2609]: (-0.4915746510232997, 0.6931250386201989) -- 1
Chris Collins [616]: (-0.4906056587752377, 0.6940940308682609) -- 1
Greg Herenda [1438]: (-0.4906056587752377, 0.6940940308682609) -- 1
Check Byrd [445]: (-0.4905534376361206, 0.6941462520073781) -- 1
Bebe Benson [217]: (-0.4893195417914463, 0.6953801478520524) -- 1
Joseph Bean [179]: (-0.4852069876788922, 0.6994927019646064) -- 1
A.L. Burkeholder [425]: (-0.4845654136840248, 0.7001342759594739) -- 1
Arthur Kiefaber [1757]: (-0.4836541926478363, 0.7010454969956624) -- 1
W.F. McAvoy [2057]: (-0.4832589357308403, 0.7014407539126585) -- 1
E.D. Sandborn [2810]: (-0.48050773955859144, 0.7041919500849072) -- 1
Charles Rhodes [2681]: (-0.47992380931879075, 0.704775880324708) -- 1
B.C. Cubbage [713]: (-0.47925460672651127, 0.7054450829169875) -- 1
Archer Reilly [2665]: (-0.47670358631834797, 0.7079961033251507) -- 1
O.F. Field [1036]: (-0.4764078158362421, 0.7082918738072566) -- 1
Chester Roberts [2718]: (-0.4739287921901704, 0.7107708974533283) -- 1
Steve Antrim [78]: (-0.4728959199070736, 0.7118037697364251) -- 1
Emory Bauer [172]: (-0.4725893657798332, 0.7121103238636655) -- 1
Bud Moore [2258]: (-0.471867917110906, 0.7128317725325928) -- 1
William Hayward [1409]: (-0.4715444756942326, 0.7131552139492662) -- 1
James Gordon [1229]: (-0.46965045831868185, 0.7150492313248168) -- 1
Jerry Oliver [2428]: (-0.4685874685841256, 0.7161122210593731) -- 1
Mush Torson [3184]: (-0.4658438207253638, 0.7188558689181349) -- 1
Lonnie Noojin [2374]: (-0.4648330662982594, 0.7198666233452393) -- 1
Kenneth Hunter [1569]: (-0.4638582247100175, 0.7208414649334812) -- 1
Pete Cawthon [531]: (-0.4613974638693684, 0.7233022257741303) -- 1
Andrew Greer [1266]: (-0.46093958841149296, 0.7237601012320057) -- 1
Ed Freeman [1120]: (-0.45901651148841605, 0.7256831781550827) -- 1
Marcus Jackson [1604]: (-0.45732874777533583, 0.7273709418681629) -- 1
J.J. Tigert [3172]: (-0.4568659738540074, 0.7278337157894913) -- 1
Jack Murdock [2308]: (-0.45648027960435805, 0.7282194100391406) -- 1
Nathan Dougherty [861]: (-0.45441881033899073, 0.7302808793045079) -- 1
F.E. Ellis [964]: (-0.45295590542780995, 0.7317437842156888) -- 1
Lou Rocheleau [2739]: (-0.4529267678986724, 0.7317729217448263) -- 1
Venty Leib [1886]: (-0.4528149611008191, 0.7318847285426796) -- 1
John Murray [2320]: (-0.4514102475063131, 0.7332894421371856) -- 1
Florence Harvey [1387]: (-0.4494927019646065, 0.7352069876788923) -- 1
David Spencer [2994]: (-0.4459323993388833, 0.7387672903046154) -- 1
Darrell Hawkins [1396]: (-0.4459323993388833, 0.7387672903046154) -- 1
Seattle_UNKNOWN_COACH: (-0.4447307972027017, 0.739968892440797) -- 1
R.N. Blackwell [257]: (-0.4426492460193542, 0.7420504436241445) -- 1
John Jeffries [1626]: (-0.4404511106445341, 0.7442485789989646) -- 1
Hiram Wilson [3432]: (-0.4401759317782711, 0.7445237578652276) -- 1
David Satterfield [2817]: (-0.4379874287143668, 0.7467122609291319) -- 1
Lana Sims [2933]: (-0.4366612220672583, 0.7480384675762404) -- 1
