Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
UCLA,Tommy Prothro [1497],,72,49,60,98,80,37,69,142
Wake Forest,William Tate [1811],,117,49,94,98,61,37,109,142
Tampa,Tampa_UNKNOWN_COACH,,70,49,91,98,97,37,12,142
William & Mary,Marv Levy [1093],,90,49,81,98,95,37,89,142
New Mexico,Rudy Feldman [604],,78,49,0,98,92,37,86,142
Dartmouth,Bob Blackman [146],,109,49,88,98,105,37,101,142
West Texas A&M,Joe Kerbel [992],,60,49,63,98,77,37,28,142
Southern Mississippi,Pie Vann [1887],,64,49,77,98,95,37,91,142
California,Ray Willsey [1992],,42,49,33,98,12,37,29,142
Cincinnati,Homer Rice [1545],,68,49,49,98,72,37,16,142
Tennessee,Doug Dickey [476],,16,49,11,98,7,37,15,142
Memphis,Billy Murphy [1329],,57,49,40,98,46,37,62,142
Yale,Carmen Cozza [377],,2,49,53,98,1,37,1,142
Mississippi,John Vaught [1889],,17,49,13,98,16,37,59,142
Purdue,Jack Mollenkopf [1289],,18,49,19,98,20,37,22,142
Clemson,Frank Howard [888],,114,49,64,98,38,37,94,142
Virginia Tech,Jerry Claiborne [311],,50,49,18,98,35,37,7,142
Wyoming,Lloyd Eaton [544],,54,49,39,98,67,37,32,142
Kansas State,Vince Gibson [686],,49,49,42,98,27,37,88,142
Kansas,Pepper Rodgers [1572],,12,49,17,98,25,37,30,142
Penn State,Joe Paterno [1433],,1,49,7,98,1,37,3,142
Furman,Robert King [1016],,103,49,0,98,112,37,81,142
Northern Illinois,Northern Illinois_UNKNOWN_COACH,,102,49,89,98,102,37,82,142
Buffalo,Doc Urich [1874],,94,49,95,98,99,37,42,142
Cornell,Jack Musick [1337],,111,49,69,98,112,37,111,142
Louisville,Frank Camp [250],,101,49,97,98,112,37,17,142
Missouri,Dan Devine [469],,29,49,15,98,26,37,61,142
East Carolina,Clarence Stasavich [1737],,91,49,92,98,99,37,96,142
Oregon,Jerry Frei [653],,47,49,73,98,72,37,95,142
Miami (OH),Bo Schembechler [1631],,69,49,48,98,87,37,20,142
Pacific,Pacific_UNKNOWN_COACH,,66,49,52,98,86,37,44,142
Bowling Green State,Don Nehlen [1352],,85,49,66,98,105,37,9,142
Vanderbilt,Bill Pace [1417],,23,49,51,98,29,37,10,142
Marshall,Perry Moss [1319],,106,49,0,98,118,37,108,142
Wisconsin,John Coatta [322],,77,49,0,98,80,37,68,142
Colorado State,Milo Lude [1125],,67,49,109,98,87,37,97,142
Colgate,Neil Wheelwright [1957],,113,49,98,98,118,37,106,142
Duke,Tom Harp [782],,115,49,67,98,50,37,98,142
Brigham Young,Tommy Hudspeth [896],,71,49,103,98,90,37,119,142
Washington,Jim Owens [1414],,74,49,84,98,77,37,76,142
Illinois,James Valek [1877],,30,49,110,98,58,37,100,142
Arizona State,Frank Kush [1054],,43,49,54,98,61,37,25,142
Rutgers,John Bateman [92],,31,49,78,98,12,37,35,142
Kent State,Dave Puddington [1499],,105,49,111,98,115,37,79,142
Princeton,Richard Colman [345],,108,49,79,98,16,37,102,142
Arizona,Darrell Mudra [1323],,44,49,38,98,65,37,24,142
Kentucky,Charley Bradshaw [177],,38,49,22,98,38,37,117,142
Air Force,Ben Martin [1157],,45,49,47,98,66,37,43,142
Georgia,Vince Dooley [509],,9,49,8,98,12,37,47,142
Utah,Bill Meek [1246],,59,49,99,98,77,37,75,142
Nebraska,Bob Devaney [468],,32,49,30,98,29,37,48,142
Syracuse,Ben Schwartzwalder [1644],,53,49,72,98,46,37,41,142
Army,Thomas Cahill [236],,24,49,36,98,7,37,56,142
Wichita State,Eddie Kriwiel [1046],,104,49,0,98,115,37,105,142
South Carolina,Paul Dietzel [483],,116,49,62,98,58,37,71,142
Baylor,John Bridgers [186],,62,49,6,98,38,37,70,142
Florida State,Bill Peterson [1453],,52,49,20,98,38,37,54,142
Alabama,Bear Bryant [215],,22,49,12,98,27,37,63,142
Florida,Ray Graves [722],,35,49,26,98,32,37,60,142
Tulsa,Glenn Dobbs [487],,92,49,82,98,67,37,65,142
Oregon State,Dee Andros [41],,39,49,27,98,58,37,57,142
Texas Tech,J. King [1013],,13,49,2,98,42,37,40,142
Miami (FL),Charlie Tate [1810],,36,49,34,98,34,37,58,142
San Jose State,Harry Anderson [36],,76,49,105,98,87,37,64,142
Navy,William Elias [552],,79,49,87,98,67,37,93,142
Maryland,Robert Ward [1923],,118,49,85,98,54,37,66,142
New Mexico State,Jim Wood [2012],,61,49,96,98,80,37,92,142
Boston College,Joseph Yukica [2045],,28,49,68,98,54,37,8,142
West Virginia,Jim Carlen [264],,51,49,35,98,42,37,6,142
Ohio,Bill Hess [834],,11,49,25,98,1,37,14,142
Idaho,Y.C. McNease [1234],,75,49,74,98,85,37,116,142
Virginia,George Blackburn [144],,83,49,65,98,46,37,18,142
Texas,Darrell Royal [1597],,7,49,1,98,1,37,13,142
Dayton,John McVay [1238],,98,49,71,98,108,37,115,142
Texas-El Paso,Robert Dobbs [488],,55,49,93,98,72,37,84,142
Northwestern,Alex Agase [7],,40,49,112,98,61,37,72,142
Southern California,John McKay [1215],,4,49,14,98,7,37,5,142
Oklahoma State,Phil Cutchin [425],,33,49,41,98,32,37,73,142
Washington State,Jim Sweeney [1799],,73,49,80,98,83,37,114,142
Virginia Military Institute,Vito Ragazzo [1510],,95,49,107,98,105,37,99,142
Harvard,John Yovicsin [2044],,5,49,55,98,1,37,4,142
Auburn,Ralph Jordan [970],,34,49,9,98,29,37,27,142
Villanova,John Gregory [729],,93,49,76,98,97,37,104,142
North Carolina State,Earle Edwards [549],,82,49,56,98,42,37,31,142
Michigan,Bump Elliott [556],,14,49,31,98,16,37,26,142
Pennsylvania,Robert Odell [1395],,6,49,70,98,7,37,23,142
Colorado,Eddie Crowder [402],,46,49,43,98,67,37,113,142
Louisiana State,Charles McClendon [1189],,37,49,24,98,35,37,34,142
Arkansas,Frank Broyles [211],,8,49,3,98,7,37,37,142
Tulane,Jim Pittman [1470],,87,49,83,98,50,37,80,142
Holy Cross,Tom Boisture [160],,107,49,102,98,102,37,118,142
Southern Methodist,Hayden Fry [657],,10,49,5,98,12,37,38,142
North Texas,Rod Rust [1604],,15,49,57,98,50,37,36,142
Rice,Bo Hagan [747],,81,49,0,98,54,37,103,142
Stanford,John Ralston [1514],,41,49,29,98,61,37,33,142
Columbia,Frank Navarro [1347],,110,49,100,98,108,37,112,142
Western Michigan,Bill Doolittle [510],,100,49,108,98,108,37,77,142
Toledo,Frank Lauterbur [1072],,99,49,46,98,92,37,46,142
Richmond,Frank Jones [960],,84,49,16,98,94,37,50,142
Iowa,Ray Nagel [1345],,26,49,45,98,54,37,21,142
Brown,Leonard Jardine [935],,112,49,101,98,115,37,78,142
Michigan State,Duffy Daugherty [437],,20,49,32,98,22,37,19,142
Georgia Tech,Bud Carson [271],,86,49,44,98,35,37,85,142
Indiana,John Pont [1482],,19,49,28,98,21,37,51,142
Texas Christian,Fred Taylor [1814],,88,49,58,98,50,37,74,142
Notre Dame,Ara Parseghian [1430],,21,49,37,98,23,37,49,142
Pittsburgh,Dave Hart [793],,80,49,104,98,83,37,87,142
Minnesota,Murray Warmath [1925],,27,49,21,98,19,37,45,142
Houston,Bill Yeoman [2035],,56,49,23,98,42,37,39,142
Citadel,Red Parker [1426],,89,49,86,98,102,37,11,142
Ohio State,Woody Hayes [812],,3,49,4,98,1,37,2,142
Mississippi State,Charles Shira [1680],,65,49,113,98,99,37,110,142
Oklahoma,Chuck Fairbanks [589],,25,49,10,98,24,37,55,142
Davidson,Homer Smith [1704],,96,49,106,98,108,37,90,142
North Carolina,Bill Dooley [507],,119,49,50,98,67,37,107,142
Iowa State,Johnny Majors [1142],,48,49,75,98,72,37,67,142
Utah State,Chuck Mills [1278],,58,49,59,98,72,37,53,142
Xavier,Edward Biles [139],,97,49,61,98,90,37,52,142
Texas A&M,Gene Stallings [1732],,63,49,90,98,46,37,83,142
