Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Syracuse,Syracuse_UNKNOWN_COACH,,24,6,9,27,24,6,11,49
Army,Charles Daly [430],,27,6,28,27,38,6,44,49
South Carolina,N.B. Edgerton [545],,48,6,38,27,58,6,40,49
Wake Forest,W.C. Smith [1712],,69,6,0,27,77,6,60,49
West Virginia Wesleyan,West Virginia Wesleyan_UNKNOWN_COACH,,39,6,0,27,44,6,54,49
Lafayette,Wilmer Crowell [405],,32,6,52,27,24,6,69,49
Colorado Mines,William Hanley [767],,71,6,25,27,24,6,14,49
Baylor,Bubs Mosley [1317],,44,6,30,27,38,6,37,49
Washington & Lee,Jogger Elcock [551],,17,6,36,27,9,6,39,49
Lehigh,Tom Keady [977],,33,6,65,27,44,6,76,49
Dartmouth,Frank Cavanaugh [285],,31,6,62,27,24,6,36,49
Alabama,Thomas Kelley [983],,42,6,27,27,24,6,34,49
Florida,Florida_UNKNOWN_COACH,,45,6,47,27,44,6,67,49
Wofford,Harvey Hester [836],,87,6,61,27,85,6,81,49
Sewanee,Harris Cope [359],,43,6,20,27,31,6,29,49
Tennessee,Zora Clevenger [321],,68,6,0,27,81,6,63,49
Navy,Jonas Ingram [919],,55,6,51,27,68,6,85,49
Presbyterian,Walter Johnson [955],,86,6,48,27,62,6,58,49
Carlisle,Choc Kelly [987],,40,6,0,27,50,6,83,49
Southwestern (TX),Southwestern (TX)_UNKNOWN_COACH,,84,6,0,27,85,6,53,49
Colorado College,C.J. Rothget [1592],,72,6,31,27,9,6,26,49
West Virginia,Sol Metzger [1256],,38,6,55,27,38,6,21,49
Virginia,Harry Varner [1888],,18,6,3,27,17,6,43,49
Washington & Jefferson,Bob Folwell [638],,13,6,32,27,9,6,42,49
Yale,Frank Hinkey [850],,29,6,13,27,38,6,80,49
Mississippi,Fred Robbins [1555],,54,6,0,27,62,6,62,49
Clemson,Bob Williams [1982],,67,6,49,27,77,6,84,49
Texas,Dave Allerdice [21],,41,6,11,27,17,6,19,49
Purdue,Andy Smith [1697],,60,6,56,27,62,6,77,49
Virginia Tech,Branch Bocock [158],,59,6,53,27,71,6,50,49
Drake,John Griffith [733],,79,6,41,27,77,6,51,49
Wyoming,John Corbett [360],,76,6,0,27,44,6,82,49
Kansas State,John Bender [114],,7,6,0,27,17,6,52,49
Northwestern,Fred Murphy [1330],,65,6,0,27,71,6,74,49
Kansas,Herman Olcott [1401],,6,6,43,27,9,6,13,49
Oklahoma State,John Griffith [734],,82,6,0,27,77,6,88,49
Virginia Military Institute,Frank Gorton [712],,66,6,57,27,74,6,18,49
Harvard,Percy Haughton [805],,9,6,2,27,9,6,33,49
Auburn,Mike Donahue [500],,22,6,12,27,31,6,25,49
Penn State,Dick Harlow [779],,14,6,37,27,17,6,10,49
Furman,W.B. Bible [133],,78,6,46,27,81,6,9,49
North Carolina State,Jack Hegarty [820],,53,6,58,27,62,6,78,49
Michigan,Fielding Yost [2036],,28,6,0,27,31,6,68,49
Pennsylvania,George Brooke [193],,37,6,39,27,31,6,86,49
Louisiana State,E.T. McDonald [1199],,49,6,18,27,50,6,38,49
Colorado,Fred Folsom [637],,75,6,68,27,38,6,48,49
Tulane,Clark Shaughnessy [1659],,56,6,0,27,62,6,87,49
Arkansas,T.T. McConnell [1191],,63,6,0,27,54,6,64,49
Rice,Phillip Arbuckle [45],,47,6,17,27,44,6,41,49
Newberry,William Shaw [1664],,85,6,63,27,87,6,66,49
Cornell,Cornell_UNKNOWN_COACH,,4,6,1,27,1,6,1,49
Missouri,Henry Schulte [1642],,81,6,54,27,74,6,79,49
Chicago,Amos Alonzo Stagg [1730],,15,6,24,27,9,6,46,49
Iowa,Jesse Hawley [808],,61,6,0,27,68,6,70,49
Brown,Edward Robinson [1561],,26,6,44,27,31,6,35,49
Georgia Tech,John Heisman [821],,11,6,6,27,1,6,2,49
Cumberland,Cumberland_UNKNOWN_COACH,,88,6,0,27,87,6,65,49
Indiana,Clarence Childs [298],,64,6,69,27,68,6,49,49
Texas Christian,Ewing Freeland [650],,83,6,66,27,81,6,71,49
Notre Dame,Jesse Harper [783],,8,6,10,27,9,6,27,49
Georgetown,Georgetown_UNKNOWN_COACH,,34,6,22,27,44,6,47,49
Vanderbilt,Dan McGugin [1210],,21,6,14,27,24,6,45,49
Pittsburgh,Pop Warner [1926],,1,6,8,27,1,6,3,49
Wisconsin,William Juneau [972],,16,6,35,27,17,6,72,49
Colorado State,Harry Hughes [900],,10,6,7,27,1,6,4,49
Colgate,Laurence Bankart [73],,25,6,23,27,31,6,15,49
Minnesota,Henry Williams [1985],,5,6,19,27,1,6,6,49
Illinois,Robert Zuppke [2053],,12,6,21,27,1,6,8,49
Mississippi College,Dana Bible [132],,52,6,64,27,58,6,55,49
Haskell,Haskell_UNKNOWN_COACH,,62,6,70,27,62,6,75,49
Citadel,George Rogers [1576],,46,6,40,27,54,6,73,49
Ohio State,John Wilce [1977],,19,6,59,27,24,6,17,49
Bucknell,George Johnson [951],,58,6,71,27,71,6,56,49
Mississippi State,E.C. Hayes [810],,50,6,16,27,54,6,16,49
Oklahoma,Bennie Owen [1412],,2,6,15,27,1,6,7,49
Gettysburg,Gettysburg_UNKNOWN_COACH,,70,6,0,27,74,6,57,49
Princeton,John Rush [1600],,30,6,4,27,17,6,22,49
Davidson,William Fetzer [617],,36,6,42,27,54,6,12,49
North Carolina,T.C. Trenchard [1861],,35,6,33,27,50,6,20,49
Denver,John Fike [620],,74,6,60,27,31,6,59,49
Kentucky,J.J. Tigert [1838],,51,6,50,27,58,6,30,49
Iowa State,Iowa State_UNKNOWN_COACH,,20,6,45,27,9,6,31,49
Utah State,Utah State_UNKNOWN_COACH,,77,6,72,27,50,6,61,49
Georgia,W.A. Cunningham [416],,23,6,34,27,38,6,28,49
Utah,Nelson Norgren [1373],,73,6,26,27,17,6,24,49
Washington (MO),W.P. Edmunds [546],,80,6,67,27,81,6,23,49
Nebraska,Jumbo Stiehm [1755],,3,6,5,27,1,6,5,49
Texas A&M,E.H. Harlan [778],,57,6,29,27,58,6,32,49
