Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Rice,Ken Hatfield [803],,80,95,37,131,95,66,26,198
Stanford,Tyrone Willingham [1991],,10,95,6,131,29,66,3,198
Western Michigan,Gary Darnell [434],,95,95,71,131,95,66,75,198
Toledo,Tom Amstutz [30],,89,95,36,131,64,66,44,198
Iowa,Kirk Ferentz [610],,65,95,41,131,46,66,47,198
Michigan State,Bobby Williams [1983],,70,95,27,131,1,66,42,198
Georgia Tech,Mac McWhorter [1240],George O'Leary [1390],58,95,13,131,16,66,54,198
Indiana,Cam Cameron [249],,67,95,55,131,52,66,84,198
Texas Christian,Gary Patterson [1434],,108,95,44,131,90,66,53,198
Notre Dame,Bob Davie [440],,23,95,67,131,37,66,112,198
Central Michigan,Mike DeBord [453],,97,95,102,131,99,66,117,198
Pittsburgh,Walt Harris [789],,26,95,59,131,42,66,50,198
Nevada,Chris Tormey [1856],,85,95,62,131,99,66,86,198
Minnesota,Glen Mason [1163],,73,95,70,131,73,66,71,198
Houston,Dana Dimel [484],,110,95,114,131,113,66,88,198
Hawaii,June Jones [964],,81,95,29,131,16,66,41,198
Ohio State,Jim Tressel [1862],,49,95,40,131,37,66,60,198
Central Florida,Mike Kruczek [1048],,61,95,83,131,87,66,9,198
Mississippi State,Jackie Sherrill [1677],,44,95,60,131,46,66,70,198
Louisiana Tech,Jack Bicknell [135],,60,95,46,131,79,66,58,198
Oklahoma,Bob Stoops [1768],,5,95,12,131,23,66,61,198
North Carolina,John Bunting [220],,54,95,21,131,26,66,57,198
Iowa State,Dan McCarney [1182],,12,95,64,131,37,66,56,198
Utah State,Mick Dennehy [460],,104,95,98,131,86,66,90,198
Texas A&M,R.C. Slocum [1696],,8,95,48,131,29,66,40,198
