Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
UCLA,Babe Horrell [884],,85,34,100,83,48,23,117,126
Wake Forest,D.C. Walker [1909],,35,34,37,83,81,23,23,126
Washington & Lee,Tex Tilson [1843],,117,34,57,83,118,23,73,126
New Mexico,Ted Shipkey [1679],,112,34,13,83,78,23,9,126
William & Mary,Carl Voyles [1899],,73,34,43,83,48,23,51,126
Gonzaga,Puggy Hunton [906],,86,34,79,83,86,23,77,126
Dartmouth,Red Blaik [148],,122,34,26,83,54,23,52,126
California,Stub Allison [23],,81,34,50,83,31,23,95,126
Rhodes,Rhodes_UNKNOWN_COACH,,62,34,0,83,100,23,123,126
San Francisco,George Malley [1143],,29,34,0,83,81,23,89,126
Washburn,Elmer Holm [868],,108,34,0,83,122,23,106,126
Sewanee,Jenks Gillem [694],,123,34,104,83,116,23,81,126
Tennessee,Bob Neyland [1364],,5,34,11,83,7,23,55,126
Santa Clara,Buck Shaw [1661],,9,34,15,83,7,23,19,126
Detroit Mercy,Gus Dorais [512],,88,34,77,83,91,23,13,126
Yale,Ducky Pond [1481],,121,34,67,83,74,23,64,126
Mississippi,Harry Mehre [1247],,16,34,16,83,39,23,10,126
Purdue,Mal Elward [562],,103,34,91,83,109,23,110,126
Clemson,Frank Howard [888],,34,34,46,83,58,23,45,126
Virginia Tech,Henry Redd [1520],,77,34,69,83,65,23,108,126
Temple,Ray Morrison [1310],,39,34,92,83,69,23,104,126
Drake,Vee Green [727],,106,34,103,83,118,23,105,126
Kansas State,Hobbs Adams [5],,104,34,106,83,109,23,83,126
Wyoming,Okie Blanchard [152],,71,34,63,83,109,23,82,126
Kansas,Gwinn Henry [827],,105,34,81,83,116,23,115,126
Penn State,Bob Higgins [842],,27,34,75,83,65,23,62,126
Furman,Furman_UNKNOWN_COACH,,78,34,72,83,86,23,60,126
Fordham,Jimmy Crowley [407],,25,34,17,83,35,23,63,126
New York University,Mal Stevens [1745],,60,34,0,83,74,23,71,126
Cornell,Carl Snavely [1715],,31,34,22,83,21,23,42,126
Missouri,Don Faurot [599],,40,34,53,83,65,23,18,126
Oregon,Tex Oliver [1404],,83,34,70,83,15,23,67,126
Creighton,Skip Palrang [1422],,53,34,82,83,54,23,8,126
Georgetown,Jack Hagerty [749],,13,34,49,83,7,23,28,126
Vanderbilt,Red Sanders [1613],,97,34,97,83,109,23,70,126
Wisconsin,Harry Stuhldreher [1784],,69,34,78,83,33,23,17,126
Colorado State,Harry Hughes [900],,109,34,48,83,74,23,100,126
Colgate,Andrew Kerr [995],,44,34,65,83,62,23,22,126
Duke,Wallace Wade [1902],,18,34,18,83,61,23,35,126
Brigham Young,Edwin Kimball [1005],,51,34,71,83,81,23,102,126
Washington,James Phelan [1460],,14,34,39,83,7,23,34,126
Illinois,Robert Zuppke [2053],,114,34,0,83,48,23,87,126
Arizona State,Dixie Howell [890],,8,34,0,83,7,23,27,126
Princeton,Tad Wieman [1975],,67,34,54,83,48,23,12,126
Saint Mary's (CA),Red Strader [1774],,24,34,28,83,33,23,49,126
Carnegie Mellon,Edward Baker [66],,68,34,0,83,74,23,116,126
Marquette,Paddy Driscoll [522],,99,34,96,83,100,23,85,126
