Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
UCLA,Red Sanders [1613],,19,55,9,102,6,39,20,144
Wake Forest,Tom Rogers [1578],,91,55,69,102,103,39,83,144
Washington & Lee,Carl Wise [2004],,107,55,81,102,103,39,69,144
New Mexico,Robert Titchenal [1847],,71,55,77,102,79,39,33,144
William & Mary,Jackie Freeman [651],,102,55,50,102,55,39,21,144
Dartmouth,DeOrmond McLaughry [1223],,95,55,67,102,60,39,92,144
West Texas A&M,Frank Kimbrough [1006],,85,55,105,102,89,39,88,144
California,Pappy Waldorf [1908],,34,55,68,102,31,39,9,144
Tennessee,Harvey Robinson [1563],,27,55,54,102,71,39,17,144
Detroit Mercy,Dutch Clark [315],,88,55,40,102,55,39,29,144
Yale,Jordan Olivar [1402],,96,55,70,102,63,39,47,144
Mississippi,John Vaught [1889],,16,55,19,102,19,39,6,144
Purdue,Stuart Holcomb [857],,49,55,5,102,34,39,107,144
Clemson,Frank Howard [888],,67,55,96,102,93,39,61,144
Virginia Tech,Frank Moseley [1315],,105,55,74,102,93,39,87,144
Drake,Warren Gaer [668],,80,55,104,102,103,39,86,144
Kansas State,Bill Meek [1246],,59,55,47,102,34,39,28,144
Wyoming,Phil Dickens [472],,68,55,61,102,82,39,22,144
Kansas,Jules Sikes [1686],,65,55,80,102,89,39,110,144
Penn State,Rip Engle [567],,37,55,39,102,46,39,32,144
Furman,William Young [2042],,9,55,93,102,43,39,16,144
Fordham,Edward Danowski [432],,93,55,78,102,52,39,75,144
Cornell,George James [929],,39,55,66,102,50,39,52,144
Missouri,Don Faurot [599],,48,55,26,102,33,39,55,144
Oregon,Len Casanova [275],,47,55,42,102,82,39,80,144
Pacific,Moose Myers [1342],,74,55,33,102,66,39,65,144
Vanderbilt,Arthur Guepe [738],,36,55,103,102,75,39,63,144
Wisconsin,Ivy Williamson [1989],,20,55,2,102,12,39,45,144
Colorado State,Robert Davis [447],,70,55,62,102,85,39,59,144
Colgate,Hal Lahar [1059],,94,55,94,102,58,39,85,144
Duke,Bill Murray [1334],,11,55,25,102,16,39,5,144
Brigham Young,Charles Atkinson [52],,77,55,98,102,89,39,102,144
Washington,John Cherberg [295],,46,55,44,102,38,39,64,144
Illinois,Ray Eliot [553],,8,55,6,102,1,39,34,144
Arizona State,Clyde Smith [1699],,83,55,84,102,79,39,11,144
Rutgers,Harvey Harman [780],,101,55,99,102,75,39,70,144
Princeton,Charles Caldwell [237],,97,55,45,102,66,39,18,144
Marquette,Liz Blackbourn [143],,51,55,48,102,38,39,24,144
Arizona,Warren Woodson [2020],,63,55,76,102,75,39,73,144
Kentucky,Bear Bryant [215],,22,55,14,102,21,39,41,144
Georgia,Wallace Butts [230],,55,55,88,102,98,39,96,144
Utah,Jack Curtice [422],,62,55,38,102,41,39,40,144
Nebraska,William Glassford [698],,64,55,89,102,85,39,105,144
Hardin-Simmons,Murray Evans [581],,72,55,55,102,66,39,37,144
Syracuse,Ben Schwartzwalder [1644],,38,55,60,102,48,39,31,144
Army,Red Blaik [148],,6,55,23,102,41,39,8,144
South Carolina,Rex Enright [573],,13,55,37,102,19,39,50,144
Wichita State,Jack Mitchell [1285],,79,55,87,102,60,39,111,144
Baylor,George Sauer [1621],,33,55,21,102,30,39,48,144
Alabama,Red Drew [520],,31,55,20,102,12,39,54,144
Florida,Bob Woodruff [2016],,54,55,100,102,93,39,81,144
Oregon State,Kip Taylor [1815],,40,55,83,102,75,39,68,144
Tulsa,Bernie Witucki [2010],,87,55,41,102,63,39,90,144
