Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
UCLA,Ed Kezirian [999],Bob Toledo [1849],27,104,28,152,46,60,49,219
Middle Tennessee State,Andy McCollum [1190],,94,104,92,152,84,60,117,219
Wake Forest,Jim Grobe [736],,55,104,53,152,38,60,22,219
New Mexico,Rocky Long [1116],,95,104,72,152,75,60,104,219
Southern Mississippi,Jeff Bower [169],,77,104,67,152,49,60,37,219
California,Jeff Tedford [1819],,46,104,42,152,33,60,29,219
Cincinnati,Rick Minter [1283],,48,104,38,152,73,60,57,219
Troy,Larry Blakeney [150],,105,104,117,152,102,60,107,219
Tennessee,Phillip Fulmer [664],,35,104,41,152,21,60,7,219
Memphis,Tommy West [1955],,109,104,89,152,93,60,99,219
Mississippi,David Cutcliffe [426],,38,104,40,152,38,60,59,219
Purdue,Joe Tiller [1840],,31,104,64,152,60,60,20,219
Clemson,Tommy Bowden [168],,56,104,56,152,27,60,46,219
Virginia Tech,Frank Beamer [102],,24,104,19,152,24,60,24,219
Temple,Bobby Wallace [1915],,50,104,87,152,75,60,93,219
Alabama-Birmingham,Watson Brown [209],,107,104,83,152,89,60,65,219
Wyoming,Vic Koenning [1035],,104,104,95,152,110,60,114,219
Kansas State,Bill Snyder [1716],,15,104,8,152,33,60,38,219
Kansas,Mark Mangino [1147],,91,104,116,152,93,60,85,219
Penn State,Joe Paterno [1433],,9,104,35,152,14,60,25,219
Northern Illinois,Joe Novak [1376],,18,104,60,152,33,60,12,219
Buffalo,Jim Hofher [855],,87,104,114,152,115,60,100,219
Boise State,Dan Hawkins [807],,3,104,37,152,27,60,56,219
Louisville,John Smith [1705],,49,104,45,152,79,60,62,219
Missouri,Gary Pinkel [1467],,71,104,59,152,57,60,98,219
East Carolina,Steve Logan [1113],,78,104,46,152,93,60,96,219
Oregon,Mike Bellotti [113],,65,104,54,152,44,60,10,219
Miami (OH),Terry Hoeppner [853],,29,104,66,152,38,60,60,219
Bowling Green State,Urban Meyer [1259],,20,104,74,152,56,60,43,219
Vanderbilt,Bobby Johnson [946],,93,104,106,152,86,60,64,219
