Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Wake Forest,Hank Garrity [677],,56,21,15,62,49,15,20,78
Washington & Lee,Jimmy DeHart [456],,35,21,18,62,49,15,36,78
William & Mary,J. Wilder Tasker [1808],,95,21,67,62,86,15,50,78
Gonzaga,Gonzaga_UNKNOWN_COACH,,33,21,80,62,34,15,16,78
Dartmouth,Jesse Hawley [808],,4,21,40,62,1,15,1,78
California,Andy Smith [1697],,15,21,0,62,23,15,8,78
Sewanee,M.S. Bennett [117],,64,21,0,62,86,15,98,78
Tennessee,Mark Banks [75],,40,21,62,62,86,15,31,78
Colorado College,Tefler Meade [1242],,32,21,73,62,43,15,28,78
Erskine,Erskine_UNKNOWN_COACH,,106,21,0,62,105,15,92,78
Washington & Jefferson,D.C. Morrow [1312],,14,21,0,62,17,15,94,78
Yale,Tad Jones [968],,21,21,37,62,69,15,52,78
Mississippi,Homer Hazel [816],,66,21,0,62,98,15,85,78
Purdue,James Phelan [1460],,82,21,0,62,73,15,83,78
Clemson,Bud Saunders [1623],,105,21,75,62,105,15,63,78
Grinnell,Mike Hyland [914],,86,21,36,62,55,15,81,78
Virginia Tech,B.C. Cubbage [410],,68,21,58,62,81,15,26,78
Drake,Ossie Solem [1720],,60,21,4,62,26,15,11,78
Kansas State,Charlie Bachman [56],,54,21,11,62,10,15,41,78
Wyoming,William Dietz [482],,30,21,70,62,34,15,38,78
Kansas,Potsy Clark [317],,90,21,2,62,60,15,70,78
Penn State,Hugo Bezdek [130],,18,21,86,62,43,15,68,78
Furman,Furman_UNKNOWN_COACH,,71,21,26,62,81,15,30,78
Cornell,Gilmour Dobie [489],,23,21,68,62,69,15,78,78
Missouri,Gwinn Henry [827],,25,21,3,62,1,15,57,78
Mercer,Mercer_UNKNOWN_COACH,,102,21,45,62,78,15,86,78
Oregon,Richard Smith [1709],,47,21,0,62,49,15,102,78
Vanderbilt,Dan McGugin [1210],,63,21,44,62,81,15,46,78
Wisconsin,George Little [1106],,19,21,24,62,1,15,60,78
Colorado State,Harry Hughes [900],,3,21,17,62,1,15,2,78
Colgate,Dick Harlow [779],,1,21,12,62,1,15,3,78
Duke,James Herron [832],,97,21,82,62,98,15,88,78
Brigham Young,C.J. Hart [792],,31,21,69,62,34,15,12,78
Washington,Enoch Bagshaw [61],,8,21,10,62,10,15,27,78
Illinois,Robert Zuppke [2053],,84,21,34,62,60,15,22,78
Northern Colorado,George Cooper [354],,53,21,0,62,64,15,76,78
Oglethorpe,Jim Robertson [1558],,45,21,66,62,81,15,13,78
Princeton,Princeton_UNKNOWN_COACH,,2,21,35,62,10,15,37,78
Carnegie Mellon,Walter Steffen [1742],,78,21,0,62,34,15,101,78
Kentucky,Fred Murphy [1330],,37,21,51,62,73,15,35,78
Georgia,George Woodruff [2017],,42,21,30,62,73,15,91,78
Utah,Ike Armstrong [48],,28,21,46,62,31,15,45,78
Nebraska,Ernest Bearg [103],,62,21,5,62,28,15,17,78
Syracuse,Pete Reynolds [1538],,5,21,52,62,10,15,34,78
Army,John McEwan [1206],,91,21,27,62,78,15,18,78
South Carolina,Branch Bocock [158],,72,21,49,62,86,15,10,78
Colorado Mines,William Courtright [372],,51,21,85,62,55,15,105,78
Baylor,Frank Bridges [187],,81,21,0,62,34,15,64,78
Alabama,Wallace Wade [1902],,7,21,1,62,1,15,4,78
Florida,Tom Sebring [1651],,17,21,19,62,43,15,49,78
Wofford,Rip Major [1141],,104,21,83,62,103,15,73,78
Centre,Centre_UNKNOWN_COACH,,73,21,0,62,93,15,82,78
Oregon State,Paul Schissler [1635],,29,21,50,62,31,15,55,78
Navy,Jack Owsley [1416],,93,21,76,62,81,15,97,78
Presbyterian,Walter Johnson [955],,103,21,78,62,101,15,84,78
Montana State,Ott Romney [1581],,50,21,87,62,43,15,95,78
Maryland,Curley Byrd [231],,69,21,0,62,86,15,80,78
Roanoke,Roanoke_UNKNOWN_COACH,,96,21,81,62,93,15,58,78
West Virginia,Rat Rogers [1577],,12,21,54,62,10,15,56,78
