Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Brad Holland [1507],,146,592,2,0,67,582
Rhode Island,Al Skinner [2941],,151,592,2,0,133,582
Saint Francis (PA),Tom McConnell [2087],,160,592,2,0,133,582
Hofstra,Jay Wright [3478],,7,592,2,0,100,582
Southern Mississippi,M.K. Turk [3207],,126,592,2,0,34,582
Old Dominion,Jeff Capel [480],,141,592,2,0,67,582
New Hampshire,Gib Chapman [543],,39,592,2,0,100,582
Indiana State,Sherman Dillard [825],,131,592,2,0,259,582
Cincinnati,Bob Huggins [1552],,66,592,2,0,67,582
Troy,Don Maestri [1987],,3,592,2,0,1,582
Morehead State,Dick Fick [1035],,144,592,2,0,100,582
Tennessee,Kevin O'Neill [2409],,76,592,2,0,294,582
Chattanooga,Mack McCarthy [2075],,146,592,2,0,1,582
Memphis,Larry Finch [1041],,69,592,2,0,100,582
Providence,Pete Gillen [1192],,264,592,2,0,34,582
Missouri State,Mark Bernsen [225],,129,592,2,0,230,582
American,Chris Knoche [1785],,146,592,2,0,199,582
Mississippi,Rob Evans [1004],,73,592,2,0,166,582
La Salle,Speedy Morris [2274],,70,592,2,0,133,582
Green Bay,Dick Bennett [211],,50,592,2,0,1,582
Purdue,Gene Keady [1710],,142,592,2,0,67,582
Weber State,Ron Abegglen [3],,240,592,2,0,100,582
Portland,Rob Chavez [547],,150,592,2,0,133,582
Alabama-Birmingham,Gene Bartow [163],,65,592,2,0,133,582
Kansas State,Tom Asbury [97],,63,592,2,0,199,582
Saint Peter's,Ted Fiore [1048],,64,592,2,0,100,582
Maryland-Eastern Shore,Jeffrey Menday [2175],,143,592,2,0,133,582
Stephen F. Austin,Ned Fowler [1103],,170,592,2,0,278,582
Penn State,Bruce Parkhill [2467],,196,592,2,0,278,582
Fordham,Nick Macarchuk [1971],,251,592,2,0,133,582
Maine,Rudy Keeling [1718],,21,592,2,0,34,582
Northern Illinois,Brian Hammel [1333],,154,592,2,0,230,582
Buffalo,Tim Cohane [603],,6,592,2,0,67,582
Cal State Fullerton,Bob Hawking [1395],,291,592,2,0,199,582
East Carolina,Eddie Payne [2484],,144,592,2,0,133,582
Eastern Kentucky,Mike Calhoun [455],,143,592,2,0,166,582
Illinois-Chicago,Bob Hallberg [1324],,51,592,2,0,34,582
North Carolina-Greensboro,Mike Dement [792],,171,592,2,0,133,582
Bradley,Jim Molinari [2243],,124,592,2,0,34,582
St. Francis (NY),Ron Ganulin [1148],,161,592,2,0,278,582
Creighton,Dana Altman [51],,131,592,2,0,278,582
Mississippi Valley State,Lafayette Stribling [3069],,20,592,2,0,133,582
Bowling Green State,Jim Larranaga [1856],,246,592,2,0,1,582
Georgetown,John Thompson [3154],,266,592,2,0,166,582
Marshall,Billy Donovan [853],,206,592,2,0,199,582
Wisconsin,Stan Van Gundy [3234],,195,592,2,0,166,582
Colorado State,Stew Morrill [2270],,262,592,2,0,133,582
Colgate,Jack Bruen [399],,249,592,2,0,34,582
Duke,Pete Gaudet [1166],Mike Krzyzewski [1814],239,592,2,0,34,582
Brigham Young,Roger Reid [2663],,260,592,2,0,1,582
Western Carolina,Benny Dees [787],,203,592,2,0,166,582
Washington,Bob Bender [202],,173,592,2,0,259,582
Tennessee-Martin,Cal Luther [1961],,149,592,2,0,259,582
Louisiana-Lafayette,Marty Fletcher [1070],,238,592,2,0,34,582
Arizona State,Bill Frieder [1126],,170,592,2,0,100,582
Florida International,Bob Weltlich [3345],,153,592,2,0,133,582
College of Charleston,John Kresse [1806],,17,592,2,0,1,582
Austin Peay,Dave Loos [1939],,146,592,2,0,34,582
Southeast Missouri State,Ron Shumate [2919],,145,592,2,0,199,582
Fairleigh Dickinson,Tom Green [1258],,157,592,2,0,199,582
Kent State,Dave Grube [1284],,248,592,2,0,166,582
Robert Morris,Jarrett Durham [912],,156,592,2,0,166,582
Seton Hall,George Blaney [266],,267,592,2,0,199,582
Murray State,Scott Edgar [937],,17,592,2,0,1,582
Princeton,Pete Carril [504],,4,592,2,0,34,582
Saint Mary's (CA),Ernie Kent [1745],,146,592,2,0,166,582
Marquette,Mike Deane [781],,50,592,2,0,34,582
Virginia Commonwealth,Sonny Smith [2972],,127,592,2,0,166,582
Tennessee Tech,Frank Harrell [1366],,147,592,2,0,230,582
Butler,Barry Collier [611],,63,592,2,0,67,582
Fresno State,Gary Colson [619],,260,592,2,0,34,582
North Carolina-Wilmington,Jerry Wainwright [3273],,142,592,2,0,34,582
Army,Dino Gaudio [1167],,253,592,2,0,100,582
Wichita State,Scott Thompson [3157],,131,592,2,0,133,582
Baylor,Harry Miller [2211],,50,592,2,0,133,582
Eastern Michigan,Ben Braun [328],,244,592,2,0,133,582
Florida State,Pat Kennedy [1742],,262,592,2,0,166,582
South Alabama,Ronnie Arrow [96],Judas Prada [2576],244,592,2,0,100,582
Alabama,David Hobbs [1486],,66,592,2,0,100,582
Florida,Lon Kruger [1811],,65,592,2,0,67,582
Georgia Southern,Doug Durham [910],Frank Kerns [1749],196,592,2,0,133,582
Oregon State,Jim Anderson [67],,173,592,2,0,278,582
Rider,Kevin Bannon [135],,132,592,2,0,1,582
Nevada-Las Vegas,Cleveland Edwards [943],Howie Landa [1836],286,592,2,0,133,582
Miami (FL),Leonard Hamilton [1330],,271,592,2,0,278,582
Navy,Don DeVoe [808],,247,592,2,0,1,582
San Jose State,Stan Morrison [2281],,288,592,2,0,100,582
Montana State,Mick Durham [913],,245,592,2,0,67,582
Boston College,Jim O'Brien [2391],,267,592,2,0,67,582
Idaho,Joe Cravens [688],,241,592,2,0,133,582
Monmouth,Wayne Szoke [3107],,133,592,2,0,67,582
Virginia,Jeff Jones [1672],,261,592,2,0,67,582
Delaware State,Fred Goodman [1227],,145,592,2,0,199,582
St. John's (NY),Brian Mahoney [1995],,269,592,2,0,230,582
Duquesne,John Carroll [508],,150,592,2,0,67,582
Western Illinois,Jim Kerwin [1752],,152,592,2,0,199,582
Texas,Thomas Penders [2500],,16,592,2,0,1,582
Valparaiso,Homer Drew [877],,52,592,2,0,67,582
Ball State,Ray McCallum [2067],,237,592,2,0,100,582
Loyola (MD),Brian Ellerbe [959],,63,592,2,0,67,582
Jacksonville,George Scholz [2853],,241,592,2,0,133,582
Texas-El Paso,Don Haskins [1390],,265,592,2,0,230,582
Washington State,Kevin Eastman [927],,168,592,2,0,166,582
Harvard,Frank Sullivan [3082],,60,592,2,0,100,582
Louisiana-Monroe,Mike Vining [3254],,125,592,2,0,34,582
Villanova,Steve Lappas [1853],,265,592,2,0,133,582
Michigan,Steve Fisher [1054],,177,592,2,0,34,582
Georgia State,Carter Wilson [3428],,153,592,2,0,166,582
Arkansas,Nolan Richardson [2695],,48,592,2,0,1,582
Holy Cross,William Raynor [2642],,248,592,2,0,67,582
North Texas,Tim Jankovich [1615],,164,592,2,0,67,582
Rice,Willis Wilson [3440],,49,592,2,0,100,582
Illinois State,Kevin Stallings [3013],,126,592,2,0,67,582
St. Bonaventure,Jim Baron [151],,156,592,2,0,259,582
Coastal Carolina,Michael Hopkins [1529],,173,592,2,0,199,582
Maryland-Baltimore County,Earl Hawkins [1397],,175,592,2,0,259,582
James Madison,Lefty Driesell [883],,140,592,2,0,1,582
Iowa,Tom Davis [771],,198,592,2,0,230,582
Charlotte,Jeff Mullins [2304],,125,592,2,0,133,582
Northern Iowa,Eldon Miller [2208],,126,592,2,0,166,582
Michigan State,Jud Heathcote [1414],,191,592,2,0,133,582
Georgia Tech,Bobby Cremins [695],,265,592,2,0,199,582
Texas Southern,Robert Moreland [2264],,14,592,2,0,1,582
Indiana,Bob Knight [1782],,189,592,2,0,1,582
Texas Christian,Billy Tubbs [3201],,51,592,2,0,166,582
Pittsburgh,Ralph Willard [3392],,270,592,2,0,259,582
Central Michigan,Leonard Drake [873],,249,592,2,0,259,582
Howard,Mike McLeese [2148],,146,592,2,0,230,582
Minnesota,Clem Haskins [1389],,192,592,2,0,100,582
Lamar,Grey Giovanine [1203],,245,592,2,0,259,582
Youngstown State,Dan Peters [2511],,154,592,2,0,278,582
Hawaii,Riley Wallace [3288],,261,592,2,0,67,582
Citadel,Pat Dennis [796],,205,592,2,0,259,582
Fairfield,Paul Cormier [660],,65,592,2,0,230,582
Texas-San Antonio,Stu Starner [3021],,166,592,2,0,199,582
Ohio State,Randy Ayers [107],,194,592,2,0,259,582
Niagara,Jack Armstrong [89],,67,592,2,0,199,582
Montana,Blaine Taylor [3120],,243,592,2,0,166,582
Manhattan,Fran Fraschilla [1113],,61,592,2,0,133,582
Davidson,Bob McKillop [2136],,178,592,2,0,67,582
North Carolina,Dean Smith [2954],,248,592,2,0,1,582
Iowa State,Tim Floyd [1077],,61,592,2,0,166,582
Utah State,Larry Eustachy [989],,290,592,2,0,34,582
Texas A&M,Tony Barone [152],,47,592,2,0,34,582
Florida A&M,Ron Brown [389],,147,592,2,0,259,582
UCLA,Jim Harrick [1367],,159,592,2,0,67,582
Coppin State,Fang Mitchell [2233],,4,592,2,0,1,582
Wake Forest,Dave Odom [2421],,263,592,2,0,133,582
Lafayette,John Leone [1894],,253,592,2,0,230,582
Wright State,Ralph Underhill [3218],,150,592,2,0,133,582
New Mexico,Dave Bliss [274],,249,592,2,0,100,582
William & Mary,Charles Woollum [3471],,147,592,2,0,230,582
Lehigh,Dave Duke [898],,251,592,2,0,199,582
Dartmouth,Dave Faucher [1019],,58,592,2,0,133,582
Gonzaga,Dan Fitzgerald [1057],,50,592,2,0,1,582
Eastern Washington,John Wade [3267],,246,592,2,0,230,582
California,Todd Bozeman [313],,167,592,2,0,34,582
Canisius,John Beilein [189],,46,592,2,0,34,582
San Francisco,Jim Brovelli [363],,145,592,2,0,100,582
East Tennessee State,Alan LeForce [1883],,179,592,2,0,100,582
California-Irvine,Rod Baker [121],,292,592,2,0,278,582
Santa Clara,Dick Davey [746],,147,592,2,0,199,582
Iona,Jerry Welsh [3343],,66,592,2,0,166,582
Grambling,Aaron James [1609],,21,592,2,0,166,582
Texas State,Mike Miller [2215],,125,592,2,0,1,582
Chicago State,Craig Hodges [1494],,8,592,2,0,133,582
Detroit Mercy,Perry Watson [3319],,71,592,2,0,1,582
Yale,Dick Kuchen [1815],,49,592,2,0,67,582
Northeastern,Dave Leitao [1888],,43,592,2,0,230,582
Clemson,Rick Barnes [145],,263,592,2,0,230,582
Virginia Tech,Bill C. Foster [1096],,124,592,2,0,100,582
Temple,John Chaney [542],,21,592,2,0,34,582
Drake,Rudy Washington [3311],,128,592,2,0,199,582
Wyoming,Joby Wright [3479],,266,592,2,0,259,582
Evansville,Jim Crews [698],,70,592,2,0,100,582
Kansas,Roy Williams [3414],,49,592,2,0,67,582
Northwestern State,J.D. Barnett [150],,170,592,2,0,259,582
Furman,Joey Cantafio [474],,203,592,2,0,230,582
Long Beach State,Seth Greenberg [1262],,287,592,2,0,166,582
Towson,Terry Truax [3197],,137,592,2,0,1,582
Long Island University,Paul Lizzo [1921],,161,592,2,0,259,582
Charleston Southern,Gary Edwards [945],,175,592,2,0,166,582
Middle Tennessee,David Farrar [1016],,149,592,2,0,133,582
Marist,Dave Magarity [1988],,158,592,2,0,230,582
George Mason,Paul Westhead [3354],,144,592,2,0,166,582
Hartford,Paul Brazeau [330],,40,592,2,0,67,582
Boise State,Bobby Dye [918],,244,592,2,0,34,582
Cornell,Al Walker [3276],,61,592,2,0,230,582
Louisville,Denny Crum [711],,17,592,2,0,1,582
Missouri,Norm Stewart [3051],,4,592,2,0,1,582
Texas-Arlington,Eddie McCarter [2071],,168,592,2,0,230,582
Mercer,Bill Hodges [1493],,156,592,2,0,259,582
Radford,Ron Bradley [316],,172,592,2,0,34,582
Bethune-Cookman,Tony Sheals [2897],,144,592,2,0,100,582
Oregon,Jerry Green [1256],,171,592,2,0,230,582
Miami (OH),Herb Sendek [2882],,243,592,2,0,67,582
Pacific,Bob Thomason [3148],,289,592,2,0,67,582
Vanderbilt,Jan Van Breda Kolff [3231],,73,592,2,0,199,582
South Florida,Bobby Paschal [2473],,128,592,2,0,199,582
Akron,Coleman Crawford [690],,251,592,2,0,278,582
Stetson,Dan Hipsher [1482],,141,592,2,0,100,582
Southern,Ben Jobe [1634],,17,592,2,0,67,582
Prairie View,Elwood Plummer [2549],,23,592,2,0,230,582
North Carolina A&T,Roy Thomas [3147],,141,592,2,0,34,582
Illinois,Lou Henson [1437],,192,592,2,0,199,582
Nicholls State,Rickey Broussard [362],,127,592,2,0,100,582
Rutgers,Bob Wenzel [3347],,153,592,2,0,166,582
Connecticut,Jim Calhoun [454],,51,592,2,0,1,582
Texas-Pan American,Mark Adams [14],,244,592,2,0,166,582
Siena,Bob Beyer [235],,62,592,2,0,1,582
Liberty,Jeff Meyer [2193],,169,592,2,0,67,582
Arizona,Lute Olson [2434],,140,592,2,0,1,582
Kentucky,Rick Pitino [2542],,64,592,2,0,34,582
Air Force,Reggie Minton [2231],,267,592,2,0,278,582
Georgia,Hugh Durham [911],,72,592,2,0,230,582
Utah,Rick Majerus [2001],,264,592,2,0,166,582
Nebraska,Danny Nee [2341],,60,592,2,0,34,582
Sam Houston State,Jerry Hopkins [1528],,167,592,2,0,166,582
