Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Brad Holland [1507],,140,627,2,0,152,607
Rhode Island,Jerry DeGregorio [788],,133,627,2,0,61,607
Southern Utah,Bill Evans [991],,145,627,2,0,152,607
Norfolk State,Wil Jones [1682],,251,627,2,0,152,607
Saint Francis (PA),Bobby Jones [1662],,289,627,2,0,266,607
Hofstra,Jay Wright [3478],,59,627,2,0,61,607
Southern Mississippi,James Green [1255],,246,627,2,0,266,607
Old Dominion,Jeff Capel [480],,72,627,2,0,31,607
New Hampshire,Phil Rowe [2779],,65,627,2,0,266,607
Indiana State,Royce Waltman [3298],,298,627,2,0,152,607
Cincinnati,Bob Huggins [1552],,237,627,2,0,1,607
Troy,Don Maestri [1987],,77,627,2,0,242,607
Morehead State,Kyle Macy [1984],,232,627,2,0,91,607
Tennessee,Jerry Green [1256],,133,627,2,0,183,607
Chattanooga,Henry Dickerson [815],,119,627,2,0,152,607
Quinnipiac,Joe DeSantis [798],,288,627,2,0,242,607
Memphis,Johnny Jones [1674],,247,627,2,0,152,607
Missouri State,Barry Hinson [1481],,296,627,2,0,31,607
Providence,Tim Welsh [3344],,163,627,2,0,213,607
American,Art Perry [2506],,125,627,2,0,213,607
Mississippi,Rod Barnes [146],,165,627,2,0,61,607
La Salle,Speedy Morris [2274],,135,627,2,0,121,607
Green Bay,Mike Heideman [1420],,32,627,2,0,61,607
Purdue,Gene Keady [1710],,183,627,2,0,152,607
Weber State,Joe Cravens [688],,62,627,2,0,1,607
Portland,Rob Chavez [547],,143,627,2,0,213,607
Alabama-Birmingham,Murry Bartow [164],,240,627,2,0,61,607
Kansas State,Tom Asbury [97],,228,627,2,0,213,607
Saint Peter's,Rodger Blind [273],,280,627,2,0,61,607
Maryland-Eastern Shore,Lonnie Williams [3410],,256,627,2,0,213,607
Stephen F. Austin,Derek Allister [49],,291,627,2,0,266,607
Penn State,Jerry Dunn [902],,183,627,2,0,242,607
Fordham,Bob Hill [1463],,140,627,2,0,285,607
Maine,John Giannini [1181],,59,627,2,0,91,607
Northern Illinois,Brian Hammel [1333],,179,627,2,0,299,607
Buffalo,Tim Cohane [603],Reggie Witherspoon [3454],179,627,2,0,307,607
Cal State Fullerton,Bob Hawking [1395],,153,627,2,0,213,607
East Carolina,Bill Herrion [1445],,123,627,2,0,183,607
Eastern Kentucky,Scott Perry [2509],,238,627,2,0,242,607
Illinois-Chicago,Jimmy Collins [617],,64,627,2,0,213,607
North Carolina-Greensboro,Fran McCaffery [2065],,139,627,2,0,266,607
Bradley,Jim Molinari [2243],,296,627,2,0,61,607
St. Francis (NY),Ron Ganulin [1148],,175,627,2,0,1,607
Creighton,Dana Altman [51],,297,627,2,0,91,607
Mississippi Valley State,Lafayette Stribling [3069],,38,627,2,0,91,607
Bowling Green State,Dan Dakich [730],,170,627,2,0,61,607
Georgetown,Craig Esherick [986],,164,627,2,0,183,607
