Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Bill Grier [1275],,65,701,2,0,161,685
Rhode Island,Jim Baron [151],,44,701,2,0,129,685
Southern Utah,Roger Reid [2663],,140,701,2,0,256,685
Norfolk State,Anthony Evans [990],,207,701,2,0,129,685
Saint Francis (PA),Don Friday [1124],,195,701,2,0,284,685
Hofstra,Mo Cassara [522],,162,701,2,0,193,685
Southern Mississippi,Larry Eustachy [989],,56,701,2,0,193,685
Old Dominion,Blaine Taylor [3120],,60,701,2,0,1,685
New Hampshire,Bill Herrion [1445],,145,701,2,0,193,685
Indiana State,Greg Lansing [1850],,298,701,2,0,193,685
Central Arkansas,Corliss Williamson [3421],,176,701,2,0,322,685
Cincinnati,Mick Cronin [702],,236,701,2,0,322,685
Troy,Don Maestri [1987],,291,701,2,0,97,685
Morehead State,Donnie Tyndall [3214],,18,701,2,0,97,685
Tennessee,Bruce Pearl [2489],,59,701,2,0,97,685
Chattanooga,John Shulman [2917],,220,701,2,0,193,685
Quinnipiac,Tom Moore [2261],,78,701,2,0,33,685
Utah Valley,Dick Hunsaker [1562],,129,701,2,0,193,685
Memphis,Josh Pastner [2476],,52,701,2,0,33,685
Providence,Keno Davis [764],,238,701,2,0,334,685
Missouri State,Cuonzo Martin [2027],,301,701,2,0,161,685
American,Jeff Jones [1672],,277,701,2,0,65,685
La Salle,John Giannini [1181],,68,701,2,0,322,685
Mississippi,Andy Kennedy [1737],,86,701,2,0,193,685
Green Bay,Brian Wardle [3303],,275,701,2,0,193,685
Purdue,Matt Painter [2455],,189,701,2,0,65,685
Weber State,Randy Rahe [2624],,167,701,2,0,1,685
Portland,Eric Reveno [2674],,48,701,2,0,65,685
Alabama-Birmingham,Mike Davis [768],,54,701,2,0,161,685
Kansas State,Frank Martin [2031],,56,701,2,0,33,685
Saint Peter's,John Dunne [905],,147,701,2,0,129,685
Maryland-Eastern Shore,Frankie Allen [38],,207,701,2,0,161,685
Stephen F. Austin,Danny Kaspar [1706],,167,701,2,0,33,685
Penn State,Ed DeChellis [784],,207,701,2,0,307,685
Fordham,Tom Pecora [2492],,72,701,2,0,337,685
Maine,Ted Woodward [3469],,142,701,2,0,65,685
Northern Illinois,Ricardo Patton [2482],,292,701,2,0,307,685
Buffalo,Reggie Witherspoon [3454],,287,701,2,0,225,685
Cal State Fullerton,Bob Burton [435],,280,701,2,0,129,685
East Carolina,Jeff Lebo [1875],,60,701,2,0,284,685
Eastern Kentucky,Jeff Neubauer [2352],,142,701,2,0,129,685
Illinois-Chicago,Howard Moore [2260],,279,701,2,0,256,685
Houston Baptist,Ron Cotrell [667],,8,701,2,0,33,685
North Carolina-Greensboro,Mike Dement [792],,218,701,2,0,256,685
Bradley,Jim Les [1895],,299,701,2,0,97,685
St. Francis (NY),Glenn Braica [322],,194,701,2,0,256,685
Creighton,Greg McDermott [2101],,298,701,2,0,65,685
Mississippi Valley State,Sean Woods [3468],,71,701,2,0,97,685
Bowling Green State,Louis Orr [2438],,289,701,2,0,256,685
Georgetown,John Thompson [3153],,227,701,2,0,161,685
