Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Brad Holland [1507],,65,667,2,0,218,658
Rhode Island,Jim Baron [151],,140,667,2,0,187,658
Southern Utah,Bill Evans [991],,282,667,2,0,187,658
Norfolk State,Dwight Freeman [1119],,255,667,2,0,218,658
Saint Francis (PA),Bobby Jones [1662],,318,667,2,0,218,658
Hofstra,Tom Pecora [2492],,221,667,2,0,187,658
Southern Mississippi,Larry Eustachy [989],,147,667,2,0,249,658
Old Dominion,Blaine Taylor [3120],,219,667,2,0,125,658
New Hampshire,Phil Rowe [2779],,45,667,2,0,218,658
Indiana State,Royce Waltman [3298],,227,667,2,0,156,658
Cincinnati,Bob Huggins [1552],,137,667,2,0,1,658
Troy,Don Maestri [1987],,43,667,2,0,32,658
Morehead State,Kyle Macy [1984],,51,667,2,0,63,658
Tennessee,Buzz Peterson [2513],,144,667,2,0,218,658
Chattanooga,John Shulman [2917],,129,667,2,0,32,658
Quinnipiac,Joe DeSantis [798],,321,667,2,0,275,658
Memphis,John Calipari [457],,140,667,2,0,32,658
Providence,Tim Welsh [3344],,141,667,2,0,94,658
Missouri State,Barry Hinson [1481],,223,667,2,0,125,658
American,Jeff Jones [1672],,143,667,2,0,63,658
Mississippi,Rod Barnes [146],,147,667,2,0,297,658
La Salle,John Giannini [1181],,141,667,2,0,218,658
Green Bay,Tod Kowalczyk [1797],,128,667,2,0,94,658
Purdue,Gene Keady [1710],,151,667,2,0,249,658
Weber State,Joe Cravens [688],,252,667,2,0,63,658
Portland,Michael Holton [1523],,63,667,2,0,187,658
Alabama-Birmingham,Mike Anderson [69],,140,667,2,0,156,658
Kansas State,Jim Wooldridge [3470],,41,667,2,0,249,658
Saint Peter's,Bob Leckie [1876],,49,667,2,0,94,658
Maryland-Eastern Shore,Lawrence Lesett [1896],,256,667,2,0,249,658
Stephen F. Austin,Danny Kaspar [1706],,268,667,2,0,94,658
Penn State,Ed DeChellis [784],,153,667,2,0,297,658
Fordham,Dereck Whittenburg [3379],,143,667,2,0,297,658
Maine,Ted Woodward [3469],,21,667,2,0,94,658
Northern Illinois,Rob Judson [1694],,255,667,2,0,311,658
Buffalo,Reggie Witherspoon [3454],,247,667,2,0,125,658
Cal State Fullerton,Bob Burton [435],,229,667,2,0,187,658
East Carolina,Bill Herrion [1445],,146,667,2,0,318,658
Eastern Kentucky,Travis Ford [1089],,52,667,2,0,125,658
Illinois-Chicago,Jimmy Collins [617],,126,667,2,0,63,658
North Carolina-Greensboro,Fran McCaffery [2065],,136,667,2,0,156,658
Bradley,Jim Les [1895],,225,667,2,0,249,658
St. Francis (NY),Ron Ganulin [1148],,313,667,2,0,32,658
Creighton,Dana Altman [51],,221,667,2,0,63,658
Mississippi Valley State,Lafayette Stribling [3069],,56,667,2,0,1,658
Bowling Green State,Dan Dakich [730],,249,667,2,0,187,658
Georgetown,John Thompson [3153],,145,667,2,0,275,658
Marshall,Ron Jirsa [1633],,251,667,2,0,218,658
Wisconsin,Bo Ryan [2795],,123,667,2,0,1,658
Colorado State,Dale Layer [1871],,71,667,2,0,125,658
Colgate,Emmett Davis [757],,147,667,2,0,94,658
Duke,Mike Krzyzewski [1814],,141,667,2,0,1,658
Brigham Young,Steve Cleveland [587],,64,667,2,0,1,658
Western Carolina,Steve Shurina [2920],,133,667,2,0,249,658
Washington,Lorenzo Romar [2755],,249,667,2,0,32,658
Tennessee-Martin,Bret Campbell [467],,63,667,2,0,249,658
Louisiana-Lafayette,Robert Lee [1881],,54,667,2,0,1,658
