Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Brad Holland [1507],,33,687,2,0,94,665
Rhode Island,Jim Baron [151],,139,687,2,0,275,665
Southern Utah,Bill Evans [991],,229,687,2,0,187,665
Norfolk State,Dwight Freeman [1119],,148,687,2,0,156,665
Saint Francis (PA),Bobby Jones [1662],,242,687,2,0,249,665
Hofstra,Tom Pecora [2492],,129,687,2,0,125,665
Southern Mississippi,Larry Eustachy [989],,85,687,2,0,322,665
Old Dominion,Blaine Taylor [3120],,33,687,2,0,1,665
Indiana State,Royce Waltman [3298],,253,687,2,0,218,665
New Hampshire,Bill Herrion [1445],,162,687,2,0,218,665
Cincinnati,Andy Kennedy [1737],,36,687,2,0,32,665
Troy,Don Maestri [1987],,311,687,2,0,63,665
Morehead State,Kyle Macy [1984],,231,687,2,0,249,665
Tennessee,Bruce Pearl [2489],,69,687,2,0,275,665
Chattanooga,John Shulman [2917],,226,687,2,0,63,665
Quinnipiac,Joe DeSantis [798],,243,687,2,0,275,665
Memphis,John Calipari [457],,75,687,2,0,125,665
Missouri State,Barry Hinson [1481],,250,687,2,0,156,665
Providence,Tim Welsh [3344],,144,687,2,0,218,665
American,Jeff Jones [1672],,49,687,2,0,156,665
Mississippi,Rod Barnes [146],,66,687,2,0,249,665
La Salle,John Giannini [1181],,137,687,2,0,187,665
Green Bay,Tod Kowalczyk [1797],,284,687,2,0,94,665
Purdue,Matt Painter [2455],,50,687,2,0,249,665
Weber State,Joe Cravens [688],,160,687,2,0,125,665
Portland,Michael Holton [1523],,63,687,2,0,218,665
Alabama-Birmingham,Mike Anderson [69],,66,687,2,0,94,665
Kansas State,Jim Wooldridge [3470],,229,687,2,0,275,665
Saint Peter's,Bob Leckie [1876],,254,687,2,0,187,665
Maryland-Eastern Shore,Lawrence Lesett [1896],,154,687,2,0,298,665
Stephen F. Austin,Danny Kaspar [1706],,54,687,2,0,156,665
Penn State,Ed DeChellis [784],,52,687,2,0,298,665
Fordham,Dereck Whittenburg [3379],,135,687,2,0,218,665
Maine,Ted Woodward [3469],,159,687,2,0,125,665
Northern Illinois,Rob Judson [1694],,312,687,2,0,275,665
Buffalo,Reggie Witherspoon [3454],,304,687,2,0,1,665
Cal State Fullerton,Bob Burton [435],,50,687,2,0,63,665
East Carolina,Ricky Stokes [3058],,84,687,2,0,320,665
