Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Hank Egan [951],,166,543,2,0,133,538
Rhode Island,Al Skinner [2941],,255,543,2,0,258,538
Saint Francis (PA),Jim Baron [151],,55,543,2,0,1,538
Hofstra,Butch van Breda Kolff [3230],,133,543,2,0,100,538
Southern Mississippi,M.K. Turk [3207],,215,543,2,0,67,538
Old Dominion,Oliver Purnell [2605],,215,543,2,0,166,538
New Hampshire,Jim Boylan [307],,25,543,2,0,166,538
Indiana State,Tates Locke [1927],,173,543,2,0,133,538
Cincinnati,Bob Huggins [1552],,221,543,2,0,1,538
Morehead State,Dick Fick [1035],,59,543,2,0,166,538
Tennessee,Wade Houston [1538],,214,543,2,0,273,538
Chattanooga,Mack McCarthy [2075],,57,543,2,0,34,538
Memphis,Larry Finch [1041],,218,543,2,0,231,538
Providence,Rick Barnes [145],,258,543,2,0,231,538
Missouri State,Charles Spoonhour [3001],,165,543,2,0,67,538
American,Chris Knoche [1785],,88,543,2,0,133,538
Mississippi,Ed Murphy [2310],,213,543,2,0,258,538
La Salle,Speedy Morris [2274],,209,543,2,0,100,538
Green Bay,Dick Bennett [211],,62,543,2,0,1,538
Purdue,Gene Keady [1710],,127,543,2,0,199,538
Weber State,Ron Abegglen [3],,128,543,2,0,166,538
Portland,Larry Steele [3026],,168,543,2,0,231,538
Alabama-Birmingham,Gene Bartow [163],,213,543,2,0,100,538
Kansas State,Dana Altman [51],,223,543,2,0,199,538
Saint Peter's,Ted Fiore [1048],,210,543,2,0,1,538
Maryland-Eastern Shore,Robert Hopkins [1531],,227,543,2,0,258,538
Stephen F. Austin,Ned Fowler [1103],,25,543,2,0,100,538
Penn State,Bruce Parkhill [2467],,250,543,2,0,67,538
Fordham,Nick Macarchuk [1971],,5,543,2,0,1,538
Maine,Rudy Keeling [1718],,21,543,2,0,34,538
Northern Illinois,Brian Hammel [1333],,51,543,2,0,34,538
Cal State Fullerton,John Sneed [2977],,275,543,2,0,258,538
East Carolina,Eddie Payne [2484],,90,543,2,0,199,538
Eastern Kentucky,Mike Pollio [2556],,57,543,2,0,67,538
Illinois-Chicago,Bob Hallberg [1324],,133,543,2,0,166,538
