Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Hank Egan [951],,143,540,2,0,166,520
Rhode Island,Al Skinner [2941],,250,540,2,0,34,520
Saint Francis (PA),Tom McConnell [2087],,261,540,2,0,133,520
Hofstra,Butch van Breda Kolff [3230],,53,540,2,0,67,520
Southern Mississippi,M.K. Turk [3207],,256,540,2,0,166,520
Old Dominion,Oliver Purnell [2605],,52,540,2,0,100,520
New Hampshire,Gib Chapman [543],,78,540,2,0,230,520
Indiana State,Tates Locke [1927],,253,540,2,0,133,520
Cincinnati,Bob Huggins [1552],,12,540,2,0,34,520
Morehead State,Dick Fick [1035],,144,540,2,0,133,520
Tennessee,Wade Houston [1538],,161,540,2,0,199,520
Chattanooga,Mack McCarthy [2075],,11,540,2,0,34,520
Memphis,Larry Finch [1041],,46,540,2,0,100,520
Providence,Rick Barnes [145],,284,540,2,0,259,520
Missouri State,Mark Bernsen [225],,250,540,2,0,34,520
American,Chris Knoche [1785],,51,540,2,0,67,520
Mississippi,Rob Evans [1004],,163,540,2,0,284,520
La Salle,Speedy Morris [2274],,141,540,2,0,1,520
Green Bay,Dick Bennett [211],,60,540,2,0,1,520
Purdue,Gene Keady [1710],,189,540,2,0,199,520
Weber State,Ron Abegglen [3],,20,540,2,0,67,520
Portland,Larry Steele [3026],,145,540,2,0,199,520
Alabama-Birmingham,Gene Bartow [163],,47,540,2,0,133,520
Kansas State,Dana Altman [51],,181,540,2,0,199,520
Saint Peter's,Ted Fiore [1048],,147,540,2,0,199,520
Maryland-Eastern Shore,Rob Chavez [547],,191,540,2,0,259,520
Stephen F. Austin,Ned Fowler [1103],,199,540,2,0,199,520
Fordham,Nick Macarchuk [1971],,59,540,2,0,1,520
Maine,Rudy Keeling [1718],,61,540,2,0,100,520
Northern Illinois,Brian Hammel [1333],,260,540,2,0,199,520
Buffalo,Dan Bazzani [178],,58,540,2,0,199,520
Cal State Fullerton,Brad Holland [1507],,144,540,2,0,199,520
East Carolina,Eddie Payne [2484],,54,540,2,0,166,520
Eastern Kentucky,Mike Calhoun [455],,142,540,2,0,34,520
Illinois-Chicago,Bob Hallberg [1324],,257,540,2,0,34,520
Bradley,Jim Molinari [2243],,257,540,2,0,230,520
St. Francis (NY),Ron Ganulin [1148],,258,540,2,0,100,520
