Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Bill Grier [1275],,51,739,2,0,130,726
Rhode Island,Dan Hurley [1577],,159,739,2,0,343,726
Southern Utah,Nick Robinson [2730],,257,739,2,0,256,726
Norfolk State,Robert Jones [1679],,5,739,2,0,1,726
Saint Francis (PA),Rob Krimmel [1810],,289,739,2,0,325,726
Hofstra,Joe Mihalich [2201],,248,739,2,0,285,726
Old Dominion,Jeff Jones [1672],,250,739,2,0,310,726
Southern Mississippi,Donnie Tyndall [3214],,12,739,2,0,34,726
New Hampshire,Bill Herrion [1445],,81,739,2,0,162,726
Indiana State,Greg Lansing [1850],,329,739,2,0,193,726
Central Arkansas,Clarence Finley [1044],,88,739,2,0,256,726
Cincinnati,Mick Cronin [702],,193,739,2,0,256,726
Troy,Phil Cunningham [719],,323,739,2,0,285,726
Morehead State,Sean Woods [3468],,78,739,2,0,130,726
Tennessee,Cuonzo Martin [2027],,278,739,2,0,285,726
Chattanooga,Will Wade [3269],,163,739,2,0,130,726
Quinnipiac,Tom Moore [2261],,284,739,2,0,130,726
Utah Valley,Dick Hunsaker [1562],,62,739,2,0,130,726
Memphis,Josh Pastner [2476],,1,739,2,0,1,726
Providence,Ed Cooley [650],,195,739,2,0,224,726
Missouri State,Paul Lusk [1959],,325,739,2,0,256,726
Northern Kentucky,Dave Bezold [238],,244,739,2,0,224,726
American,Mike Brennan [338],,49,739,2,0,193,726
La Salle,John Giannini [1181],,136,739,2,0,162,726
Mississippi,Andy Kennedy [1737],,276,739,2,0,98,726
Green Bay,Brian Wardle [3303],,133,739,2,0,98,726
Purdue,Matt Painter [2455],,250,739,2,0,224,726
Weber State,Randy Rahe [2624],,6,739,2,0,34,726
Portland,Eric Reveno [2674],,54,739,2,0,256,726
Alabama-Birmingham,Jerod Haase [1297],,131,739,2,0,162,726
Kansas State,Bruce Weber [3331],,163,739,2,0,34,726
Saint Peter's,John Dunne [905],,336,739,2,0,224,726
Maryland-Eastern Shore,Frankie Allen [38],,73,739,2,0,285,726
Stephen F. Austin,Brad Underwood [3219],,40,739,2,0,34,726
Penn State,Patrick Chambers [538],,253,739,2,0,325,726
Fordham,Tom Pecora [2492],,157,739,2,0,340,726
Maine,Ted Woodward [3469],,84,739,2,0,193,726
Northern Illinois,Mark Montgomery [2253],,149,739,2,0,310,726
Buffalo,Bobby Hurley [1576],,145,739,2,0,162,726
Cal State Fullerton,Dedrique Taylor [3122],,247,739,2,0,193,726
East Carolina,Jeff Lebo [1875],,131,739,2,0,98,726
Eastern Kentucky,Jeff Neubauer [2352],,45,739,2,0,34,726
