Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Brad Holland [1507],,270,634,2,0,212,589
Rhode Island,Jim Harrick [1367],,157,634,2,0,1,589
Southern Utah,Bill Evans [991],,151,634,2,0,182,589
Saint Francis (PA),Tom McConnell [2087],,60,634,2,0,92,589
Hofstra,Jay Wright [3478],,297,634,2,0,152,589
Southern Mississippi,James Green [1255],,76,634,2,0,92,589
Old Dominion,Jeff Capel [480],,132,634,2,0,92,589
Indiana State,Royce Waltman [3298],,254,634,2,0,122,589
New Hampshire,Jeff Jackson [1602],,303,634,2,0,212,589
Cincinnati,Bob Huggins [1552],,17,634,2,0,1,589
Troy,Don Maestri [1987],,94,634,2,0,212,589
Morehead State,Kyle Macy [1984],,204,634,2,0,266,589
Tennessee,Jerry Green [1256],,166,634,2,0,122,589
Chattanooga,Henry Dickerson [815],,245,634,2,0,62,589
Memphis,Tic Price [2589],,77,634,2,0,122,589
Providence,Tim Welsh [3344],,267,634,2,0,306,589
Missouri State,Steve Alford [34],,256,634,2,0,1,589
American,Art Perry [2506],,135,634,2,0,182,589
La Salle,Speedy Morris [2274],,166,634,2,0,212,589
Mississippi,Rod Barnes [146],,148,634,2,0,1,589
Green Bay,Mike Heideman [1420],,71,634,2,0,122,589
Purdue,Gene Keady [1710],,144,634,2,0,1,589
Weber State,Ron Abegglen [3],,162,634,2,0,122,589
Portland,Rob Chavez [547],,268,634,2,0,152,589
Alabama-Birmingham,Murry Bartow [164],,75,634,2,0,152,589
Kansas State,Tom Asbury [97],,190,634,2,0,31,589
Saint Peter's,Rodger Blind [273],,299,634,2,0,266,589
Maryland-Eastern Shore,Lonnie Williams [3410],,134,634,2,0,240,589
Stephen F. Austin,Derek Allister [49],,236,634,2,0,212,589
Penn State,Jerry Dunn [902],,146,634,2,0,240,589
Fordham,Nick Macarchuk [1971],,165,634,2,0,297,589
Maine,John Giannini [1181],,304,634,2,0,266,589
Northern Illinois,Brian Hammel [1333],,242,634,2,0,212,589
Buffalo,Tim Cohane [603],,147,634,2,0,92,589
Cal State Fullerton,Bob Hawking [1395],,165,634,2,0,212,589
East Carolina,Joe Dooley [857],,136,634,2,0,240,589
Eastern Kentucky,Scott Perry [2509],,201,634,2,0,182,589
Illinois-Chicago,Jimmy Collins [617],,47,634,2,0,1,589
North Carolina-Greensboro,Randy Peele [2494],,246,634,2,0,152,589
Bradley,Jim Molinari [2243],,257,634,2,0,182,589
St. Francis (NY),Ron Ganulin [1148],,65,634,2,0,62,589
Creighton,Dana Altman [51],,252,634,2,0,62,589
Mississippi Valley State,Lafayette Stribling [3069],,264,634,2,0,182,589
Bowling Green State,Dan Dakich [730],,242,634,2,0,266,589
Georgetown,Craig Esherick [986],John Thompson [3154],267,634,2,0,297,589
Marshall,Greg White [3365],,242,634,2,0,240,589
Wisconsin,Dick Bennett [211],,149,634,2,0,212,589
Colorado State,Ritchie McKay [2133],,80,634,2,0,266,589
Colgate,Emmett Davis [757],,43,634,2,0,62,589
Duke,Mike Krzyzewski [1814],,16,634,2,0,31,589
Brigham Young,Steve Cleveland [587],,84,634,2,0,297,589
Western Carolina,Phil Hopkins [1530],,245,634,2,0,212,589
Washington,Bob Bender [202],,24,634,2,0,122,589
Tennessee-Martin,Cal Luther [1961],,202,634,2,0,212,589
Louisiana-Lafayette,Jessie Evans [999],,241,634,2,0,31,589
Arizona State,Rob Evans [1004],,50,634,2,0,92,589
Florida International,Shakey Rodriguez [2743],,25,634,2,0,31,589
Florida Atlantic,Kevin Billerman [246],,88,634,2,0,240,589
College of Charleston,John Kresse [1806],,18,634,2,0,1,589
Austin Peay,Dave Loos [1939],,184,634,2,0,152,589
Portland State,Joel Sobotka [2985],,176,634,2,0,62,589
Southeast Missouri State,Gary Garner [1158],,201,634,2,0,92,589
Fairleigh Dickinson,Tom Green [1258],,48,634,2,0,1,589
Kent State,Gary Waters [3314],,244,634,2,0,122,589
Robert Morris,Jim Boone [291],,73,634,2,0,212,589
Seton Hall,Tommy Amaker [53],,265,634,2,0,152,589
Murray State,Tevester Anderson [71],,17,634,2,0,1,589
Princeton,Bill Carmody [497],,1,634,2,0,1,589
Saint Mary's (CA),Dave Bollwinkel [286],,271,634,2,0,92,589
Marquette,Mike Deane [781],,71,634,2,0,212,589
Virginia Commonwealth,Mack McCarthy [2075],,135,634,2,0,212,589
Tennessee Tech,Jeff Lebo [1875],,202,634,2,0,240,589
Butler,Barry Collier [611],,70,634,2,0,62,589
Fresno State,Jerry Tarkanian [3114],,56,634,2,0,92,589
North Carolina-Wilmington,Jerry Wainwright [3273],,130,634,2,0,62,589
Army,Pat Harris [1371],,45,634,2,0,152,589
Wichita State,Randy Smithson [2976],,244,634,2,0,92,589
Baylor,Harry Miller [2211],,182,634,2,0,182,589
Eastern Michigan,Milton Barnes [144],,236,634,2,0,31,589
