Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Hank Egan [951],,23,510,2,0,1,490
Rhode Island,Thomas Penders [2500],,150,510,2,0,33,490
Saint Francis (PA),Jim Baron [151],,134,510,2,0,97,490
Hofstra,Dick Berg [219],,148,510,2,0,224,490
Old Dominion,Tom Young [3499],,78,510,2,0,224,490
Southern Mississippi,M.K. Turk [3207],,163,510,2,0,65,490
New Hampshire,Gerry Friel [1127],,126,510,2,0,251,490
Indiana State,Ronald Greene [1263],,134,510,2,0,224,490
Cincinnati,Tony Yates [3488],,164,510,2,0,163,490
Morehead State,Tommy Gaither [1140],,220,510,2,0,65,490
Tennessee,Don DeVoe [808],,260,510,2,0,224,490
Chattanooga,Mack McCarthy [2075],,22,510,2,0,1,490
Memphis,Larry Finch [1041],,149,510,2,0,1,490
Providence,Gordon Chiesa [554],,153,510,2,0,97,490
Missouri State,Charles Spoonhour [3001],,6,510,2,0,1,490
American,Ed Tapscott [3113],,85,510,2,0,163,490
Mississippi,Ed Murphy [2310],,258,510,2,0,131,490
Green Bay,Dick Bennett [211],,66,510,2,0,33,490
La Salle,Speedy Morris [2274],,223,510,2,0,97,490
Purdue,Gene Keady [1710],,52,510,2,0,65,490
Weber State,Larry Farmer [1014],,184,510,2,0,224,490
Portland,Larry Steele [3026],,237,510,2,0,224,490
Alabama-Birmingham,Gene Bartow [163],,73,510,2,0,33,490
Kansas State,Lon Kruger [1811],,130,510,2,0,131,490
Saint Peter's,Ted Fiore [1048],,157,510,2,0,1,490
Maryland-Eastern Shore,Steve Williams [3417],,22,510,2,0,224,490
Stephen F. Austin,Harry Miller [2211],,1,510,2,0,1,490
Penn State,Bruce Parkhill [2467],,168,510,2,0,97,490
Fordham,Nick Macarchuk [1971],,225,510,2,0,163,490
Maine,Skip Chappelle [546],,124,510,2,0,195,490
Cal State Fullerton,George McQuarn [2160],,258,510,2,0,97,490
East Carolina,Mike Steele [3027],,87,510,2,0,195,490
Eastern Kentucky,Max Good [1224],,219,510,2,0,97,490
Illinois-Chicago,Bob Hallberg [1324],,65,510,2,0,131,490
Houston Baptist,Tommy Jones [1680],,150,510,2,0,131,490
Bradley,Stan Albeck [26],,129,510,2,0,33,490
St. Francis (NY),Bob Valvano [3228],,135,510,2,0,224,490
Creighton,Tony Barone [152],,134,510,2,0,163,490
Mississippi Valley State,Lafayette Stribling [3069],,171,510,2,0,97,490
Bowling Green State,Jim Larranaga [1856],,82,510,2,0,97,490
Georgetown,John Thompson [3154],,150,510,2,0,1,490
Marshall,Rick Huckabay [1549],,6,510,2,0,33,490
Wisconsin,Steve Yoder [3493],,58,510,2,0,224,490
Colorado State,Tiny Grant [1243],,172,510,2,0,163,490
Colgate,Joe Baker [120],,126,510,2,0,224,490
Duke,Mike Krzyzewski [1814],,68,510,2,0,33,490
Brigham Young,Ladell Andersen [57],,169,510,2,0,33,490
Western Carolina,Herb Krusen [1812],,57,510,2,0,224,490
Washington,Andy Russo [2793],,225,510,2,0,65,490
Arizona State,Steve Patterson [2479],,228,510,2,0,251,490
Austin Peay,Lake Kelly [1732],,220,510,2,0,1,490
Fairleigh Dickinson,Tom Green [1258],,67,510,2,0,33,490
Kent State,Jim McDonald [2108],,64,510,2,0,33,490
Robert Morris,Jarrett Durham [912],,133,510,2,0,163,490
Seton Hall,P.J. Carlesimo [490],,157,510,2,0,251,490
Murray State,Steve Newton [2359],,222,510,2,0,163,490
Princeton,Pete Carril [504],,170,510,2,0,1,490
Saint Mary's (CA),Lynn Nance [2333],,236,510,2,0,65,490
Virginia Commonwealth,Mike Pollio [2556],,76,510,2,0,163,490
Tennessee Tech,Tom Deaton [782],,224,510,2,0,224,490
Butler,Joe Sexson [2886],,224,510,2,0,163,490
Fresno State,Ron Adams [16],,264,510,2,0,251,490
North Carolina-Wilmington,Robert McPherson [2158],,64,510,2,0,65,490
Hardin-Simmons,Dick Danford [736],,152,510,2,0,97,490
Army,Les Wothke [3475],,223,510,2,0,131,490
Wichita State,Eddie Fogler [1083],,130,510,2,0,65,490
Baylor,Gene Iba [1588],,250,510,2,0,33,490
Eastern Michigan,Ben Braun [328],,122,510,2,0,65,490
South Alabama,Ronnie Arrow [96],,75,510,2,0,97,490
Florida State,Pat Kennedy [1742],,162,510,2,0,131,490
Florida,Norm Sloan [2944],,254,510,2,0,65,490
Alabama,Wimp Sanderson [2815],,23,510,2,0,1,490
Georgia Southern,Frank Kerns [1749],,151,510,2,0,1,490
Oregon State,Ralph Miller [2217],,223,510,2,0,97,490
Rider,John Carpenter [503],,144,510,2,0,97,490
Nevada-Las Vegas,Jerry Tarkanian [3114],,1,510,2,0,1,490
San Jose State,Bill Berry [226],,256,510,2,0,33,490
Navy,Pete Herrmann [1447],,6,510,2,0,1,490
Montana State,Stu Starner [3021],,67,510,2,0,1,490
Boston College,Jim O'Brien [2391],,156,510,2,0,195,490
Idaho,Tim Floyd [1077],,184,510,2,0,195,490
Monmouth,Wayne Szoke [3107],,136,510,2,0,251,490
Virginia,Terry Holland [1508],,65,510,2,0,97,490
Delaware State,Marshall Emery [970],,21,510,2,0,195,490
St. John's (NY),Lou Carnesecca [500],,154,510,2,0,131,490
Duquesne,Jim Satalin [2816],,169,510,2,0,251,490
Western Illinois,Jack Margenthaler [2015],,69,510,2,0,224,490
Texas,Bob Weltlich [3345],,254,510,2,0,163,490
Valparaiso,Tom Smith [2973],,68,510,2,0,195,490
Ball State,Rick Majerus [2001],,125,510,2,0,251,490
Loyola (MD),Mark Amatucci [54],,68,510,2,0,65,490
Jacksonville,Rich Haddad [1300],,73,510,2,0,1,490
Texas-El Paso,Don Haskins [1390],,150,510,2,0,1,490
Washington State,Kelvin Sampson [2806],,229,510,2,0,264,490
Louisiana-Monroe,Mike Vining [3254],,67,510,2,0,163,490
Harvard,Peter Roby [2736],,175,510,2,0,224,490
Villanova,Rollie Massimino [2043],,155,510,2,0,163,490
Michigan,Bill Frieder [1126],,56,510,2,0,131,490
Georgia State,Bob Reinhart [2668],,155,510,2,0,251,490
Arkansas,Nolan Richardson [2695],,252,510,2,0,97,490
Holy Cross,George Blaney [266],,226,510,2,0,195,490
North Texas,Jimmy Gales [1141],,67,510,2,0,97,490
Illinois State,Bob Donewald [847],,132,510,2,0,97,490
Rice,Scott Thompson [3157],,256,510,2,0,251,490
St. Bonaventure,Ron DeCarli [783],,172,510,2,0,264,490
Coastal Carolina,Russ Bergman [221],,30,510,2,0,131,490
James Madison,Tom McCorry [2090],John Thurston [3168],85,510,2,0,33,490
Iowa,Tom Davis [771],,54,510,2,0,1,490
Charlotte,Jeff Mullins [2304],,76,510,2,0,131,490
Northern Iowa,Eldon Miller [2208],,67,510,2,0,97,490
Michigan State,Jud Heathcote [1414],,58,510,2,0,163,490
Georgia Tech,Bobby Cremins [695],,66,510,2,0,163,490
Texas Southern,Robert Moreland [2264],,175,510,2,0,65,490
Indiana,Bob Knight [1782],,52,510,2,0,33,490
Texas Christian,Moe Iba [1590],,67,510,2,0,1,490
Pittsburgh,Paul Evans [1003],,152,510,2,0,33,490
Central Michigan,Charlie Coles [609],,23,510,2,0,1,490
Howard,A.B. Williamson [3420],,15,510,2,0,33,490
Minnesota,Clem Haskins [1389],,60,510,2,0,264,490
Lamar,Tom Abatemarco [1],,64,510,2,0,65,490
Youngstown State,Jim Cleamons [582],,223,510,2,0,195,490
Hawaii,Riley Wallace [3288],,175,510,2,0,251,490
Citadel,Randy Nesbit [2349],,54,510,2,0,163,490
Fairfield,Mitch Buonaguro [416],,224,510,2,0,65,490
Texas-San Antonio,Ken Burmeister [428],,155,510,2,0,195,490
Ohio State,Gary Williams [3403],,56,510,2,0,195,490
Niagara,Andy Walker [3277],,121,510,2,0,65,490
Montana,Stew Morrill [2270],,180,510,2,0,65,490
Manhattan,Delle Bovi [299],,227,510,2,0,224,490
Davidson,Bobby Hussey [1579],,16,510,2,0,65,490
North Carolina,Dean Smith [2954],,6,510,2,0,1,490
Iowa State,Johnny Orr [2437],,142,510,2,0,224,490
Utah State,Rod Tueller [3205],,261,510,2,0,195,490
Texas A&M,Shelby Metcalf [2189],,254,510,2,0,224,490
UCLA,Walt Hazzard [1411],,154,510,2,0,1,490
Coppin State,Fang Mitchell [2233],,18,510,2,0,97,490
Wake Forest,Bob Staak [3006],,69,510,2,0,195,490
Lafayette,Butch van Breda Kolff [3230],,131,510,2,0,65,490
New Mexico,Gary Colson [619],,170,510,2,0,131,490
William & Mary,Chuck Swenson [3105],,87,510,2,0,224,490
Lehigh,Fran McCaffery [2065],,143,510,2,0,33,490
Gonzaga,Dan Fitzgerald [1057],,230,510,2,0,97,490
Dartmouth,Paul Cormier [660],,173,510,2,0,163,490
Canisius,Marty Marbach [2014],,122,510,2,0,131,490
California,Lou Campanelli [465],,223,510,2,0,131,490
San Francisco,Jim Brovelli [363],,237,510,2,0,131,490
East Tennessee State,Les Robinson [2729],,57,510,2,0,195,490
California-Irvine,Bill Mulligan [2303],,260,510,2,0,163,490
Santa Clara,Carroll Williams [3398],,236,510,2,0,33,490
Iona,Gary Brokaw [357],,222,510,2,0,33,490
Grambling,Robert Hopkins [1531],,153,510,2,0,33,490
Texas State,Harry Larrabee [1855],,27,510,2,0,65,490
Detroit Mercy,John Mulroy [2305],Don Sicko [2922],225,510,2,0,195,490
Yale,Dick Kuchen [1815],,173,510,2,0,195,490
Northeastern,Karl Fogel [1082],,6,510,2,0,1,490
Clemson,Cliff Ellis [963],,64,510,2,0,65,490
Virginia Tech,Frankie Allen [38],,162,510,2,0,195,490
Temple,John Chaney [542],,6,510,2,0,1,490
Drake,Gary Garner [1158],,134,510,2,0,195,490
Wyoming,Benny Dees [787],,168,510,2,0,65,490
Evansville,Jim Crews [698],,221,510,2,0,65,490
Kansas,Larry Brown [379],,137,510,2,0,65,490
Northwestern State,Don Beasley [182],,28,510,2,0,131,490
