Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
Florida,Becky Burleigh,,,,,,2,,,
Notre Dame,Randy Waldrum,,,,,,3,,,
William & Mary,John Daly,,,,,,4,,,
James Madison,David Lombardo,,,,,,5,,,
Texas A&M,G. Guerrieri,,,,,,6,,,
Texas,Chris Petrucelli,,,,,,7,,,
Boston U.,Nancy Feldman,,,,,,8,,,
Florida St.,Mark Krikorian,,,,,,9,,,
Old Dominion,Joe Pereira,,,,,,10,,,
Virginia,Steve Swanson,,,,,,11,,,
BYU,Jennifer Rockwood,,,,,,12,,,
Denver,Jeff Hooker,,,,,,13,,,
Colorado,Bill Hempen,,,,,,14,,,
Dayton,Mike Tucker,,,,,,15,,,
Navy,Carin Gabarra,,,,,,16,,,
Army,Gene Ventriglia,,,,,,17,,,
Wake Forest,Tony Da Luz,,,,,,18,,,
Harvard,Ray Leone,,,,,,19,,,
UCLA,Coach Unknown,,,,,,20,,,
Portland,Coach Unknown,,,,,,21,,,
Stanford,Coach Unknown,,,,,,22,,,
Oklahoma St.,Coach Unknown,,,,,,23,,,
Minnesota,Coach Unknown,,,,,,24,,,
Milwaukee,Coach Unknown,,,,,,25,,,
Western Ky.,Coach Unknown,,,,,,26,,,
Charlotte,Coach Unknown,,,,,,27,,,
Siena,Coach Unknown,,,,,,28,,,
LIU Brooklyn,Coach Unknown,,,,,,29,,,
North Texas,Coach Unknown,,,,,,30,,,
Radford,Coach Unknown,,,,,,31,,,
Princeton,Coach Unknown,,,,,,32,,,
Monmouth,Coach Unknown,,,,,,33,,,
UNC Greensboro,Coach Unknown,,,,,,34,,,
LSU,Coach Unknown,,,,,,35,,,
TCU,Coach Unknown,,,,,,36,,,
Toledo,Coach Unknown,,,,,,37,,,
Southern California,Coach Unknown,,,,,,38,,,
Missouri,Coach Unknown,,,,,,39,,,
West Virginia,Coach Unknown,,,,,,40,,,
South Dakota St.,Coach Unknown,,,,,,41,,,
Georgetown,Coach Unknown,,,,,,42,,,
East Carolina,Coach Unknown,,,,,,43,,,
San Diego,Coach Unknown,,,,,,44,,,
Memphis,Coach Unknown,,,,,,45,,,
Fairfield,Coach Unknown,,,,,,46,,,
Texas St.,Coach Unknown,,,,,,47,,,
Columbia,Coach Unknown,,,,,,48,,,
