Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
Santa Clara,Jerry Smith,,,,,,2,,,
Notre Dame,Randy Waldrum,,,,,,3,,,
William & Mary,John Daly,,,,,,4,,,
Texas A&M,G. Guerrieri,,,,,,5,,,
Texas,Chris Petrucelli,,,,,,6,,,
Boston U.,Nancy Feldman,,,,,,7,,,
Florida St.,Mark Krikorian,,,,,,8,,,
Old Dominion,Joe Pereira,,,,,,9,,,
BYU,Jennifer Rockwood,,,,,,10,,,
Denver,Jeff Hooker,,,,,,11,,,
Navy,Carin Gabarra,,,,,,12,,,
Wake Forest,Tony Da Luz,,,,,,13,,,
UCLA,Coach Unknown,,,,,,14,,,
Kennesaw St.,Coach Unknown,,,,,,15,,,
Middle Tenn.,Coach Unknown,,,,,,16,,,
Oklahoma St.,Coach Unknown,,,,,,17,,,
Rutgers,Coach Unknown,,,,,,18,,,
Villanova,Coach Unknown,,,,,,19,,,
Milwaukee,Coach Unknown,,,,,,20,,,
Portland,Coach Unknown,,,,,,21,,,
Saint Louis,Coach Unknown,,,,,,22,,,
SMU,Coach Unknown,,,,,,23,,,
Maine,Coach Unknown,,,,,,24,,,
Utah,Coach Unknown,,,,,,25,,,
Penn St.,Coach Unknown,,,,,,26,,,
Monmouth,Coach Unknown,,,,,,27,,,
West Virginia,Coach Unknown,,,,,,28,,,
Alabama A&M,Coach Unknown,,,,,,29,,,
Central Mich.,Coach Unknown,,,,,,30,,,
Wright St.,Coach Unknown,,,,,,31,,,
Dartmouth,Coach Unknown,,,,,,32,,,
North Texas,Coach Unknown,,,,,,33,,,
Long Beach St.,Coach Unknown,,,,,,34,,,
Ball St.,Coach Unknown,,,,,,35,,,
Louisville,Coach Unknown,,,,,,36,,,
UTEP,Coach Unknown,,,,,,37,,,
Valparaiso,Coach Unknown,,,,,,38,,,
Mississippi Val.,Coach Unknown,,,,,,39,,,
Colorado Col.,Coach Unknown,,,,,,40,,,
Charlotte,Coach Unknown,,,,,,41,,,
Stanford,Coach Unknown,,,,,,42,,,
Samford,Coach Unknown,,,,,,43,,,
Bucknell,Coach Unknown,,,,,,44,,,
Winthrop,Coach Unknown,,,,,,45,,,
Fresno St.,Coach Unknown,,,,,,46,,,
Colgate,Coach Unknown,,,,,,47,,,
Loyola Marymount,Coach Unknown,,,,,,48,,,
Southeastern La.,Coach Unknown,,,,,,49,,,
UNC Wilmington,Coach Unknown,,,,,,50,,,
Manhattan,Coach Unknown,,,,,,51,,,
Longwood,Coach Unknown,,,,,,52,,,
Francis Marion,Coach Unknown,,,,,,53,,,
North Dakota St.,Coach Unknown,,,,,,54,,,
North Florida,Coach Unknown,,,,,,55,,,
UC Davis,Coach Unknown,,,,,,56,,,
Central Ark.,Coach Unknown,,,,,,57,,,
South Dakota St.,Coach Unknown,,,,,,58,,,
NJIT,Coach Unknown,,,,,,59,,,
