Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 14 1957,Sat,Furman,13,,East Tennessee State,7,
2,1,Sep 14 1957,Sat,Richmond,40,,East Carolina,7,Portsmouth VA
3,1,Sep 14 1957,Sat,Utah State,26,,Hawaii,12,
4,1,Sep 14 1957,Sat,West Texas A&M,20,,McMurry,7,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
5,2,Sep 20 1957,Fri,Davidson,26,,Catawba College,7,Charlotte NC
6,2,Sep 20 1957,Fri,UCLA,47,,Air Force,0,
7,2,Sep 20 1957,Fri,Virginia Tech,14,@,Tulane,13,
8,2,Sep 21 1957,Sat,Arizona State,28,@,Wichita State,0,
9,2,Sep 21 1957,Sat,Arkansas,12,,Oklahoma State,0,Little Rock AR
10,2,Sep 21 1957,Sat,(7) Baylor,7,,Villanova,0,
11,2,Sep 21 1957,Sat,Brigham Young,14,,Arizona,14,
12,2,Sep 21 1957,Sat,Clemson,66,,Presbyterian,0,
13,2,Sep 21 1957,Sat,Colorado,6,,Washington,6,
14,2,Sep 21 1957,Sat,Dayton,13,,Cincinnati,13,
15,2,Sep 21 1957,Sat,Detroit Mercy,14,,Marquette,0,
16,2,Sep 21 1957,Sat,Drake,34,,Northern Iowa,12,
17,2,Sep 21 1957,Sat,(10) Duke,26,@,South Carolina,14,
18,2,Sep 21 1957,Sat,Florida State,27,,Furman,7,
19,2,Sep 21 1957,Sat,George Washington,7,@,William & Mary,0,
20,2,Sep 21 1957,Sat,(11) Georgia Tech,13,,(20) Kentucky,0,
21,2,Sep 21 1957,Sat,Hardin-Simmons,14,@,Tulsa,0,
22,2,Sep 21 1957,Sat,Houston,7,,(14) Miami (FL),0,
23,2,Sep 21 1957,Sat,Iowa State,10,,Denver,0,
24,2,Sep 21 1957,Sat,Kansas,13,,Texas Christian,13,
25,2,Sep 21 1957,Sat,Mississippi,44,@,Trinity (Texas),0,
26,2,Sep 21 1957,Sat,Missouri,7,,Vanderbilt,7,
27,2,Sep 21 1957,Sat,(12) Navy,46,@,Boston College,6,
28,2,Sep 21 1957,Sat,New Mexico,25,,New Mexico State,7,
29,2,Sep 21 1957,Sat,Newberry,0,,Citadel,0,
30,2,Sep 21 1957,Sat,North Carolina State,7,@,North Carolina,0,
31,2,Sep 21 1957,Sat,(1) Oklahoma,26,@,(8) Pittsburgh,0,
32,2,Sep 21 1957,Sat,Oregon,9,@,Idaho,6,
33,2,Sep 21 1957,Sat,(13) Oregon State,20,,(19) Southern California,0,Portland OR
34,2,Sep 21 1957,Sat,Pacific,32,@,San Diego State,6,
35,2,Sep 21 1957,Sat,Rice,20,@,Louisiana State,14,
36,2,Sep 21 1957,Sat,Richmond,40,,Randolph-Macon,0,
37,2,Sep 21 1957,Sat,Southern Methodist,13,@,California,6,
38,2,Sep 21 1957,Sat,Stanford,46,,San Jose State,7,
39,2,Sep 21 1957,Sat,Texas,26,@,Georgia,7,Atlanta GA
40,2,Sep 21 1957,Sat,(2) Texas A&M,21,,Maryland,13,Dallas TX
41,2,Sep 21 1957,Sat,Texas-El Paso,14,,North Texas,13,
42,2,Sep 21 1957,Sat,Utah,32,,Montana,13,
43,2,Sep 21 1957,Sat,Virginia,6,,West Virginia,6,
44,2,Sep 21 1957,Sat,Virginia Military Institute,7,@,Tampa,0,
45,2,Sep 21 1957,Sat,Washington State,34,@,Nebraska,12,
46,2,Sep 21 1957,Sat,West Texas A&M,19,@,Texas Tech,0,
47,2,Sep 21 1957,Sat,Wyoming,12,,Kansas State,7,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
48,3,Sep 27 1957,Fri,Citadel,13,@,George Washington,6,
49,3,Sep 27 1957,Fri,San Jose State,27,@,Denver,20,
50,3,Sep 27 1957,Fri,UCLA,16,,Illinois,6,
51,3,Sep 28 1957,Sat,Air Force,40,,Occidental,6,
52,3,Sep 28 1957,Sat,Arizona State,19,,Idaho,7,
53,3,Sep 28 1957,Sat,Arkansas,41,,Tulsa,14,
54,3,Sep 28 1957,Sat,Army,42,,Nebraska,0,
55,3,Sep 28 1957,Sat,Auburn,7,@,(8) Tennessee,0,
56,3,Sep 28 1957,Sat,(11) Baylor,14,,(14) Houston,6,
57,3,Sep 28 1957,Sat,Boston College,20,,Florida State,7,
58,3,Sep 28 1957,Sat,Boston University,66,,Massachusetts,6,
59,3,Sep 28 1957,Sat,Cal Poly,10,@,New Mexico State,8,
60,3,Sep 28 1957,Sat,Cincinnati,19,@,Wichita State,13,
61,3,Sep 28 1957,Sat,Colgate,14,@,Cornell,13,
62,3,Sep 28 1957,Sat,Colorado,30,,Utah,24,
63,3,Sep 28 1957,Sat,Columbia,23,@,Brown,20,
64,3,Sep 28 1957,Sat,Dartmouth,27,,New Hampshire,0,
65,3,Sep 28 1957,Sat,Davidson,19,@,East Carolina,6,
66,3,Sep 28 1957,Sat,Dayton,12,,Richmond,7,
67,3,Sep 28 1957,Sat,Drake,25,,South Dakota State,7,
68,3,Sep 28 1957,Sat,(7) Duke,40,,Virginia,0,
69,3,Sep 28 1957,Sat,Florida,27,,Wake Forest,0,
70,3,Sep 28 1957,Sat,(12) Iowa,70,,Utah State,14,
71,3,Sep 28 1957,Sat,Iowa State,7,,Syracuse,7,
72,3,Sep 28 1957,Sat,Kansas State,36,,Brigham Young,7,
73,3,Sep 28 1957,Sat,Louisiana State,28,,Alabama,0,
74,3,Sep 28 1957,Sat,(10) Michigan,16,@,Southern California,6,
75,3,Sep 28 1957,Sat,(4) Michigan State,54,,Indiana,0,
76,3,Sep 28 1957,Sat,(6) Minnesota,46,,Washington,7,
77,3,Sep 28 1957,Sat,(19) Mississippi,15,@,Kentucky,0,
78,3,Sep 28 1957,Sat,Mississippi State,10,,Memphis,6,
79,3,Sep 28 1957,Sat,Missouri,35,,Arizona,13,
80,3,Sep 28 1957,Sat,(5) Navy,33,,William & Mary,6,
81,3,Sep 28 1957,Sat,New Mexico,30,@,Colorado State,7,
82,3,Sep 28 1957,Sat,North Carolina,26,,Clemson,0,
