Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 20 1919,Sat,Davidson,23,@,Guilford,0,
2,1,Sep 20 1919,Sat,Georgia Tech,48,,Camp Logan,0,
3,1,Sep 20 1919,Sat,Kansas State,12,@,Emporia State,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
4,2,Sep 26 1919,Fri,Camp Gordon,26,@,Oglethorpe,0,
5,2,Sep 26 1919,Fri,Davidson,21,@,Wake Forest,0,
6,2,Sep 27 1919,Sat,Army,14,,Middlebury,0,
7,2,Sep 27 1919,Sat,Auburn,37,,Marion,0,
8,2,Sep 27 1919,Sat,Boston College,22,,USS Utah,0,
9,2,Sep 27 1919,Sat,Brown,27,,Rhode Island,0,
10,2,Sep 27 1919,Sat,California,12,,Olympic Club,0,
11,2,Sep 27 1919,Sat,Centre,95,,Hanover,0,
12,2,Sep 27 1919,Sat,Clemson,53,,Erskine,0,
13,2,Sep 27 1919,Sat,Colorado State,28,@,Wyoming,0,
14,2,Sep 27 1919,Sat,Dartmouth,40,,Springfield,0,
15,2,Sep 27 1919,Sat,Georgetown,58,,Norfolk Navy Yard,6,
16,2,Sep 27 1919,Sat,Georgia Tech,74,,Furman,0,
17,2,Sep 27 1919,Sat,Harvard,53,,Bates,0,
18,2,Sep 27 1919,Sat,Indiana,20,,Wabash,7,
19,2,Sep 27 1919,Sat,Kansas State,16,,Baker,0,
20,2,Sep 27 1919,Sat,Lehigh,47,,Villanova,0,
21,2,Sep 27 1919,Sat,Mississippi College,57,,Chamberlain Hunt,0,
22,2,Sep 27 1919,Sat,North Carolina State,80,,Guilford,0,
23,2,Sep 27 1919,Sat,Oklahoma,40,@,Central Oklahoma,0,
24,2,Sep 27 1919,Sat,Pennsylvania,16,,Bucknell,0,
25,2,Sep 27 1919,Sat,Presbyterian,6,@,South Carolina,0,
26,2,Sep 27 1919,Sat,Rutgers,34,,Ursinus,0,
27,2,Sep 27 1919,Sat,Samford,31,@,Morgan,0,
28,2,Sep 27 1919,Sat,Southern Methodist,26,,Burleson,6,
29,2,Sep 27 1919,Sat,Syracuse,10,,Syracuse Alumni,0,
30,2,Sep 27 1919,Sat,Tennessee,29,,Tusculum,6,
31,2,Sep 27 1919,Sat,Texas,26,,Howard Payne,0,
32,2,Sep 27 1919,Sat,Texas A&M,77,,Sam Houston State,0,
33,2,Sep 27 1919,Sat,Virginia,12,,Randolph-Macon,2,
34,2,Sep 27 1919,Sat,Virginia Military Institute,3,,Hampden-Sydney,0,
35,2,Sep 27 1919,Sat,West Virginia,61,,Marietta,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
36,3,Oct 3 1919,Fri,Clemson,7,,Davidson,0,
37,3,Oct 3 1919,Fri,Tennessee,32,,Maryville (TN),2,
38,3,Oct 4 1919,Sat,Alabama,27,,Birmingham-Southern,0,
39,3,Oct 4 1919,Sat,Army,9,,Holy Cross,0,
40,3,Oct 4 1919,Sat,Auburn,19,@,Samford,6,
41,3,Oct 4 1919,Sat,Baylor,61,,Rusk,0,
42,3,Oct 4 1919,Sat,Brown,7,,Bowdoin,0,
43,3,Oct 4 1919,Sat,Bucknell,45,,Bloomsburg,0,
44,3,Oct 4 1919,Sat,Centre,12,@,Indiana,3,
45,3,Oct 4 1919,Sat,Colgate,34,,Susquehanna,7,
46,3,Oct 4 1919,Sat,Colorado State,14,,Wyoming,0,
47,3,Oct 4 1919,Sat,Cornell,9,,Oberlin,0,
48,3,Oct 4 1919,Sat,Dartmouth,13,,Norwich,0,
49,3,Oct 4 1919,Sat,Florida,33,,North Georgia,2,
50,3,Oct 4 1919,Sat,Franklin,14,,Purdue,14,
51,3,Oct 4 1919,Sat,Furman,13,,Oglethorpe,0,
52,3,Oct 4 1919,Sat,Georgetown,34,@,Norfolk Navy Base,0,
53,3,Oct 4 1919,Sat,Georgia,28,,Citadel,0,
54,3,Oct 4 1919,Sat,Georgia Tech,14,,Wake Forest,0,
55,3,Oct 4 1919,Sat,Guilford,6,,Wofford,6,
56,3,Oct 4 1919,Sat,Harvard,17,,Boston College,0,
57,3,Oct 4 1919,Sat,Hendrix,15,@,Mississippi College,12,
58,3,Oct 4 1919,Sat,Iowa,18,,Nebraska,0,
59,3,Oct 4 1919,Sat,Iowa State,3,,Coe,0,
60,3,Oct 4 1919,Sat,Kansas,42,,Pittsburg State,0,
61,3,Oct 4 1919,Sat,Kansas State,20,,Camp Funston,6,
62,3,Oct 4 1919,Sat,Kentucky,12,,Georgetown (Kentucky),0,
63,3,Oct 4 1919,Sat,Lafayette,13,,Muhlenberg,0,
64,3,Oct 4 1919,Sat,Lehigh,13,,Ursinus,0,
65,3,Oct 4 1919,Sat,Louisiana State,39,,Louisiana-Lafayette,0,
66,3,Oct 4 1919,Sat,Michigan,34,,Case,0,
67,3,Oct 4 1919,Sat,Minnesota,39,,North Dakota,0,
68,3,Oct 4 1919,Sat,Mississippi,32,,Arkansas State,0,
69,3,Oct 4 1919,Sat,Mississippi State,12,,Spring Hill,6,
70,3,Oct 4 1919,Sat,Missouri,41,,Drury,12,
71,3,Oct 4 1919,Sat,Navy,49,,North Carolina State,0,
72,3,Oct 4 1919,Sat,Newberry,0,,Fort Jackson,0,
73,3,Oct 4 1919,Sat,Notre Dame,14,,Kalamazoo,0,
74,3,Oct 4 1919,Sat,Ohio State,38,,Ohio Wesleyan,0,
75,3,Oct 4 1919,Sat,Oklahoma,157,,Kingfisher,0,
76,3,Oct 4 1919,Sat,Oklahoma State,37,,Southwestern Oklahoma State,0,
77,3,Oct 4 1919,Sat,Olympic Club,6,,California,6,
78,3,Oct 4 1919,Sat,Oregon State Alumni,0,,Oregon State,0,
79,3,Oct 4 1919,Sat,Penn State,33,,Gettysburg,0,
80,3,Oct 4 1919,Sat,Pennsylvania,54,,Pennsylvania Military,0,
81,3,Oct 4 1919,Sat,Pittsburgh,33,@,Geneva,0,
82,3,Oct 4 1919,Sat,Presbyterian,41,,Bailey Military,0,
83,3,Oct 4 1919,Sat,Princeton,28,,Trinity (CT),0,
84,3,Oct 4 1919,Sat,Rice,12,,Trinity (Texas),0,
85,3,Oct 4 1919,Sat,Richmond,0,,Virginia,0,
86,3,Oct 4 1919,Sat,Rutgers,19,,North Carolina,9,
87,3,Oct 4 1919,Sat,Sewanee,7,,Morgan,0,
88,3,Oct 4 1919,Sat,South Carolina,6,,Erskine,0,
89,3,Oct 4 1919,Sat,Southern Methodist,7,,Wesley,6,
90,3,Oct 4 1919,Sat,Swarthmore,10,@,Maryland,6,
91,3,Oct 4 1919,Sat,Syracuse,27,,Vermont,0,
92,3,Oct 4 1919,Sat,Texas,39,,Southwestern (TX),0,
93,3,Oct 4 1919,Sat,Texas A&M,28,,Texas State,0,
94,3,Oct 4 1919,Sat,Texas Christian,14,,North Texas,6,
95,3,Oct 4 1919,Sat,Tulane,27,,Jefferson,0,
96,3,Oct 4 1919,Sat,Vanderbilt,41,,Union (Tennessee),0,
97,3,Oct 4 1919,Sat,Virginia Tech,13,,Hampden-Sydney,0,
98,3,Oct 4 1919,Sat,Washington & Jefferson,23,,Kiski Preparatory,0,
99,3,Oct 4 1919,Sat,Washington & Lee,21,,Randolph-Macon,0,
100,3,Oct 4 1919,Sat,West Virginia,55,,Westminster (Pennsylvania),0,
101,3,Oct 4 1919,Sat,Wisconsin,37,,Ripon,0,
102,3,Oct 4 1919,Sat,Yale,20,,Springfield,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
103,4,Oct 7 1919,Tue,Colorado College,80,,Camp Logan,3,
104,4,Oct 11 1919,Sat,Alabama,49,,Mississippi,0,
105,4,Oct 11 1919,Sat,Arkansas,7,,Hendrix,0,
106,4,Oct 11 1919,Sat,Boston College,25,,Middlebury,0,
107,4,Oct 11 1919,Sat,California,19,,Saint Mary's (CA),0,
108,4,Oct 11 1919,Sat,Chicago,123,,Great Lakes Navy,0,
109,4,Oct 11 1919,Sat,Citadel,12,,Presbyterian,7,
110,4,Oct 11 1919,Sat,Colgate,14,,Brown,0,
111,4,Oct 11 1919,Sat,Colorado State,49,,Colorado,7,
112,4,Oct 11 1919,Sat,Cornell,3,,Williams,0,
113,4,Oct 11 1919,Sat,Dartmouth,27,,Massachusetts,7,
114,4,Oct 11 1919,Sat,Decatur Baptist,20,,Texas Christian,0,
115,4,Oct 11 1919,Sat,Drake,33,,William Penn,0,
116,4,Oct 11 1919,Sat,Erskine,6,@,Newberry,0,
117,4,Oct 11 1919,Sat,Furman,7,,Wofford,6,
118,4,Oct 11 1919,Sat,Georgetown,17,@,West Virginia Wesleyan,0,
119,4,Oct 11 1919,Sat,Georgia,14,,South Carolina,0,
120,4,Oct 11 1919,Sat,Georgia Tech,28,,Clemson,0,
121,4,Oct 11 1919,Sat,Harvard,35,,Colby,0,
122,4,Oct 11 1919,Sat,Haskell,12,,Oklahoma State,3,
123,4,Oct 11 1919,Sat,Illinois,14,@,Purdue,7,
124,4,Oct 11 1919,Sat,Indiana,24,@,Kentucky,0,
125,4,Oct 11 1919,Sat,Iowa State,7,,Grinnell,0,
126,4,Oct 11 1919,Sat,Kansas,14,,Emporia State,0,
127,4,Oct 11 1919,Sat,Lehigh,19,,Rutgers,0,
128,4,Oct 11 1919,Sat,Louisiana State,38,,Jefferson,0,
129,4,Oct 11 1919,Sat,Maryland,13,@,Virginia,0,
130,4,Oct 11 1919,Sat,Mississippi State,56,,Mississippi College,7,
131,4,Oct 11 1919,Sat,Missouri,6,,Kansas State,6,
132,4,Oct 11 1919,Sat,Navy,66,,Johns Hopkins,0,
133,4,Oct 11 1919,Sat,Nebraska,6,,Minnesota,6,
134,4,Oct 11 1919,Sat,North Carolina State,100,,Hampton Road,0,
135,4,Oct 11 1919,Sat,Northwestern,20,,DePauw,0,
136,4,Oct 11 1919,Sat,Notre Dame,60,,Mount Union,7,
137,4,Oct 11 1919,Sat,Oglethorpe,19,@,Chattanooga,0,
138,4,Oct 11 1919,Sat,Ohio State,46,,Cincinnati,0,
139,4,Oct 11 1919,Sat,Oregon,23,,Multnomah A.C.,0,
140,4,Oct 11 1919,Sat,Oregon State,21,,Rooks,0,
141,4,Oct 11 1919,Sat,Penn State,9,,Bucknell,0,
142,4,Oct 11 1919,Sat,Pennsylvania,89,,Delaware,0,
143,4,Oct 11 1919,Sat,Phillips,10,@,Texas,0,
144,4,Oct 11 1919,Sat,Pittsburgh,26,,West Virginia,0,
145,4,Oct 11 1919,Sat,Princeton,9,,Lafayette,6,
146,4,Oct 11 1919,Sat,Rice,8,@,Baylor,0,
147,4,Oct 11 1919,Sat,Sewanee,18,,Samford,0,
148,4,Oct 11 1919,Sat,Southwestern (TX),19,,Texas State,0,
149,4,Oct 11 1919,Sat,Stanford,59,,USS Boston,0,
150,4,Oct 11 1919,Sat,Syracuse,7,@,Army,3,
151,4,Oct 11 1919,Sat,Tennessee,3,,Vanderbilt,3,
152,4,Oct 11 1919,Sat,Texas A&M,16,@,Southern Methodist,0,
