Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 12 1964,Sat,Furman,13,,Mississippi College,10,
2,1,Sep 12 1964,Sat,Houston,34,,Trinity (Texas),7,
3,1,Sep 12 1964,Sat,UCLA,17,@,Pittsburgh,12,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
4,2,Sep 18 1964,Fri,Southern California,21,,Colorado,0,
5,2,Sep 19 1964,Sat,Air Force,3,@,(7) Washington,2,
6,2,Sep 19 1964,Sat,(6) Alabama,31,,Georgia,3,
7,2,Sep 19 1964,Sat,Arizona State,24,,Utah State,8,
8,2,Sep 19 1964,Sat,Arkansas,14,,Oklahoma State,10,Little Rock AR
9,2,Sep 19 1964,Sat,Army,34,,Citadel,0,
10,2,Sep 19 1964,Sat,(8) Auburn,30,,Houston,0,
11,2,Sep 19 1964,Sat,Boston College,21,,(9) Syracuse,14,
12,2,Sep 19 1964,Sat,Bowling Green State,35,,Southern Illinois,12,
13,2,Sep 19 1964,Sat,Buffalo,35,@,Boston University,0,
14,2,Sep 19 1964,Sat,California,21,,Missouri,14,
15,2,Sep 19 1964,Sat,Clemson,28,,Furman,0,
16,2,Sep 19 1964,Sat,Dayton,41,,St. Joseph's (Indiana),0,
17,2,Sep 19 1964,Sat,Duke,9,,South Carolina,9,
18,2,Sep 19 1964,Sat,Florida,24,,Southern Methodist,8,
19,2,Sep 19 1964,Sat,Florida State,14,@,Miami (FL),0,
20,2,Sep 19 1964,Sat,Georgia Tech,14,,Vanderbilt,2,
21,2,Sep 19 1964,Sat,Idaho,3,@,San Jose State,0,
22,2,Sep 19 1964,Sat,Iowa State,25,,Drake,0,
23,2,Sep 19 1964,Sat,Kansas,7,,Texas Christian,3,
24,2,Sep 19 1964,Sat,Kentucky,13,,Detroit Mercy,6,
25,2,Sep 19 1964,Sat,Louisiana State,9,,Texas A&M,6,
26,2,Sep 19 1964,Sat,Miami (OH),7,,Xavier,7,
27,2,Sep 19 1964,Sat,(1) Mississippi,30,,Memphis,0,
28,2,Sep 19 1964,Sat,Morehead State,6,,Marshall,0,
29,2,Sep 19 1964,Sat,(10) Navy,21,@,Penn State,8,
30,2,Sep 19 1964,Sat,Nebraska,56,,South Dakota,0,
31,2,Sep 19 1964,Sat,New Mexico State,3,,Texas-Arlington,0,
32,2,Sep 19 1964,Sat,North Carolina State,14,@,North Carolina,13,
33,2,Sep 19 1964,Sat,Northwestern,7,,Oregon State,3,
34,2,Sep 19 1964,Sat,Ohio,16,@,West Texas A&M,14,
35,2,Sep 19 1964,Sat,(2) Oklahoma,13,@,Maryland,3,
36,2,Sep 19 1964,Sat,Oregon,20,,Brigham Young,13,
37,2,Sep 19 1964,Sat,Pacific,23,,Montana,7,
38,2,Sep 19 1964,Sat,Tennessee,10,,Chattanooga,6,
39,2,Sep 19 1964,Sat,(4) Texas,31,,Tulane,0,
40,2,Sep 19 1964,Sat,Texas Tech,21,,Mississippi State,7,
41,2,Sep 19 1964,Sat,Texas-El Paso,0,,North Texas,0,
42,2,Sep 19 1964,Sat,Utah,16,,New Mexico,0,
43,2,Sep 19 1964,Sat,Villanova,22,@,Toledo,6,
44,2,Sep 19 1964,Sat,Virginia Tech,18,@,Tampa,14,
45,2,Sep 19 1964,Sat,Wake Forest,31,@,Virginia,21,
46,2,Sep 19 1964,Sat,Washington State,29,,Stanford,23,Spokane WA
47,2,Sep 19 1964,Sat,West Virginia,20,@,Richmond,10,
48,2,Sep 19 1964,Sat,Western Michigan,10,@,Louisville,7,
49,2,Sep 19 1964,Sat,Wichita State,21,,Montana State,6,
50,2,Sep 19 1964,Sat,William & Mary,14,@,Virginia Military Institute,12,
51,2,Sep 19 1964,Sat,Wisconsin,17,,Kansas State,7,
52,2,Sep 19 1964,Sat,Wyoming,31,,Colorado State,7,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
53,3,Sep 24 1964,Thu,(7) Washington,35,,Baylor,14,
54,3,Sep 25 1964,Fri,Detroit Mercy,22,,Toledo,6,
55,3,Sep 25 1964,Fri,Houston,10,,Texas A&M,0,
56,3,Sep 26 1964,Sat,(6) Alabama,36,,Tulane,6,Mobile AL
57,3,Sep 26 1964,Sat,Arizona,39,,Brigham Young,6,
58,3,Sep 26 1964,Sat,Arizona State,34,@,West Texas A&M,8,
59,3,Sep 26 1964,Sat,Arkansas,31,,Tulsa,22,
60,3,Sep 26 1964,Sat,Army,19,,Boston College,13,
61,3,Sep 26 1964,Sat,(8) Auburn,3,,Tennessee,0,Birmingham AL
62,3,Sep 26 1964,Sat,Boston University,15,,George Washington,7,
63,3,Sep 26 1964,Sat,Bowling Green State,21,@,North Texas,7,
64,3,Sep 26 1964,Sat,Brown,20,,Lafayette,3,
65,3,Sep 26 1964,Sat,Buffalo,9,,Cornell,9,
66,3,Sep 26 1964,Sat,Central Michigan,18,@,Western Michigan,6,
67,3,Sep 26 1964,Sat,Cincinnati,20,,Dayton,10,
68,3,Sep 26 1964,Sat,Colorado State,7,,Pacific,0,
69,3,Sep 26 1964,Sat,Columbia,21,,Colgate,14,
70,3,Sep 26 1964,Sat,Dartmouth,40,@,New Hampshire,0,
71,3,Sep 26 1964,Sat,Davidson,17,,Mississippi College,14,
72,3,Sep 26 1964,Sat,Duke,30,,Virginia,0,
73,3,Sep 26 1964,Sat,Florida,16,@,Mississippi State,13,Jackson MS
74,3,Sep 26 1964,Sat,Florida State,10,@,Texas Christian,0,
75,3,Sep 26 1964,Sat,Georgia,7,@,Vanderbilt,0,
76,3,Sep 26 1964,Sat,Georgia Tech,20,,Miami (FL),0,
77,3,Sep 26 1964,Sat,Harvard,20,,Massachusetts,14,
78,3,Sep 26 1964,Sat,(3) Illinois,20,@,California,14,
79,3,Sep 26 1964,Sat,Iowa,34,,Idaho,24,
80,3,Sep 26 1964,Sat,Kent State,15,,Xavier,2,
81,3,Sep 26 1964,Sat,Kentucky,27,@,(1) Mississippi,21,Jackson MS
82,3,Sep 26 1964,Sat,Louisiana State,3,@,Rice,0,
83,3,Sep 26 1964,Sat,Maryland,24,,South Carolina,6,
84,3,Sep 26 1964,Sat,Memphis,13,,Tampa,0,
85,3,Sep 26 1964,Sat,Miami (OH),21,@,Marshall,0,
86,3,Sep 26 1964,Sat,Michigan,24,,Air Force,7,
87,3,Sep 26 1964,Sat,Missouri,23,,Utah,6,
88,3,Sep 26 1964,Sat,(10) Navy,35,,William & Mary,6,
89,3,Sep 26 1964,Sat,Nebraska,26,@,Minnesota,21,
90,3,Sep 26 1964,Sat,New Mexico,20,,Montana,0,
91,3,Sep 26 1964,Sat,North Carolina,21,,Michigan State,15,
92,3,Sep 26 1964,Sat,North Carolina State,9,,Clemson,0,
93,3,Sep 26 1964,Sat,Northwestern,14,@,Indiana,13,
94,3,Sep 26 1964,Sat,Notre Dame,31,@,Wisconsin,7,
95,3,Sep 26 1964,Sat,(5) Ohio State,27,,Southern Methodist,8,
96,3,Sep 26 1964,Sat,Oklahoma State,29,,Iowa State,14,
97,3,Sep 26 1964,Sat,Oregon,22,,Pittsburgh,13,Portland OR
98,3,Sep 26 1964,Sat,Oregon State,14,@,Colorado,7,
99,3,Sep 26 1964,Sat,Pennsylvania,13,,Lehigh,6,
100,3,Sep 26 1964,Sat,Princeton,10,,Rutgers,7,
101,3,Sep 26 1964,Sat,Purdue,17,,Ohio,0,
102,3,Sep 26 1964,Sat,Richmond,20,,Virginia Military Institute,14,
103,3,Sep 26 1964,Sat,Southern California,40,@,(2) Oklahoma,14,
104,3,Sep 26 1964,Sat,Southern Illinois,7,,Louisville,6,
105,3,Sep 26 1964,Sat,Southern Mississippi,30,,Louisiana-Lafayette,0,
106,3,Sep 26 1964,Sat,Stanford,10,,San Jose State,8,
107,3,Sep 26 1964,Sat,(9) Syracuse,38,,Kansas,6,
108,3,Sep 26 1964,Sat,(4) Texas,23,@,Texas Tech,0,
109,3,Sep 26 1964,Sat,UCLA,21,,Penn State,14,
110,3,Sep 26 1964,Sat,Utah State,76,,New Mexico State,0,
111,3,Sep 26 1964,Sat,Villanova,32,@,Holy Cross,0,
112,3,Sep 26 1964,Sat,Wake Forest,38,@,Virginia Tech,21,Roanoke VA
113,3,Sep 26 1964,Sat,West Virginia,7,,Citadel,3,
114,3,Sep 26 1964,Sat,Wofford,21,@,Furman,14,
115,3,Sep 26 1964,Sat,Wyoming,28,@,Washington State,7,
116,3,Sep 26 1964,Sat,Yale,21,,Connecticut,6,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
117,4,Oct 2 1964,Fri,Cincinnati,19,@,Detroit Mercy,0,
118,4,Oct 2 1964,Fri,George Washington,34,,Furman,14,
119,4,Oct 2 1964,Fri,New Mexico,26,@,Brigham Young,14,
