Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 14 1963,Sat,Buffalo,34,,Gettysburg,0,
2,1,Sep 14 1963,Sat,Furman,17,,Davidson,0,
3,1,Sep 14 1963,Sat,Georgia Tech,9,,Florida,0,
4,1,Sep 14 1963,Sat,Memphis,28,@,Southern Mississippi,7,Jackson MS
5,1,Sep 14 1963,Sat,New Mexico State,21,,Eastern New Mexico,0,
6,1,Sep 14 1963,Sat,Quantico Marines,9,@,Xavier,7,
7,1,Sep 14 1963,Sat,Richmond,10,,East Carolina,7,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
8,2,Sep 20 1963,Fri,Florida State,24,@,Miami (FL),0,
9,2,Sep 20 1963,Fri,Pittsburgh,20,@,UCLA,0,
10,2,Sep 20 1963,Fri,(5) Texas,21,@,Tulane,0,
11,2,Sep 21 1963,Sat,Air Force,10,,(10) Washington,7,
12,2,Sep 21 1963,Sat,(3) Alabama,32,@,Georgia,7,
13,2,Sep 21 1963,Sat,(8) Arkansas,21,,Oklahoma State,0,Little Rock AR
14,2,Sep 21 1963,Sat,Army,30,,Boston University,0,
15,2,Sep 21 1963,Sat,Auburn,21,@,Houston,14,
16,2,Sep 21 1963,Sat,Bowling Green State,27,,Detroit Mercy,14,
17,2,Sep 21 1963,Sat,Buffalo,7,@,Ohio,0,
18,2,Sep 21 1963,Sat,California,15,,Iowa State,8,
19,2,Sep 21 1963,Sat,Catawba College,18,,Davidson,14,Charlotte NC
20,2,Sep 21 1963,Sat,Cincinnati,28,,Drake,0,
21,2,Sep 21 1963,Sat,Colorado State,20,@,Pacific,0,
22,2,Sep 21 1963,Sat,Dayton,22,,Toledo,19,
23,2,Sep 21 1963,Sat,Duke,22,,South Carolina,14,
24,2,Sep 21 1963,Sat,East Carolina,20,,Wake Forest,10,
25,2,Sep 21 1963,Sat,Furman,14,@,Vanderbilt,13,
26,2,Sep 21 1963,Sat,Idaho,32,,Fresno State,8,
27,2,Sep 21 1963,Sat,Kansas State,24,,Brigham Young,7,
28,2,Sep 21 1963,Sat,Kentucky,33,,Virginia Tech,14,
29,2,Sep 21 1963,Sat,Louisiana State,14,,Texas A&M,6,
30,2,Sep 21 1963,Sat,(2) Mississippi,0,,Memphis,0,
31,2,Sep 21 1963,Sat,Mississippi State,43,,Samford,0,
32,2,Sep 21 1963,Sat,Morehead State,19,@,Marshall,6,
33,2,Sep 21 1963,Sat,(9) Navy,51,@,West Virginia,7,
34,2,Sep 21 1963,Sat,Nebraska,58,,South Dakota State,7,
35,2,Sep 21 1963,Sat,North Carolina,11,,Virginia,7,
36,2,Sep 21 1963,Sat,North Carolina State,36,@,Maryland,14,
37,2,Sep 21 1963,Sat,(6) Northwestern,23,@,Missouri,12,
38,2,Sep 21 1963,Sat,(4) Oklahoma,31,,Clemson,14,
39,2,Sep 21 1963,Sat,Oregon State,29,@,Utah,14,
40,2,Sep 21 1963,Sat,Penn State,17,@,Oregon,7,Portland OR
41,2,Sep 21 1963,Sat,(1) Southern California,14,@,Colorado,0,
42,2,Sep 21 1963,Sat,Stanford,29,,San Jose State,13,
43,2,Sep 21 1963,Sat,Syracuse,32,,Boston College,21,
44,2,Sep 21 1963,Sat,Tennessee,34,,Richmond,6,
45,2,Sep 21 1963,Sat,Texas Christian,10,,Kansas,6,
46,2,Sep 21 1963,Sat,Texas Tech,16,,Washington State,7,
47,2,Sep 21 1963,Sat,Texas-El Paso,34,,North Texas,7,
