Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie ▴,Pts,Notes
385,3,Sep 25 1965,Sat,Pittsburgh,13,,Oklahoma,9,
386,4,Oct 2 1965,Sat,Navy,10,@,Oklahoma,0,
387,5,Oct 9 1965,Sat,(1) Texas,19,,Oklahoma,0,Dallas TX
388,8,Oct 30 1965,Sat,Colorado,13,@,Oklahoma,0,
389,10,Nov 13 1965,Sat,(9) Missouri,30,,Oklahoma,0,
390,12,Nov 25 1965,Thu,(3) Nebraska,21,,Oklahoma,9,
391,13,Dec 4 1965,Sat,Oklahoma State,17,@,Oklahoma,16,
392,3,Sep 25 1965,Sat,Iowa,27,@,Oregon State,7,Portland OR
393,4,Oct 1 1965,Fri,Southern California,26,,Oregon State,12,
394,5,Oct 9 1965,Sat,Northwestern,15,,Oregon State,7,
395,8,Oct 30 1965,Sat,Washington State,10,@,Oregon State,8,
396,10,Nov 13 1965,Sat,Washington,28,,Oregon State,21,
397,5,Oct 9 1965,Sat,Stanford,17,,Oregon,14,
398,6,Oct 16 1965,Sat,Air Force,18,,Oregon,18,Portland OR
399,7,Oct 23 1965,Sat,Washington,24,@,Oregon,20,Portland OR
400,9,Nov 6 1965,Sat,Washington State,27,,Oregon,7,
401,10,Nov 13 1965,Sat,California,24,@,Oregon,0,Portland OR
402,11,Nov 20 1965,Sat,Oregon State,19,@,Oregon,14,
403,2,Sep 18 1965,Sat,San Diego State,46,,Pacific,6,
404,3,Sep 25 1965,Sat,Iowa State,38,,Pacific,13,
405,5,Oct 9 1965,Sat,New Mexico State,14,@,Pacific,6,
406,7,Oct 23 1965,Sat,Air Force,40,@,Pacific,0,
407,8,Oct 30 1965,Sat,Montana,13,,Pacific,7,
408,9,Nov 6 1965,Sat,San Jose State,52,,Pacific,21,
409,10,Nov 13 1965,Sat,Fresno State,20,@,Pacific,0,
410,11,Nov 20 1965,Sat,Long Beach State,27,@,Pacific,7,
411,3,Sep 25 1965,Sat,North Texas,26,,Parsons (Iowa),7,
412,3,Sep 25 1965,Sat,Michigan State,23,@,Penn State,0,
413,4,Oct 2 1965,Sat,UCLA,24,@,Penn State,22,
414,6,Oct 16 1965,Sat,Syracuse,28,,Penn State,21,
415,8,Oct 30 1965,Sat,California,21,,Penn State,17,
416,11,Nov 20 1965,Sat,Pittsburgh,30,,Penn State,27,
417,5,Oct 9 1965,Sat,Dartmouth,24,,Pennsylvania,19,
418,7,Oct 23 1965,Sat,Princeton,51,,Pennsylvania,0,
419,8,Oct 30 1965,Sat,Harvard,10,,Pennsylvania,10,
420,9,Nov 6 1965,Sat,Yale,21,,Pennsylvania,19,
421,12,Nov 25 1965,Thu,Cornell,38,@,Pennsylvania,14,
422,7,Oct 23 1965,Sat,Quantico Marines,37,@,Pensacola NAS,0,
423,2,Sep 18 1965,Sat,Oregon,17,@,Pittsburgh,15,
424,4,Oct 2 1965,Sat,West Virginia,63,,Pittsburgh,48,
425,5,Oct 9 1965,Sat,Duke,21,,Pittsburgh,13,
426,6,Oct 16 1965,Sat,Navy,12,,Pittsburgh,0,Washington DC
427,8,Oct 30 1965,Sat,Syracuse,51,,Pittsburgh,13,Flushing NY
428,9,Nov 6 1965,Sat,(4) Notre Dame,69,@,Pittsburgh,13,
429,10,Nov 13 1965,Sat,(6) Southern California,28,,Pittsburgh,0,
430,2,Sep 18 1965,Sat,Davidson,35,,Presbyterian,0,
431,11,Nov 20 1965,Sat,Dartmouth,28,@,Princeton,14,
432,7,Oct 23 1965,Sat,(2) Michigan State,14,@,(6) Purdue,10,
433,8,Oct 30 1965,Sat,Illinois,21,,(6) Purdue,0,
434,3,Sep 25 1965,Sat,Toledo,9,,Quantico Marines,0,
435,4,Oct 2 1965,Sat,Xavier,26,@,Quantico Marines,12,
436,5,Oct 9 1965,Sat,Marshall,10,,Quantico Marines,9,
437,11,Nov 20 1965,Sat,Bradley,14,,Quantico Marines,7,
438,3,Sep 25 1965,Sat,(7) Louisiana State,42,,Rice,14,
439,4,Oct 2 1965,Sat,Duke,41,@,Rice,21,
440,6,Oct 16 1965,Sat,Southern Methodist,17,@,Rice,14,
441,8,Oct 30 1965,Sat,Texas Tech,27,,Rice,0,
442,9,Nov 6 1965,Sat,(2) Arkansas,31,@,Rice,0,
443,10,Nov 13 1965,Sat,Texas A&M,14,@,Rice,13,
444,11,Nov 20 1965,Sat,Texas Christian,42,,Rice,14,
445,12,Nov 27 1965,Sat,Baylor,17,@,Rice,13,
446,2,Sep 19 1965,Sun,West Virginia,56,,Richmond,0,
447,3,Sep 25 1965,Sat,Virginia Tech,25,@,Richmond,7,
448,4,Oct 2 1965,Sat,Southern Mississippi,28,,Richmond,7,
449,5,Oct 9 1965,Sat,East Carolina,34,@,Richmond,13,
450,6,Oct 16 1965,Sat,Buffalo,24,,Richmond,0,
451,7,Oct 23 1965,Sat,Boston College,38,,Richmond,7,
452,8,Oct 30 1965,Sat,Citadel,24,@,Richmond,0,
453,9,Nov 6 1965,Sat,Virginia Military Institute,21,,Richmond,14,
454,10,Nov 13 1965,Sat,Furman,14,,Richmond,0,
455,11,Nov 20 1965,Sat,William & Mary,21,,Richmond,0,
456,3,Sep 25 1965,Sat,Princeton,32,,Rutgers,6,
457,6,Oct 16 1965,Sat,Army,23,,Rutgers,6,
458,7,Oct 23 1965,Sat,Columbia,12,@,Rutgers,7,
459,8,Oct 30 1965,Sat,Boston University,30,,Rutgers,0,
460,9,Nov 6 1965,Sat,Lafayette,23,,Rutgers,18,
461,11,Nov 20 1965,Sat,Colgate,24,@,Rutgers,10,
462,11,Nov 20 1965,Sat,East Carolina,35,@,Samford,10,
463,2,Sep 17 1965,Fri,Stanford,26,,San Jose State,6,
464,3,Sep 25 1965,Sat,Idaho,17,,San Jose State,7,
465,4,Oct 2 1965,Sat,Utah State,35,@,San Jose State,8,
466,5,Oct 8 1965,Fri,Brigham Young,34,,San Jose State,7,
467,11,Nov 20 1965,Sat,Fresno State,24,,San Jose State,18,
468,3,Sep 25 1965,Sat,Duke,20,@,South Carolina,15,
469,5,Oct 9 1965,Sat,Tennessee,24,,South Carolina,3,
470,7,Oct 23 1965,Sat,(9) Louisiana State,21,,South Carolina,7,
471,8,Oct 30 1965,Sat,Maryland,27,@,South Carolina,14,
472,10,Nov 13 1965,Sat,(5) Alabama,35,,South Carolina,14,
473,9,Nov 6 1965,Sat,Colorado State,52,,South Dakota State,20,
474,10,Nov 13 1965,Sat,Cincinnati,41,,South Dakota,0,
475,2,Sep 18 1965,Sat,Southern Mississippi,15,,Southeastern Louisiana,0,
476,2,Sep 17 1965,Fri,Minnesota,20,,(7) Southern California,20,
477,7,Oct 23 1965,Sat,(7) Notre Dame,28,,(4) Southern California,7,
478,11,Nov 20 1965,Sat,(7) UCLA,20,@,(6) Southern California,16,
479,3,Sep 25 1965,Sat,Louisville,13,,Southern Illinois,0,
480,7,Oct 23 1965,Sat,Wichita State,27,,Southern Illinois,0,
481,8,Oct 30 1965,Sat,Tulsa,55,@,Southern Illinois,12,
482,3,Sep 25 1965,Sat,Illinois,42,,Southern Methodist,0,
483,4,Oct 2 1965,Sat,(2) Purdue,14,,Southern Methodist,14,Dallas TX
484,7,Oct 23 1965,Sat,Texas Tech,26,@,Southern Methodist,24,
485,10,Nov 13 1965,Sat,(2) Arkansas,24,@,Southern Methodist,3,
486,11,Nov 20 1965,Sat,Baylor,20,,Southern Methodist,10,
487,12,Nov 27 1965,Sat,Texas Christian,10,@,Southern Methodist,7,
488,5,Oct 9 1965,Sat,(9) Mississippi State,27,,Southern Mississippi,9,
489,8,Oct 30 1965,Sat,William & Mary,3,,Southern Mississippi,0,Norfolk VA
490,3,Sep 25 1965,Sat,Navy,7,,Stanford,7,
491,6,Oct 16 1965,Sat,(6) Southern California,14,,Stanford,0,
492,8,Oct 30 1965,Sat,Washington,41,,Stanford,8,
493,10,Nov 13 1965,Sat,(7) UCLA,30,@,Stanford,13,
494,3,Sep 25 1965,Sat,Miami (FL),24,@,(9) Syracuse,0,
495,5,Oct 9 1965,Sat,UCLA,24,,Syracuse,14,
496,9,Nov 6 1965,Sat,Oregon State,13,@,Syracuse,12,
497,4,Oct 2 1965,Sat,Mississippi State,48,,Tampa,7,
498,2,Sep 18 1965,Sat,George Washington,21,@,Temple,13,
499,3,Sep 25 1965,Sat,Auburn,13,,Tennessee,13,
500,10,Nov 13 1965,Sat,Mississippi,14,,(8) Tennessee,13,Memphis TN
501,2,Sep 18 1965,Sat,(8) Louisiana State,10,,Texas A&M,0,
502,4,Oct 2 1965,Sat,Texas Tech,20,,Texas A&M,16,
503,6,Oct 16 1965,Sat,Texas Christian,17,,Texas A&M,9,
504,7,Oct 23 1965,Sat,Baylor,31,@,Texas A&M,0,
505,8,Oct 30 1965,Sat,(2) Arkansas,31,,Texas A&M,0,Little Rock AR
506,9,Nov 6 1965,Sat,Southern Methodist,10,@,Texas A&M,0,
507,12,Nov 25 1965,Thu,Texas,21,@,Texas A&M,17,
508,2,Sep 18 1965,Sat,(1) Nebraska,34,,Texas Christian,14,
509,4,Oct 2 1965,Sat,(4) Arkansas,28,,Texas Christian,0,Little Rock AR
510,5,Oct 9 1965,Sat,Texas Tech,28,,Texas Christian,24,
511,7,Oct 23 1965,Sat,Clemson,3,,Texas Christian,0,
512,16,Dec 31 1965,Fri,Texas-El Paso,13,,Texas Christian,12,Sun Bowl (El Paso TX)
513,3,Sep 25 1965,Sat,(3) Texas,33,,Texas Tech,7,
514,11,Nov 20 1965,Sat,(2) Arkansas,42,,(9) Texas Tech,24,
515,16,Dec 31 1965,Fri,Georgia Tech,31,,(10) Texas Tech,21,Gator Bowl (Jacksonville FL)
516,2,Sep 18 1965,Sat,New Mexico State,27,@,Texas-Arlington,10,
517,6,Oct 16 1965,Sat,Wyoming,38,,Texas-El Paso,14,
518,8,Oct 30 1965,Sat,Arizona State,28,@,Texas-El Paso,20,
519,9,Nov 6 1965,Sat,Arizona,10,,Texas-El Paso,3,
520,6,Oct 16 1965,Sat,(3) Arkansas,27,,(1) Texas,24,
521,7,Oct 23 1965,Sat,Rice,20,@,(5) Texas,17,
522,8,Oct 30 1965,Sat,Southern Methodist,31,,(9) Texas,14,
523,10,Nov 13 1965,Sat,Texas Christian,25,@,Texas,10,
524,4,Oct 2 1965,Sat,Marshall,14,,Toledo,0,
525,6,Oct 16 1965,Sat,Bowling Green State,21,,Toledo,14,
526,7,Oct 23 1965,Sat,Western Michigan,3,@,Toledo,0,
527,9,Nov 6 1965,Sat,Miami (OH),20,,Toledo,16,
528,10,Nov 13 1965,Sat,Xavier,14,,Toledo,7,
529,5,Oct 9 1965,Sat,West Texas A&M,34,,Trinity (Texas),6,
530,4,Oct 2 1965,Sat,Harvard,33,,Tufts,0,
531,2,Sep 18 1965,Sat,(2) Texas,31,,Tulane,0,
532,3,Sep 25 1965,Sat,Alabama,27,,Tulane,0,Mobile AL
533,5,Oct 9 1965,Sat,Georgia Tech,13,@,Tulane,10,
534,6,Oct 16 1965,Sat,Mississippi,24,,Tulane,7,Jackson MS
535,8,Oct 30 1965,Sat,Vanderbilt,13,@,Tulane,0,
536,9,Nov 6 1965,Sat,Stanford,16,@,Tulane,0,
537,10,Nov 13 1965,Sat,Florida,51,,Tulane,13,
538,11,Nov 20 1965,Sat,Louisiana State,62,,Tulane,0,
539,3,Sep 25 1965,Sat,(5) Arkansas,20,,Tulsa,12,
540,4,Oct 2 1965,Sat,Oklahoma State,17,,Tulsa,14,
541,15,Dec 18 1965,Sat,(7) Tennessee,27,,Tulsa,6,Bluebonnet Bowl (Houston TX)
542,2,Sep 18 1965,Sat,Michigan State,13,,UCLA,3,
543,13,Dec 4 1965,Sat,(7) Tennessee,37,,(5) UCLA,34,Memphis TN
544,9,Nov 6 1965,Sat,Memphis,7,,Utah State,0,
545,10,Nov 13 1965,Sat,Wichita State,21,,Utah State,19,
546,2,Sep 18 1965,Sat,Arizona,16,@,Utah,9,
547,3,Sep 25 1965,Sat,Oregon,31,@,Utah,14,
548,6,Oct 16 1965,Sat,New Mexico,13,,Utah,10,
549,7,Oct 23 1965,Sat,Oregon State,10,,Utah,6,
550,9,Nov 6 1965,Sat,Brigham Young,25,,Utah,20,
551,10,Nov 13 1965,Sat,Texas-El Paso,20,@,Utah,19,
552,11,Nov 20 1965,Sat,Utah State,14,@,Utah,7,
553,2,Sep 18 1965,Sat,Georgia Tech,10,,Vanderbilt,10,
554,3,Sep 25 1965,Sat,Georgia,24,,Vanderbilt,10,
555,4,Oct 2 1965,Sat,Wake Forest,7,,Vanderbilt,0,
556,5,Oct 9 1965,Sat,Alabama,22,@,Vanderbilt,7,
557,7,Oct 23 1965,Sat,Mississippi,24,,Vanderbilt,7,
558,9,Nov 6 1965,Sat,(10) Kentucky,34,@,Vanderbilt,0,
559,10,Nov 13 1965,Sat,Miami (FL),28,@,Vanderbilt,14,
560,12,Nov 27 1965,Sat,(9) Tennessee,21,,Vanderbilt,3,
561,2,Sep 18 1965,Sat,Toledo,9,@,Villanova,7,
562,3,Sep 25 1965,Sat,Boston College,28,,Villanova,0,
563,5,Oct 9 1965,Sat,Washington State,24,,Villanova,14,Spokane WA
564,6,Oct 16 1965,Sat,Delaware,24,,Villanova,21,
565,8,Oct 30 1965,Sat,Xavier,35,,Villanova,0,
566,9,Nov 6 1965,Sat,Quantico Marines,32,@,Villanova,6,
567,10,Nov 13 1965,Sat,Virginia Tech,21,,Villanova,19,
568,11,Nov 20 1965,Sat,Buffalo,20,@,Villanova,7,
569,2,Sep 18 1965,Sat,William & Mary,32,,Virginia Military Institute,21,
570,3,Sep 25 1965,Sat,Army,21,,Virginia Military Institute,7,
571,4,Oct 2 1965,Sat,George Washington,14,,Virginia Military Institute,0,
572,5,Oct 9 1965,Sat,Virginia,14,,Virginia Military Institute,10,
573,6,Oct 16 1965,Sat,Southern Mississippi,3,,Virginia Military Institute,0,
574,8,Oct 30 1965,Sat,Boston College,41,,Virginia Military Institute,12,
575,12,Nov 25 1965,Thu,Virginia Tech,44,,Virginia Military Institute,13,Roanoke VA
576,6,Oct 16 1965,Sat,Vanderbilt,21,,Virginia Tech,10,
577,8,Oct 30 1965,Sat,Florida State,7,,Virginia Tech,6,
578,9,Nov 6 1965,Sat,West Virginia,31,,Virginia Tech,22,
579,2,Sep 18 1965,Sat,Duke,21,@,Virginia,7,
580,3,Sep 25 1965,Sat,Clemson,20,@,Virginia,14,
581,7,Oct 23 1965,Sat,Virginia Tech,22,,Virginia,14,
582,8,Oct 30 1965,Sat,North Carolina State,13,@,Virginia,0,
583,9,Nov 6 1965,Sat,South Carolina,17,@,Virginia,7,
584,10,Nov 13 1965,Sat,Georgia Tech,42,,Virginia,19,
585,2,Sep 18 1965,Sat,Virginia Tech,12,,Wake Forest,3,Roanoke VA
586,3,Sep 25 1965,Sat,North Carolina State,13,,Wake Forest,11,
587,5,Oct 9 1965,Sat,Maryland,10,@,Wake Forest,7,
588,6,Oct 16 1965,Sat,South Carolina,38,,Wake Forest,7,
589,8,Oct 30 1965,Sat,Clemson,26,,Wake Forest,13,
590,9,Nov 6 1965,Sat,Florida State,35,,Wake Forest,0,
591,10,Nov 13 1965,Sat,Duke,40,,Wake Forest,7,
592,4,Oct 2 1965,Sat,Idaho,17,@,Washington State,13,
593,10,Nov 13 1965,Sat,Arizona State,7,,Washington State,6,
594,11,Nov 20 1965,Sat,Washington,27,,Washington State,9,
595,3,Sep 25 1965,Sat,Baylor,17,,Washington,14,
596,4,Oct 2 1965,Sat,Ohio State,23,@,Washington,21,
597,5,Oct 9 1965,Sat,(8) Southern California,34,@,Washington,0,
598,6,Oct 16 1965,Sat,California,16,,Washington,12,
599,9,Nov 6 1965,Sat,(8) UCLA,28,,Washington,24,
600,3,Sep 25 1965,Sat,East Carolina,27,,West Chester,6,
601,7,Oct 23 1965,Sat,Villanova,28,,West Chester,13,
602,7,Oct 23 1965,Sat,New Mexico State,10,@,West Texas A&M,2,
603,8,Oct 30 1965,Sat,Memphis,27,,West Texas A&M,12,
604,10,Nov 13 1965,Sat,Lamar,21,,West Texas A&M,14,
605,12,Nov 27 1965,Sat,Texas-El Paso,38,,West Texas A&M,21,
606,6,Oct 16 1965,Sat,Virginia,41,,West Virginia,0,Richmond VA
607,7,Oct 23 1965,Sat,Penn State,44,,West Virginia,6,
608,8,Oct 30 1965,Sat,Kentucky,28,,West Virginia,8,
609,10,Nov 13 1965,Sat,Syracuse,41,@,West Virginia,19,
610,4,Oct 2 1965,Sat,Miami (OH),36,@,Western Michigan,9,
611,5,Oct 9 1965,Sat,Bowling Green State,21,,Western Michigan,17,
612,6,Oct 16 1965,Sat,Kent State,10,,Western Michigan,10,
613,3,Sep 25 1965,Sat,Montana State,17,,Wichita State,6,
614,4,Oct 2 1965,Sat,Cincinnati,14,,Wichita State,6,
615,5,Oct 9 1965,Sat,Arizona State,8,,Wichita State,6,
616,6,Oct 16 1965,Sat,New Mexico State,45,@,Wichita State,20,
617,8,Oct 30 1965,Sat,Louisville,30,,Wichita State,10,
618,9,Nov 6 1965,Sat,North Texas,24,,Wichita State,21,
619,11,Nov 20 1965,Sat,Tulsa,13,@,Wichita State,3,
620,3,Sep 25 1965,Sat,West Virginia,34,@,William & Mary,14,
621,4,Oct 2 1965,Sat,Virginia Tech,9,,William & Mary,7,
622,5,Oct 9 1965,Sat,Navy,42,,William & Mary,14,
623,10,Nov 13 1965,Sat,Boston College,30,,William & Mary,17,
624,2,Sep 18 1965,Sat,Colorado,0,,Wisconsin,0,
625,3,Sep 25 1965,Sat,Southern California,26,@,Wisconsin,6,
626,5,Oct 9 1965,Sat,(2) Nebraska,37,,Wisconsin,0,
627,7,Oct 23 1965,Sat,Ohio State,20,@,Wisconsin,10,
628,8,Oct 30 1965,Sat,Michigan,50,,Wisconsin,14,
629,9,Nov 6 1965,Sat,Purdue,45,,Wisconsin,7,
630,10,Nov 13 1965,Sat,Illinois,51,@,Wisconsin,0,
631,11,Nov 20 1965,Sat,Minnesota,42,,Wisconsin,7,
632,11,Nov 20 1965,Sat,Davidson,13,,Wofford,6,
633,5,Oct 9 1965,Sat,Utah,42,,Wyoming,3,
634,10,Nov 13 1965,Sat,Army,13,,Wyoming,0,
635,11,Nov 20 1965,Sat,Arizona State,14,,Wyoming,10,
636,12,Nov 27 1965,Sat,(8) Southern California,56,,Wyoming,6,
637,7,Oct 23 1965,Sat,Chattanooga,15,,Xavier,14,
638,11,Nov 20 1965,Sat,Texas-El Paso,57,,Xavier,33,
639,3,Sep 25 1965,Sat,Connecticut,13,@,Yale,6,
640,4,Oct 2 1965,Sat,Colgate,7,@,Yale,0,
641,6,Oct 16 1965,Sat,Columbia,21,,Yale,7,
642,8,Oct 30 1965,Sat,Dartmouth,20,@,Yale,17,
643,10,Nov 13 1965,Sat,Princeton,31,,Yale,6,
644,11,Nov 20 1965,Sat,Harvard,13,@,Yale,0,
