Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie ▴,Pts,Notes
89,10,Nov 13 1965,Sat,Maryland,6,@,Clemson,0,
90,11,Nov 20 1965,Sat,South Carolina,17,,Clemson,16,
91,6,Oct 16 1965,Sat,Princeton,27,,Colgate,0,
92,7,Oct 23 1965,Sat,Brown,6,,Colgate,0,
93,10,Nov 13 1965,Sat,Buffalo,28,,Colgate,0,
94,3,Sep 25 1965,Sat,Wyoming,33,@,Colorado State,14,
95,5,Oct 9 1965,Sat,Texas-El Paso,35,,Colorado State,10,
96,6,Oct 16 1965,Sat,West Texas A&M,15,,Colorado State,12,
97,7,Oct 23 1965,Sat,Utah State,41,@,Colorado State,20,
98,8,Oct 30 1965,Sat,Utah,22,,Colorado State,19,
99,12,Nov 25 1965,Thu,Tulsa,48,,Colorado State,20,
100,6,Oct 16 1965,Sat,Iowa State,10,,Colorado,10,
101,7,Oct 23 1965,Sat,(3) Nebraska,38,,Colorado,13,
102,9,Nov 6 1965,Sat,(9) Missouri,20,@,Colorado,7,
103,3,Sep 25 1965,Sat,Lafayette,14,@,Columbia,10,
104,4,Oct 2 1965,Sat,Princeton,31,@,Columbia,0,
105,5,Oct 9 1965,Sat,Harvard,21,,Columbia,6,
106,8,Oct 30 1965,Sat,Cornell,20,,Columbia,6,
107,9,Nov 6 1965,Sat,Dartmouth,47,@,Columbia,0,
108,10,Nov 13 1965,Sat,Pennsylvania,31,,Columbia,21,
109,11,Nov 20 1965,Sat,Brown,51,@,Columbia,7,
110,4,Oct 2 1965,Sat,Rutgers,17,@,Connecticut,8,
111,11,Nov 20 1965,Sat,Holy Cross,22,@,Connecticut,0,
112,3,Sep 25 1965,Sat,Colgate,0,,Cornell,0,
113,5,Oct 9 1965,Sat,Princeton,36,@,Cornell,27,
114,6,Oct 16 1965,Sat,Harvard,3,,Cornell,3,
115,7,Oct 23 1965,Sat,Yale,24,,Cornell,14,
116,10,Nov 13 1965,Sat,Dartmouth,20,,Cornell,0,
