Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 15 1956,Sat,Arizona,27,,Montana,12,Phoenix AZ
2,1,Sep 15 1956,Sat,Iowa State,13,@,Denver,10,
3,1,Sep 15 1956,Sat,South Carolina,26,,Wofford,13,
4,1,Sep 15 1956,Sat,Tulsa,27,,New Mexico State,6,
5,1,Sep 15 1956,Sat,Utah State,39,@,Drake,33,
6,1,Sep 15 1956,Sat,Virginia Military Institute,47,@,Stetson,6,St. Petersburg FL
7,1,Sep 15 1956,Sat,Virginia Tech,37,,East Carolina,2,Bluefield WV
8,1,Sep 15 1956,Sat,West Texas A&M,29,,Texas A&M-Corpus Christi,6,
9,1,Sep 15 1956,Sat,Wichita State,13,,Brigham Young,0,
10,1,Sep 15 1956,Sat,Wyoming,40,,Western State,13,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
11,2,Sep 21 1956,Fri,Davidson,20,,Catawba College,6,Charlotte NC
12,2,Sep 21 1956,Fri,Richmond,38,,Randolph-Macon,0,
13,2,Sep 21 1956,Fri,(17) UCLA,13,,Utah,7,
14,2,Sep 22 1956,Sat,Arizona State,37,,Wichita State,9,
15,2,Sep 22 1956,Sat,Arkansas,21,,Hardin-Simmons,6,
16,2,Sep 22 1956,Sat,Baylor,7,@,California,6,
17,2,Sep 22 1956,Sat,Clemson,27,,Presbyterian,7,
18,2,Sep 22 1956,Sat,Dayton,19,@,Cincinnati,13,
19,2,Sep 22 1956,Sat,Detroit Mercy,20,,Marquette,7,
20,2,Sep 22 1956,Sat,Florida,26,@,Mississippi State,0,
21,2,Sep 22 1956,Sat,Florida State,47,,Ohio,7,
22,2,Sep 22 1956,Sat,Fresno State,26,@,Brigham Young,13,
23,2,Sep 22 1956,Sat,George Washington,7,@,Miami (OH),6,
24,2,Sep 22 1956,Sat,(4) Georgia Tech,14,@,Kentucky,6,
25,2,Sep 22 1956,Sat,(13) Mississippi,45,,North Texas,0,
26,2,Sep 22 1956,Sat,Nebraska,34,,South Dakota,6,
27,2,Sep 22 1956,Sat,New Mexico,14,@,New Mexico State,6,
28,2,Sep 22 1956,Sat,Newberry,20,,Citadel,20,
29,2,Sep 22 1956,Sat,North Carolina State,26,@,North Carolina,6,
30,2,Sep 22 1956,Sat,Oklahoma State,27,@,Kansas State,7,
31,2,Sep 22 1956,Sat,Oregon,35,@,Colorado,0,
32,2,Sep 22 1956,Sat,Oregon State,19,@,Missouri,13,
33,2,Sep 22 1956,Sat,Pacific,39,,Colorado State,14,
34,2,Sep 22 1956,Sat,(10) Pittsburgh,14,@,West Virginia,13,
35,2,Sep 22 1956,Sat,Rice,20,,Alabama,13,
