Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 8 1945,Sat,College All-Stars,35,@,Great Lakes Navy,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
2,2,Sep 15 1945,Sat,Baylor,40,,Blackland Field,0,
3,2,Sep 15 1945,Sat,Bucknell,20,,Scranton,6,
4,2,Sep 15 1945,Sat,Michigan,27,,Great Lakes Navy,2,
5,2,Sep 15 1945,Sat,Tufts,14,,Coast Guard,6,
6,2,Sep 15 1945,Sat,West Texas A&M,57,,Eastern New Mexico,6,
7,2,Sep 15 1945,Sat,Wichita State,52,,Doane,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
8,3,Sep 21 1945,Fri,Auburn,38,,Samford,0,Montgomery AL
9,3,Sep 21 1945,Fri,Mississippi,21,,Kentucky,7,Memphis TN
10,3,Sep 21 1945,Fri,Southern California,13,@,UCLA,6,
11,3,Sep 22 1945,Sat,Arkansas,12,@,Barksdale Field,6,
12,3,Sep 22 1945,Sat,Baylor,32,,West Texas A&M,0,
13,3,Sep 22 1945,Sat,Clemson,76,,Presbyterian,0,
14,3,Sep 22 1945,Sat,Colorado College,12,,Denver,0,
15,3,Sep 22 1945,Sat,Corpus Christi NAS,26,@,Rice,13,
16,3,Sep 22 1945,Sat,Duke,60,,South Carolina,0,
17,3,Sep 22 1945,Sat,Florida,31,,Camp Blanding,2,
18,3,Sep 22 1945,Sat,Fort Warren,6,@,Colorado,0,
19,3,Sep 22 1945,Sat,Georgia,49,,Murray State,0,
20,3,Sep 22 1945,Sat,Illinois,23,,Pittsburgh,6,
21,3,Sep 22 1945,Sat,Indiana,13,@,Michigan,7,
22,3,Sep 22 1945,Sat,Minnesota,34,,Missouri,0,
23,3,Sep 22 1945,Sat,New Mexico,78,,Eastern New Mexico,0,
24,3,Sep 22 1945,Sat,North Carolina,6,@,Camp Lee,0,
25,3,Sep 22 1945,Sat,North Carolina State,47,,Milligan,12,
26,3,Sep 22 1945,Sat,Northwestern,18,,Iowa State,6,
27,3,Sep 22 1945,Sat,Oklahoma,21,@,Hondo Field,6,
28,3,Sep 22 1945,Sat,Purdue,14,,Marquette,13,
29,3,Sep 22 1945,Sat,Saint Mary's (CA),20,@,California,13,
30,3,Sep 22 1945,Sat,Southern Methodist,51,,Lackland Field,0,
31,3,Sep 22 1945,Sat,Texas,13,,Bergstrom Field,7,
32,3,Sep 22 1945,Sat,Texas A&M,34,,Ellington Field,0,
33,3,Sep 22 1945,Sat,Texas Christian,18,@,Kansas,0,Kansas City MO
34,3,Sep 22 1945,Sat,Texas Tech,7,,Southwestern (TX),0,
35,3,Sep 22 1945,Sat,Tulsa,61,,Wichita State,0,
36,3,Sep 22 1945,Sat,Villanova,19,@,Bucknell,7,
37,3,Sep 22 1945,Sat,Virginia,39,,Coast Guard,0,
38,3,Sep 22 1945,Sat,Virginia Military Institute,37,,Emory & Henry,0,
39,3,Sep 22 1945,Sat,West Virginia,42,,Otterbein,7,
40,3,Sep 22 1945,Sat,Wisconsin,0,,Great Lakes Navy,0,
41,3,Sep 24 1945,Mon,Cornell,26,@,Syracuse,14,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
42,4,Sep 28 1945,Fri,Detroit Mercy,32,,Alma,0,
43,4,Sep 28 1945,Fri,Kansas,20,@,Denver,19,
44,4,Sep 28 1945,Fri,Maryland,60,,Guilford,6,
45,4,Sep 28 1945,Fri,Maxwell Field,7,,Auburn,0,
46,4,Sep 28 1945,Fri,Saint Louis,96,,Truman State,6,
47,4,Sep 28 1945,Fri,Saint Mary's (CA),39,@,Nevada,0,
48,4,Sep 28 1945,Fri,Temple,7,,Syracuse,6,
49,4,Sep 29 1945,Sat,Alabama,21,@,Keesler Field,0,
50,4,Sep 29 1945,Sat,Army,32,,Louisville Field,0,
51,4,Sep 29 1945,Sat,Boston College,13,,Squantum NAS,0,
52,4,Sep 29 1945,Sat,Camp Beale,14,,Oregon State,14,
53,4,Sep 29 1945,Sat,Coast Guard,0,,Scranton,0,
54,4,Sep 29 1945,Sat,Colgate,48,,Rochester,0,
55,4,Sep 29 1945,Sat,Colorado,13,@,Colorado College,0,
56,4,Sep 29 1945,Sat,Colorado State,33,@,Northern Colorado,0,
57,4,Sep 29 1945,Sat,Columbia,40,,Lafayette,14,
58,4,Sep 29 1945,Sat,Cornell,19,,Bucknell,8,
59,4,Sep 29 1945,Sat,Corpus Christi NAS,22,,Southern Methodist,7,
60,4,Sep 29 1945,Sat,Drake,40,,Kearney Field,13,
61,4,Sep 29 1945,Sat,Duke,76,,Bogue Field,0,
62,4,Sep 29 1945,Sat,Florida,26,,Mississippi,13,Jacksonville FL
63,4,Sep 29 1945,Sat,Georgia,20,,Clemson,0,
64,4,Sep 29 1945,Sat,Georgia Tech,20,@,North Carolina,14,
65,4,Sep 29 1945,Sat,Holy Cross,13,@,Dartmouth,6,
66,4,Sep 29 1945,Sat,Indiana,7,,Northwestern,7,
67,4,Sep 29 1945,Sat,Iowa,14,,Berg Field,13,
68,4,Sep 29 1945,Sat,Iowa State,48,,Northern Iowa,13,
69,4,Sep 29 1945,Sat,Kansas State,13,,Wichita State,6,
70,4,Sep 29 1945,Sat,Kentucky,13,,Cincinnati,7,
71,4,Sep 29 1945,Sat,Louisiana State,42,,Rice,0,
72,4,Sep 29 1945,Sat,Merchant Marine,26,,Rensselaer,19,
73,4,Sep 29 1945,Sat,Miami (FL),27,@,Chattanooga,7,
74,4,Sep 29 1945,Sat,Michigan,40,,Michigan State,0,
75,4,Sep 29 1945,Sat,Mississippi State,31,,Louisiana-Lafayette,0,
76,4,Sep 29 1945,Sat,Navy,49,,Villanova,0,
77,4,Sep 29 1945,Sat,Nevada,33,@,Utah,14,
78,4,Sep 29 1945,Sat,New Mexico,39,,Lubbock Field,0,
79,4,Sep 29 1945,Sat,Notre Dame,7,,Illinois,0,
80,4,Sep 29 1945,Sat,Ohio State,47,@,Missouri,6,
81,4,Sep 29 1945,Sat,Oklahoma,20,@,Nebraska,0,
82,4,Sep 29 1945,Sat,Oklahoma State,19,@,Arkansas,14,
83,4,Sep 29 1945,Sat,Penn State,47,,Muhlenberg,7,
84,4,Sep 29 1945,Sat,Pennsylvania,50,,Brown,0,
85,4,Sep 29 1945,Sat,Pittsburgh,20,,West Virginia,0,
86,4,Sep 29 1945,Sat,Purdue,20,@,Great Lakes Navy,6,
87,4,Sep 29 1945,Sat,South Carolina,40,,Presbyterian,0,
88,4,Sep 29 1945,Sat,Southern California,13,@,California,2,
89,4,Sep 29 1945,Sat,Tennessee,7,,Wake Forest,6,
90,4,Sep 29 1945,Sat,Texas,46,,Southwestern (TX),0,
91,4,Sep 29 1945,Sat,Texas A&M,16,,Texas Tech,6,San Antonio TX
92,4,Sep 29 1945,Sat,Texas Christian,7,@,Baylor,6,
93,4,Sep 29 1945,Sat,Tulsa,32,,West Texas A&M,0,
94,4,Sep 29 1945,Sat,UCLA,20,,San Diego Navy,14,
95,4,Sep 29 1945,Sat,Utah State,45,,Idaho Marines,0,
96,4,Sep 29 1945,Sat,Vanderbilt,12,,Tennessee Tech,0,
97,4,Sep 29 1945,Sat,Virginia,26,,North Carolina State,6,Norfolk VA
98,4,Sep 29 1945,Sat,Virginia Military Institute,40,@,Richmond,6,
99,4,Sep 29 1945,Sat,Washington,20,,Oregon,6,
100,4,Sep 29 1945,Sat,Washington State,43,@,Idaho,12,
101,4,Sep 29 1945,Sat,William & Mary,19,,Catawba College,6,
102,4,Sep 29 1945,Sat,Wisconsin,40,,Marquette,13,
103,4,Sep 29 1945,Sat,Yale,27,,Tufts,7,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
104,5,Oct 5 1945,Fri,Chattanooga,20,,Tennessee Tech,7,
105,5,Oct 5 1945,Fri,Detroit Mercy,42,,Scranton,0,
106,5,Oct 5 1945,Fri,Georgia,27,@,Miami (FL),21,
107,5,Oct 5 1945,Fri,Temple,59,@,New York University,0,
108,5,Oct 5 1945,Fri,UCLA,50,,Pacific,0,
109,5,Oct 6 1945,Sat,Alabama,26,@,Louisiana State,7,
110,5,Oct 6 1945,Sat,Arkansas,27,,Texas Christian,14,
111,5,Oct 6 1945,Sat,Army,54,,Wake Forest,0,
112,5,Oct 6 1945,Sat,Brown,51,,Boston College,6,
113,5,Oct 6 1945,Sat,California,27,,Washington,14,
114,5,Oct 6 1945,Sat,Clemson,13,@,North Carolina State,0,
115,5,Oct 6 1945,Sat,Colorado,18,,Utah,13,
116,5,Oct 6 1945,Sat,Colorado College,43,,Herington Field,6,
117,5,Oct 6 1945,Sat,Columbia,32,,Syracuse,0,
118,5,Oct 6 1945,Sat,Cornell,39,,New London Submarine Base,0,
119,5,Oct 6 1945,Sat,Florida,6,,Tulane,6,
120,5,Oct 6 1945,Sat,Fort Benning,21,@,Great Lakes Navy,12,
121,5,Oct 6 1945,Sat,Fort Warren,61,,Colorado State,6,
122,5,Oct 6 1945,Sat,Holy Cross,21,@,Yale,0,
123,5,Oct 6 1945,Sat,Indiana,6,@,Illinois,0,
124,5,Oct 6 1945,Sat,Iowa State,13,,Kansas,13,
125,5,Oct 6 1945,Sat,Lafayette,7,,Princeton,7,
126,5,Oct 6 1945,Sat,Maryland,21,@,Richmond,0,
127,5,Oct 6 1945,Sat,Merchant Marine,12,,Ursinus,0,
128,5,Oct 6 1945,Sat,Michigan,20,@,Northwestern,7,
129,5,Oct 6 1945,Sat,Michigan State,7,,Kentucky,6,
130,5,Oct 6 1945,Sat,Minnesota,61,@,Nebraska,7,
131,5,Oct 6 1945,Sat,Mississippi,14,@,Vanderbilt,7,
132,5,Oct 6 1945,Sat,Mississippi State,20,@,Auburn,0,Birmingham AL
133,5,Oct 6 1945,Sat,Missouri,10,@,Southern Methodist,7,
134,5,Oct 6 1945,Sat,Navy,21,@,Duke,0,
135,5,Oct 6 1945,Sat,New Mexico,13,@,West Texas A&M,0,
136,5,Oct 6 1945,Sat,North Carolina,14,@,Virginia Tech,0,Roanoke VA
137,5,Oct 6 1945,Sat,Notre Dame,40,@,Georgia Tech,7,
138,5,Oct 6 1945,Sat,Ohio State,42,,Iowa,0,
139,5,Oct 6 1945,Sat,Oklahoma State,31,@,Denver,7,
140,5,Oct 6 1945,Sat,Olathe Navy,34,@,Kansas State,12,
141,5,Oct 6 1945,Sat,Oregon,33,,Idaho,7,
142,5,Oct 6 1945,Sat,Penn State,27,,Colgate,7,
143,5,Oct 6 1945,Sat,Pennsylvania,12,,Dartmouth,0,
144,5,Oct 6 1945,Sat,Pittsburgh,38,,Bucknell,0,
145,5,Oct 6 1945,Sat,Purdue,13,@,Wisconsin,7,
146,5,Oct 6 1945,Sat,Saint Louis,32,,Missouri-Rolla,0,
147,5,Oct 6 1945,Sat,South Carolina,20,,Camp Blanding,6,
148,5,Oct 6 1945,Sat,Southern California,26,,Saint Mary's (CA) Pre-Flight,14,
149,5,Oct 6 1945,Sat,Southwestern (TX),13,@,Rice,7,
150,5,Oct 6 1945,Sat,Tennessee,48,,William & Mary,13,
151,5,Oct 6 1945,Sat,Texas,33,,Texas Tech,0,
152,5,Oct 6 1945,Sat,Texas A&M,19,@,Oklahoma,14,
153,5,Oct 6 1945,Sat,Tufts,7,@,Harvard,6,
154,5,Oct 6 1945,Sat,Tulsa,19,,Drake,0,
155,5,Oct 6 1945,Sat,Villanova,6,,Marquette,0,Buffalo NY
156,5,Oct 6 1945,Sat,Virginia,40,,Virginia Military Institute,7,Lynchburg VA
157,5,Oct 6 1945,Sat,Washburn,14,,Wichita State,0,
158,5,Oct 6 1945,Sat,Washington State,33,,Oregon State,0,
159,5,Oct 6 1945,Sat,West Virginia,42,,Drexel,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
160,6,Oct 12 1945,Fri,Boston College,28,,New York University,0,Boston MA
161,6,Oct 12 1945,Fri,Denver,21,,Utah,7,
162,6,Oct 12 1945,Fri,Fort Bragg,39,,Presbyterian,0,
163,6,Oct 12 1945,Fri,Kansas,34,,Washburn,0,Lawrence KS
164,6,Oct 12 1945,Fri,Miami (FL),21,,Saint Louis,0,
165,6,Oct 12 1945,Fri,(14) Oklahoma State,26,,Southern Methodist,12,Oklahoma City OK
166,6,Oct 12 1945,Fri,Syracuse,12,,West Virginia,0,
167,6,Oct 13 1945,Sat,(7) Alabama,55,,South Carolina,0,Montgomery AL
168,6,Oct 13 1945,Sat,Amarillo Field,21,,West Texas A&M,12,
169,6,Oct 13 1945,Sat,(1) Army,28,,(9) Michigan,7,Bronx NY
170,6,Oct 13 1945,Sat,Baylor,23,,Arkansas,13,
171,6,Oct 13 1945,Sat,Clemson,7,,Pensacola NAS,6,
172,6,Oct 13 1945,Sat,Colgate,47,,Lafayette,0,
173,6,Oct 13 1945,Sat,Colorado,21,@,Colorado State,6,
174,6,Oct 13 1945,Sat,Columbia,27,,Yale,13,
175,6,Oct 13 1945,Sat,Drake,34,,South Dakota State,0,
176,6,Oct 13 1945,Sat,(13) Duke,26,@,Wake Forest,19,
177,6,Oct 13 1945,Sat,Farragut Navy,18,@,Idaho,7,
178,6,Oct 13 1945,Sat,Georgia,48,@,Kentucky,6,
179,6,Oct 13 1945,Sat,Georgia Tech,43,,Samford,0,
180,6,Oct 13 1945,Sat,Harvard,21,,Rochester,13,
181,6,Oct 13 1945,Sat,(12) Holy Cross,26,,Villanova,7,
182,6,Oct 13 1945,Sat,(8) Indiana,54,,Nebraska,14,
183,6,Oct 13 1945,Sat,Louisiana State,31,,(17) Texas A&M,12,
184,6,Oct 13 1945,Sat,Marquette,55,,Kansas State,13,
185,6,Oct 13 1945,Sat,Maryland,22,,Merchant Marine,6,
186,6,Oct 13 1945,Sat,Michigan State,12,@,Pittsburgh,7,
187,6,Oct 13 1945,Sat,(5) Minnesota,14,,Fort Warren,0,
188,6,Oct 13 1945,Sat,Mississippi,26,,Louisiana Tech,21,
189,6,Oct 13 1945,Sat,(20) Mississippi State,41,,Detroit Mercy,6,Memphis TN
190,6,Oct 13 1945,Sat,Missouri,13,@,Iowa State,7,
191,6,Oct 13 1945,Sat,(2) Navy,28,,Penn State,0,
192,6,Oct 13 1945,Sat,New Mexico,6,@,Colorado College,4,
193,6,Oct 13 1945,Sat,(3) Notre Dame,34,,Dartmouth,0,
194,6,Oct 13 1945,Sat,(4) Ohio State,12,,Wisconsin,0,
195,6,Oct 13 1945,Sat,Oregon State,19,,Oregon,6,
196,6,Oct 13 1945,Sat,(11) Pennsylvania,49,,North Carolina,0,
197,6,Oct 13 1945,Sat,(15) Purdue,40,,Iowa,0,
198,6,Oct 13 1945,Sat,Rensselaer,18,,Coast Guard,7,
199,6,Oct 13 1945,Sat,Rice,13,,Tulane,7,
200,6,Oct 13 1945,Sat,(19) Saint Mary's (CA),61,,Pacific,0,San Francisco CA
201,6,Oct 13 1945,Sat,San Diego Navy,33,,(6) Southern California,6,
202,6,Oct 13 1945,Sat,Temple,64,,Bucknell,0,
203,6,Oct 13 1945,Sat,(18) Tennessee,30,,Chattanooga,0,
204,6,Oct 13 1945,Sat,(10) Texas,12,,Oklahoma,7,Dallas TX
205,6,Oct 13 1945,Sat,(16) Tulsa,18,@,Texas Tech,7,
206,6,Oct 13 1945,Sat,UCLA,13,,California,0,
207,6,Oct 13 1945,Sat,Utah State,44,,Montana,13,
208,6,Oct 13 1945,Sat,Vanderbilt,7,@,Florida,0,
209,6,Oct 13 1945,Sat,Virginia Military Institute,21,@,North Carolina State,14,
210,6,Oct 13 1945,Sat,Washington,6,,Washington State,0,
211,6,Oct 13 1945,Sat,Wichita State,25,,Central Missouri State,0,
212,6,Oct 13 1945,Sat,William & Mary,38,,Virginia Tech,0,Richmond VA
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
213,7,Oct 19 1945,Fri,Chattanooga,47,,Samford,7,
214,7,Oct 19 1945,Fri,Miami (FL),7,,Florida,6,
215,7,Oct 19 1945,Fri,Saint Mary's (CA) Pre-Flight,13,@,UCLA,6,
216,7,Oct 19 1945,Fri,Temple,28,,West Virginia,12,
217,7,Oct 19 1945,Fri,Wichita State,38,,Fort Riley,13,
218,7,Oct 20 1945,Sat,(6) Alabama,25,,Tennessee,7,Birmingham AL
219,7,Oct 20 1945,Sat,(1) Army,55,,Melville PT Boats,13,
220,7,Oct 20 1945,Sat,Auburn,20,@,Tulane,14,
221,7,Oct 20 1945,Sat,Baylor,7,,Texas Tech,7,
222,7,Oct 20 1945,Sat,Colorado,31,,Colorado College,0,
223,7,Oct 20 1945,Sat,(17) Columbia,31,,Colgate,7,
224,7,Oct 20 1945,Sat,Denver,19,,Drake,19,
225,7,Oct 20 1945,Sat,Great Lakes Navy,37,@,Marquette,27,
226,7,Oct 20 1945,Sat,(19) Holy Cross,25,@,Brown,0,
227,7,Oct 20 1945,Sat,Idaho,46,,Montana,0,
228,7,Oct 20 1945,Sat,Illinois,7,,Wisconsin,7,
229,7,Oct 20 1945,Sat,(8) Indiana,52,@,Iowa,20,
230,7,Oct 20 1945,Sat,Iowa State,27,,Nebraska,7,
231,7,Oct 20 1945,Sat,Louisiana State,32,@,(12) Georgia,0,
232,7,Oct 20 1945,Sat,Merchant Marine,26,@,Lafayette,7,
233,7,Oct 20 1945,Sat,Michigan State,27,,Wayne State,7,
234,7,Oct 20 1945,Sat,(5) Minnesota,30,,Northwestern,7,
235,7,Oct 20 1945,Sat,(20) Mississippi State,16,,Maxwell Field,6,
236,7,Oct 20 1945,Sat,Missouri,41,,Kansas State,7,
237,7,Oct 20 1945,Sat,(2) Navy,20,,Georgia Tech,6,Baltimore MD
238,7,Oct 20 1945,Sat,New London Submarine Base,18,@,Harvard,7,
239,7,Oct 20 1945,Sat,New York University,47,,City College of New York,0,
240,7,Oct 20 1945,Sat,North Carolina,20,,Cherry Point Marines,14,
241,7,Oct 20 1945,Sat,(3) Notre Dame,39,@,Pittsburgh,9,
242,7,Oct 20 1945,Sat,Oklahoma,39,,Kansas,7,
243,7,Oct 20 1945,Sat,(15) Oklahoma State,46,@,Utah,6,
244,7,Oct 20 1945,Sat,Oregon,26,,Washington State,13,
245,7,Oct 20 1945,Sat,Penn State,46,@,Bucknell,7,
246,7,Oct 20 1945,Sat,Princeton,14,@,Cornell,6,
247,7,Oct 20 1945,Sat,(9) Purdue,35,@,(4) Ohio State,13,
248,7,Oct 20 1945,Sat,Richmond,40,@,Guilford,0,
249,7,Oct 20 1945,Sat,Saint Louis,27,,Illinois Wesleyan,0,
250,7,Oct 20 1945,Sat,(14) Southern California,52,,Pacific,0,
251,7,Oct 20 1945,Sat,Southern Methodist,21,,Rice,18,
