Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 18 1926,Sat,Clemson,7,,Erskine,0,
2,1,Sep 18 1926,Sat,Davidson,26,,Elon,0,
3,1,Sep 18 1926,Sat,Stanford,44,,Fresno State,0,
4,1,Sep 18 1926,Sat,Virginia Military Institute,20,,Wofford,0,
5,1,Sep 18 1926,Sat,Washington,28,,Willamette,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
6,2,Sep 24 1926,Fri,Alabama,54,,Millsaps,0,
7,2,Sep 24 1926,Fri,Southern Methodist,42,,North Texas,0,
8,2,Sep 25 1926,Sat,Auburn,15,,Chattanooga,6,
9,2,Sep 25 1926,Sat,Baylor,7,,Southwestern (TX),0,
10,2,Sep 25 1926,Sat,Brown,14,,Rhode Island,0,
11,2,Sep 25 1926,Sat,California,13,,Santa Clara,6,
12,2,Sep 25 1926,Sat,Citadel,14,@,Stetson,7,
13,2,Sep 25 1926,Sat,Colgate,19,,Hamilton,0,
14,2,Sep 25 1926,Sat,Columbia,14,,Vermont,0,
15,2,Sep 25 1926,Sat,Cornell,6,,Geneva,0,
16,2,Sep 25 1926,Sat,Dartmouth,59,,Norwich,0,
17,2,Sep 25 1926,Sat,Davidson,24,@,Wofford,6,
18,2,Sep 25 1926,Sat,Duke,32,,Guilford,0,
19,2,Sep 25 1926,Sat,Florida,16,,Florida Southern,0,
20,2,Sep 25 1926,Sat,Furman,30,,Newberry,0,
21,2,Sep 25 1926,Sat,Georgia,20,,Mercer,0,
22,2,Sep 25 1926,Sat,Grinnell,20,@,William Penn,0,
23,2,Sep 25 1926,Sat,Hampden-Sydney,0,,Virginia,0,
24,2,Sep 25 1926,Sat,Louisiana State,47,,Northwestern State,0,
25,2,Sep 25 1926,Sat,Maryland,63,,Washington (Maryland),0,
26,2,Sep 25 1926,Sat,Mississippi,28,,Arkansas State,0,
27,2,Sep 25 1926,Sat,Mississippi State,19,@,Birmingham-Southern,7,
28,2,Sep 25 1926,Sat,North Carolina State,10,,Elon,0,
29,2,Sep 25 1926,Sat,Northern Colorado,18,@,Kearney,0,
30,2,Sep 25 1926,Sat,Oglethorpe,7,@,Georgia Tech,6,
31,2,Sep 25 1926,Sat,Oregon,44,@,Willamette,0,
32,2,Sep 25 1926,Sat,Oregon State,67,,Multnomah A.C.,0,
33,2,Sep 25 1926,Sat,Penn State,82,,Susquehanna,0,
34,2,Sep 25 1926,Sat,Pennsylvania,41,,Franklin & Marshall,0,
35,2,Sep 25 1926,Sat,Pittsburgh,9,,Allegheny,7,
36,2,Sep 25 1926,Sat,Presbyterian,14,@,Clemson,0,
37,2,Sep 25 1926,Sat,Rice,25,,Stephen F. Austin,0,
38,2,Sep 25 1926,Sat,Sewanee,15,,Bryson,6,
39,2,Sep 25 1926,Sat,South Carolina,41,,Erskine,0,
40,2,Sep 25 1926,Sat,Southern California,74,,Whittier,0,
41,2,Sep 25 1926,Sat,Stanford,13,,California Tech,0,
42,2,Sep 25 1926,Sat,Syracuse,18,,Hobart,0,
43,2,Sep 25 1926,Sat,Tennessee,13,,Carson-Newman,0,
44,2,Sep 25 1926,Sat,Texas,31,,Southwestern Oklahoma State,7,
45,2,Sep 25 1926,Sat,Texas A&M,26,,Trinity (Texas),0,
46,2,Sep 25 1926,Sat,Texas Christian,5,,Daniel Baker,3,
47,2,Sep 25 1926,Sat,Tulane,40,,Louisiana Tech,0,
48,2,Sep 25 1926,Sat,Vanderbilt,69,,Middle Tennessee State,0,
49,2,Sep 25 1926,Sat,Virginia Military Institute,10,,Richmond,0,
50,2,Sep 25 1926,Sat,Virginia Tech,47,,Roanoke,0,
51,2,Sep 25 1926,Sat,Wake Forest,13,,North Carolina,0,
52,2,Sep 25 1926,Sat,Washington,20,,USS New Mexico,0,
53,2,Sep 25 1926,Sat,Washington & Jefferson,13,@,Waynesburg,0,
54,2,Sep 25 1926,Sat,Washington & Lee,35,,Lynchburg,0,
55,2,Sep 25 1926,Sat,West Virginia,18,,Davis & Elkins,6,
56,2,Sep 26 1926,Sun,Arkansas,60,,Central Oklahoma,0,
57,2,Sep 26 1926,Sun,Michigan State,16,,Adrian,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
58,3,Oct 2 1926,Sat,Alabama,19,@,Vanderbilt,7,
59,3,Oct 2 1926,Sat,Arkansas,21,,Mississippi,6,
60,3,Oct 2 1926,Sat,Army,21,,Detroit Mercy,0,
61,3,Oct 2 1926,Sat,Auburn,47,,Clemson,0,
62,3,Oct 2 1926,Sat,Brown,35,,Colby,0,
63,3,Oct 2 1926,Sat,California,32,,Olympic Club,0,
64,3,Oct 2 1926,Sat,California-Davis,17,@,Brigham Young,0,
65,3,Oct 2 1926,Sat,Carnegie Mellon,42,@,Thiel,0,
66,3,Oct 2 1926,Sat,Chicago,12,,Florida,6,
67,3,Oct 2 1926,Sat,Citadel,12,,Mercer,7,
68,3,Oct 2 1926,Sat,Colgate,46,,Clarkson,0,
69,3,Oct 2 1926,Sat,Colorado,25,,Chadron State,0,
70,3,Oct 2 1926,Sat,Colorado College,3,,Western State,0,
71,3,Oct 2 1926,Sat,Colorado State,39,,Regis (CO),0,
72,3,Oct 2 1926,Sat,Columbia,26,,Union (NY),0,
73,3,Oct 2 1926,Sat,Cornell,28,,Niagara,0,
74,3,Oct 2 1926,Sat,Dartmouth,50,,Hobart,0,
75,3,Oct 2 1926,Sat,Davidson,3,@,Presbyterian,0,
76,3,Oct 2 1926,Sat,Denver,27,,Colorado Mines,7,
77,3,Oct 2 1926,Sat,Furman,31,@,North Carolina State,0,
78,3,Oct 2 1926,Sat,Geneva,16,@,Harvard,7,
79,3,Oct 2 1926,Sat,Georgetown,6,,Pittsburgh,6,
80,3,Oct 2 1926,Sat,Georgia,27,@,Virginia,7,
81,3,Oct 2 1926,Sat,Georgia Tech,13,,Virginia Military Institute,0,
82,3,Oct 2 1926,Sat,Grinnell,20,,Simpson,8,
83,3,Oct 2 1926,Sat,Illinois,27,,Coe,0,
84,3,Oct 2 1926,Sat,Indiana,31,,DePauw,7,
85,3,Oct 2 1926,Sat,Iowa,24,,Northern Colorado,0,
86,3,Oct 2 1926,Sat,Kansas,14,,Washburn,6,
87,3,Oct 2 1926,Sat,Kansas State,13,,Texas,3,
88,3,Oct 2 1926,Sat,Kentucky,25,,Maryville (TN),0,
89,3,Oct 2 1926,Sat,Louisiana State,34,,Louisiana-Lafayette,0,
90,3,Oct 2 1926,Sat,Loyola (LA),13,@,Baylor,10,
91,3,Oct 2 1926,Sat,Michigan,42,,Oklahoma State,3,
92,3,Oct 2 1926,Sat,Michigan State,9,,Kalamazoo,0,
93,3,Oct 2 1926,Sat,Minnesota,51,,North Dakota,0,
94,3,Oct 2 1926,Sat,Mississippi State,41,,Mississippi College,0,
95,3,Oct 2 1926,Sat,Montana State,0,,Idaho,0,
96,3,Oct 2 1926,Sat,Navy,17,,Purdue,13,
97,3,Oct 2 1926,Sat,Nebraska,21,,Drake,0,
98,3,Oct 2 1926,Sat,Northwestern,34,,South Dakota,0,
99,3,Oct 2 1926,Sat,Notre Dame,77,,Beloit,0,
100,3,Oct 2 1926,Sat,Ohio State,40,,Wittenberg,0,
101,3,Oct 2 1926,Sat,Oregon State,49,@,Montana,0,
102,3,Oct 2 1926,Sat,Pacific (Oregon),0,,Oregon,0,
103,3,Oct 2 1926,Sat,Penn State,35,,Lebanon Valley,0,
104,3,Oct 2 1926,Sat,Pennsylvania,40,,Johns Hopkins,7,
105,3,Oct 2 1926,Sat,Princeton,14,,Amherst,7,
106,3,Oct 2 1926,Sat,Rice,20,,Sam Houston State,0,
107,3,Oct 2 1926,Sat,Richmond,9,,Duke,7,
108,3,Oct 2 1926,Sat,Sewanee,48,,Middle Tennessee State,0,
109,3,Oct 2 1926,Sat,South Carolina,12,,Maryland,0,
110,3,Oct 2 1926,Sat,Southern California,42,,Santa Clara,0,
111,3,Oct 2 1926,Sat,Southern Methodist,48,,Trinity (Texas),0,
112,3,Oct 2 1926,Sat,Stanford,19,,Occidental,0,
113,3,Oct 2 1926,Sat,Syracuse,64,,Vermont,0,
114,3,Oct 2 1926,Sat,Tennessee,34,,North Carolina,0,
115,3,Oct 2 1926,Sat,Texas A&M,35,,Southwestern (TX),0,
