Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 17 1921,Sat,Harvard,10,,Boston University,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
2,2,Sep 23 1921,Fri,Chattanooga,20,@,Athens,0,
3,2,Sep 23 1921,Fri,Colorado College,27,,Grand Island,7,
4,2,Sep 24 1921,Sat,Alabama,34,,Samford,14,
5,2,Sep 24 1921,Sat,Baylor,35,,Tarleton State,0,
6,2,Sep 24 1921,Sat,Beloit,7,@,Northwestern,0,
7,2,Sep 24 1921,Sat,Birmingham-Southern,38,,Rhodes,6,
8,2,Sep 24 1921,Sat,Brown,6,,Rhode Island,0,
9,2,Sep 24 1921,Sat,California,21,,Saint Mary's (CA),0,
10,2,Sep 24 1921,Sat,Dartmouth,34,,Norwich,3,
11,2,Sep 24 1921,Sat,Furman,42,,Erskine,7,
12,2,Sep 24 1921,Sat,Georgia Tech,42,,Wake Forest,0,
13,2,Sep 24 1921,Sat,Harvard,16,,Middlebury,0,
14,2,Sep 24 1921,Sat,Howard Payne,35,@,Southwestern (TX),7,
15,2,Sep 24 1921,Sat,Indiana,47,,Franklin,0,
16,2,Sep 24 1921,Sat,Lafayette,48,,Muhlenberg,0,
17,2,Sep 24 1921,Sat,North Carolina State,21,,Randolph-Macon,0,
18,2,Sep 24 1921,Sat,Notre Dame,56,,Kalamazoo,0,
19,2,Sep 24 1921,Sat,Oglethorpe,29,,North Georgia,0,
20,2,Sep 24 1921,Sat,Oklahoma State,53,,Southwestern Oklahoma State,0,
21,2,Sep 24 1921,Sat,Oregon State,68,,Rooks,7,
22,2,Sep 24 1921,Sat,Penn State,53,,Lebanon Valley,0,
23,2,Sep 24 1921,Sat,Pennsylvania,89,,Delaware,0,
24,2,Sep 24 1921,Sat,Pittsburgh,28,@,Geneva,0,
25,2,Sep 24 1921,Sat,Rutgers,33,@,Ursinus,0,
26,2,Sep 24 1921,Sat,St. Bonaventure,7,,Colgate,7,
27,2,Sep 24 1921,Sat,Syracuse,35,,Hobart,0,
28,2,Sep 24 1921,Sat,Tennessee,27,,Emory & Henry,0,
29,2,Sep 24 1921,Sat,Texas Christian,30,@,West Texas A&M,0,
30,2,Sep 24 1921,Sat,Virginia,28,,Davidson,0,
31,2,Sep 24 1921,Sat,Virginia Military Institute,13,,Roanoke,0,
32,2,Sep 24 1921,Sat,Virginia Tech,14,,Hampden-Sydney,6,
33,2,Sep 24 1921,Sat,Washington & Jefferson,14,@,Bethany (West Virginia),0,
34,2,Sep 24 1921,Sat,West Virginia,34,,West Virginia Wesleyan,3,Fairmount WV
35,2,Sep 24 1921,Sat,Yale,28,,Bates,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
36,3,Sep 30 1921,Fri,Chattanooga,53,,Bryson,0,
