Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 13 1958,Sat,Florida State,22,,Tennessee Tech,7,
2,1,Sep 13 1958,Sat,Kentucky,51,,Hawaii,0,Louisville KY
3,1,Sep 13 1958,Sat,South Dakota State,12,,Drake,6,
4,1,Sep 13 1958,Sat,Trinity (Texas),20,@,New Mexico State,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
5,2,Sep 19 1958,Fri,Catawba College,22,,Davidson,17,Charlotte NC
6,2,Sep 19 1958,Fri,Detroit Mercy,21,,George Washington,6,
7,2,Sep 19 1958,Fri,Oklahoma State,31,@,Denver,14,
8,2,Sep 19 1958,Fri,Southern California,21,,(12) Oregon State,0,
9,2,Sep 20 1958,Sat,Arizona,7,,Utah State,6,
10,2,Sep 20 1958,Sat,Arizona State,47,,Hawaii,6,
11,2,Sep 20 1958,Sat,Baylor,12,@,Arkansas,0,Little Rock AR
12,2,Sep 20 1958,Sat,Boston College,48,,Scranton,0,
13,2,Sep 20 1958,Sat,Bowling Green State,20,@,Wichita State,14,
14,2,Sep 20 1958,Sat,Brigham Young,29,,Fresno State,7,
15,2,Sep 20 1958,Sat,Cincinnati,14,,Dayton,0,
16,2,Sep 20 1958,Sat,(18) Clemson,20,,Virginia,15,
17,2,Sep 20 1958,Sat,Florida,34,,Tulane,14,
18,2,Sep 20 1958,Sat,Florida State,42,,Furman,6,
19,2,Sep 20 1958,Sat,Hardin-Simmons,14,@,Tulsa,0,
20,2,Sep 20 1958,Sat,Iowa State,33,,Drake,0,
21,2,Sep 20 1958,Sat,Kansas State,17,,Wyoming,14,
22,2,Sep 20 1958,Sat,Kentucky,13,,Georgia Tech,0,
23,2,Sep 20 1958,Sat,Louisiana State,26,@,Rice,6,
24,2,Sep 20 1958,Sat,Marquette,18,,South Dakota State,7,
25,2,Sep 20 1958,Sat,(6) Mississippi,17,@,Memphis,0,
26,2,Sep 20 1958,Sat,Nebraska,14,,Penn State,7,
27,2,Sep 20 1958,Sat,New Mexico,16,@,New Mexico State,7,
28,2,Sep 20 1958,Sat,Newberry,16,@,Citadel,0,
29,2,Sep 20 1958,Sat,North Carolina State,21,@,(10) North Carolina,14,
30,2,Sep 20 1958,Sat,North Texas,26,,Texas-El Paso,8,
31,2,Sep 20 1958,Sat,Oregon,27,,Idaho,0,
32,2,Sep 20 1958,Sat,Pacific,24,@,California,20,
33,2,Sep 20 1958,Sat,(19) Pittsburgh,27,@,UCLA,6,
34,2,Sep 20 1958,Sat,South Carolina,8,,Duke,0,
35,2,Sep 20 1958,Sat,(11) Texas,13,,Georgia,8,
36,2,Sep 20 1958,Sat,(8) Texas Christian,42,@,Kansas,0,
37,2,Sep 20 1958,Sat,Texas Tech,15,,(20) Texas A&M,14,Dallas TX
