Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 10 1960,Sat,Montana,21,,North Dakota,14,
2,1,Sep 10 1960,Sat,New Mexico State,41,,University of Mexico,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
3,2,Sep 16 1960,Fri,Brigham Young,34,,Cal Poly,14,
4,2,Sep 16 1960,Fri,Oregon State,14,@,(6) Southern California,0,
5,2,Sep 17 1960,Sat,Alabama,21,,(13) Georgia,6,Birmingham AL
6,2,Sep 17 1960,Sat,Arizona State,39,,Colorado State,0,
7,2,Sep 17 1960,Sat,(19) Arkansas,9,,Oklahoma State,0,Little Rock AR
8,2,Sep 17 1960,Sat,Army,37,,Buffalo,0,
9,2,Sep 17 1960,Sat,Cincinnati,15,,Hardin-Simmons,14,
10,2,Sep 17 1960,Sat,Citadel,19,,Newberry,0,
11,2,Sep 17 1960,Sat,Davidson,16,,Catawba College,7,
12,2,Sep 17 1960,Sat,Denver,28,@,Wichita State,19,
13,2,Sep 17 1960,Sat,Florida,30,,George Washington,7,Jacksonville FL
14,2,Sep 17 1960,Sat,Florida State,28,,Richmond,0,
15,2,Sep 17 1960,Sat,Furman,20,,Presbyterian,12,
16,2,Sep 17 1960,Sat,Georgia Tech,23,,Kentucky,13,
17,2,Sep 17 1960,Sat,Iowa State,46,,Drake,0,
18,2,Sep 17 1960,Sat,Kansas,21,,(11) Texas Christian,7,
19,2,Sep 17 1960,Sat,Kansas State,20,,South Dakota State,6,
20,2,Sep 17 1960,Sat,Louisiana State,9,,Texas A&M,0,
21,2,Sep 17 1960,Sat,Marquette,23,,Villanova,13,
22,2,Sep 17 1960,Sat,Maryland,31,@,West Virginia,8,
23,2,Sep 17 1960,Sat,Memphis,35,,Texas-Arlington,0,
24,2,Sep 17 1960,Sat,(2) Mississippi,42,@,Houston,0,
25,2,Sep 17 1960,Sat,Missouri,20,,Southern Methodist,0,
26,2,Sep 17 1960,Sat,Navy,22,@,Boston College,7,
27,2,Sep 17 1960,Sat,Nebraska,14,@,(4) Texas,13,
28,2,Sep 17 1960,Sat,New Mexico,77,,University of Mexico,6,
29,2,Sep 17 1960,Sat,New Mexico State,38,@,Tulsa,18,
30,2,Sep 17 1960,Sat,North Carolina State,29,,Virginia Tech,14,
31,2,Sep 17 1960,Sat,Ohio,28,@,Dayton,0,
32,2,Sep 17 1960,Sat,Oregon,33,,Idaho,6,
33,2,Sep 17 1960,Sat,(19) Penn State,20,,Boston University,0,
34,2,Sep 17 1960,Sat,Texas Tech,38,,West Texas A&M,14,
35,2,Sep 17 1960,Sat,Tulane,7,@,California,3,
36,2,Sep 17 1960,Sat,UCLA,8,,(7) Pittsburgh,7,
37,2,Sep 17 1960,Sat,Utah,33,,Hawaii,6,
38,2,Sep 17 1960,Sat,Utah State,20,@,Texas-El Paso,7,
39,2,Sep 17 1960,Sat,Virginia Military Institute,33,@,William & Mary,21,
40,2,Sep 17 1960,Sat,(3) Washington,55,,Pacific,6,
41,2,Sep 17 1960,Sat,Washington State,15,,Stanford,14,Spokane WA
42,2,Sep 17 1960,Sat,Wyoming,14,,Montana,0,Billings MT
43,2,Sep 17 1960,Sat,Xavier,17,,Miami (OH),6,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
44,3,Sep 23 1960,Fri,Denver,28,,Washington State,26,
45,3,Sep 23 1960,Fri,Iowa State,44,@,Detroit Mercy,21,
46,3,Sep 23 1960,Fri,San Jose State,21,,Brigham Young,8,
47,3,Sep 23 1960,Fri,Southern Mississippi,27,,Hardin-Simmons,0,Mobile AL
48,3,Sep 23 1960,Fri,Virginia Military Institute,28,@,Buffalo,14,
49,3,Sep 24 1960,Sat,Air Force,32,,Colorado State,8,
50,3,Sep 24 1960,Sat,(5) Alabama,6,,Tulane,6,
51,3,Sep 24 1960,Sat,Arizona State,14,@,West Texas A&M,3,
52,3,Sep 24 1960,Sat,Arkansas,48,,Tulsa,7,
53,3,Sep 24 1960,Sat,Army,20,,Boston College,7,
54,3,Sep 24 1960,Sat,Baylor,26,,Colorado,0,
55,3,Sep 24 1960,Sat,Cincinnati,27,,Dayton,21,
56,3,Sep 24 1960,Sat,(9) Clemson,28,@,Wake Forest,7,
57,3,Sep 24 1960,Sat,Colgate,28,@,Cornell,8,
58,3,Sep 24 1960,Sat,Columbia,37,,Brown,0,
59,3,Sep 24 1960,Sat,Dartmouth,7,,New Hampshire,6,
60,3,Sep 24 1960,Sat,Duke,31,@,South Carolina,0,
61,3,Sep 24 1960,Sat,Florida,3,,Florida State,0,
62,3,Sep 24 1960,Sat,Furman,7,,Tampa,7,
63,3,Sep 24 1960,Sat,George Washington,19,,Citadel,14,
64,3,Sep 24 1960,Sat,Georgia,18,@,Vanderbilt,7,
65,3,Sep 24 1960,Sat,(13) Georgia Tech,16,@,Rice,13,
66,3,Sep 24 1960,Sat,Harvard,13,,Holy Cross,6,
67,3,Sep 24 1960,Sat,Houston,14,@,Mississippi State,10,
68,3,Sep 24 1960,Sat,(4) Illinois,17,,Indiana,6,
69,3,Sep 24 1960,Sat,(19) Iowa,22,,(10) Oregon State,12,
70,3,Sep 24 1960,Sat,(7) Kansas,41,@,Kansas State,0,
71,3,Sep 24 1960,Sat,Marquette,20,@,Pacific,0,
72,3,Sep 24 1960,Sat,Memphis,37,,Tennessee Tech,6,
73,3,Sep 24 1960,Sat,Michigan,21,,Oregon,0,
74,3,Sep 24 1960,Sat,(6) Michigan State,7,,(17) Pittsburgh,7,
75,3,Sep 24 1960,Sat,Minnesota,26,@,(12) Nebraska,14,
76,3,Sep 24 1960,Sat,(1) Mississippi,21,,Kentucky,6,Memphis TN
77,3,Sep 24 1960,Sat,(16) Missouri,28,,Oklahoma State,7,
78,3,Sep 24 1960,Sat,Navy,41,,Villanova,7,
79,3,Sep 24 1960,Sat,New Mexico State,45,,Trinity (Texas),0,
