Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Pittsburg State,John Lance [1835],,,,,,1,,,
Buffalo,Arthur Powell [2567],,,,,,2,,,
St. John's (NY),James Freeman [1121],,,,,,3,,,
Northwestern,Dutch Lonborg [1930],,,,,,4,,,
Michigan State,Benjamin VanAlstyne [3237],,,,,,5,,,
Loyola (MD),Walter Comerford [623],,,,,,6,,,
Westminster (PA),John Lawther [1869],,,,,,7,,,
Georgia,Herman Stegeman [3028],,,,,,8,,,
Columbia,Daniel Meehan [2168],,,,,,9,,,
Wittenberg,Compton [624],,,,,,10,,,
Rider,Clair Bee [185],,,,,,11,,,
Manhattan,Neil Cohalan [601],,,,,,12,,,
Butler,Tony Hinkle [1480],,,,,,13,,,
Washington,Hec Edmundson [940],,,,,,14,,,
Valparaiso,Jake Christiansen [562],,,,,,15,,,
Wooster,Ernest Hole [1506],,,,,,16,,,
Furman,Dizzy McLeod [2149],,,,,,17,,,
Mount Union,Robert Wright [3481],,,,,,18,,,
West Texas A&M,Sam Burton [437],,,,,,19,,,
East Central,Mickey McBride [2060],,,,,,20,,,
Santa Clara,Harlan Dykes [920],,,,,,21,,,
Northest Missouri State,Hank Iba [1589],,,,,,22,,,
Kansas,Phog Allen [42],,,,,,23,,,
Pittsburgh,Doc Carlson [494],,,,,,24,,,
Long Island University,Arthur Carroll [506],,,,,,25,,,
Kentucky,Adolph Rupp [2789],,,,,,26,,,
Wyoming,Willard Witte [3456],,,,,,27,,,
Western Michigan,Herbert W. Buck Read [2643],,,,,,28,,,
Navy,John Wilson [3433],,,,,,29,,,
Texas Christian,Francis Schmidt [2844],,,,,,30,,,
Maryland,Burton Shipley [2913],,,,,,31,,,
DePaul,Jim Kelly [1731],,,,,,32,,,
Temple,James Usilton [3222],,,,,,33,,,
Syracuse,Lew Andreas [74],,,,,,34,,,
Carleton College,Marshall Diebold [821],,,,,,35,,,
Army,Leo Novak [2381],,,,,,36,,,
Western Kentucky,E.A. Diddle [819],,,,,,37,,,
Wichita State,Eugene Johnson [1645],,,,,,38,,,
Utah,Vadal Peterson [2515],,,,,,39,,,
Xavier,Joe Meyer [2194],,,,,,40,,,
St. Bonaventure,Carroll Reilly [2666],,,,,,41,,,
