Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Long Island University,Clair Bee [185],,,,,,1,,,
Seton Hall,Honey Russell [2792],,,,,,2,,,
Toledo,Harold Anderson [64],,,,,,3,,,
Connecticut,Donald White [3363],,,,,,4,,,
Wisconsin,Bud Foster [1099],,,,,,5,,,
Arkansas,Glen Rose [2764],,,,,,6,,,
Duquesne,Chick Davies [753],,,,,,7,,,
Indiana,Branch McCracken [2093],,,,,,8,,,
Western Kentucky,E.A. Diddle [819],,,,,,9,,,
Rhode Island,Frank Keaney [1712],,,,,,10,,,
George Washington,William Reinhart [2669],,,,,,11,,,
Loyola (MD),Lefty Reitz [2671],,,,,,12,,,
Ohio,William Trautwein [3189],,,,,,13,,,
Boston University,Mel Collard [610],,,,,,14,,,
Washington State,Jack Friel [1128],,,,,,15,,,
Villanova,Alex Severence [2885],,,,,,16,,,
Stanford,Everett Dean [777],,,,,,17,,,
Georgetown,Elmer Ripley [2707],,,,,,18,,,
Bradley,Alfred Robertson [2725],,,,,,19,,,
Dartmouth,Ozzie Cowles [680],,,,,,20,,,
Iowa State,Louis Menze [2180],,,,,,21,,,
City College of New York,Nat Holman [1513],,,,,,22,,,
Notre Dame,George Keogan [1748],,,,,,23,,,
Tennessee,John Mauer [2049],,,,,,24,,,
Texas Tech,Berl Huffman [1551],,,,,,25,,,
Rice,Buster Brannon [326],,,,,,26,,,
Penn State,John Lawther [1869],,,,,,27,,,
Virginia,Gus Tebell [3129],,,,,,28,,,
Cornell,Blair Gullion [1289],,,,,,29,,,
Syracuse,Lew Andreas [74],,,,,,30,,,
Creighton,Eddie Hickey [1453],,,,,,31,,,
Oklahoma State,Hank Iba [1589],,,,,,32,,,
St. Bonaventure,Carroll Reilly [2666],,,,,,33,,,
Wyoming,Everett Shelton [2902],,,,,,34,,,
Columbia,Paul Mooney [2256],,,,,,35,,,
New York University,Howard Cann [473],,,,,,36,,,
Pittsburgh,Doc Carlson [494],,,,,,37,,,
Auburn,Ralph Jordan [1687],,,,,,38,,,
Santa Clara,George Barsi [159],,,,,,39,,,
Kentucky,Adolph Rupp [2789],,,,,,40,,,
Oregon State,Slats Gill [1190],,,,,,41,,,
North Carolina,Bill Lange [1843],,,,,,42,,,
Kansas,Phog Allen [42],,,,,,43,,,
Saint Joseph's,Bill Ferguson [1028],,,,,,44,,,
Utah,Vadal Peterson [2515],,,,,,45,,,
