Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina State,Norm Sloan [2944],,,,,,1,,,
UCLA,John Wooden [3466],,,,,,2,,,
Long Beach State,Jerry Tarkanian [3114],,,,,,3,,,
Providence,Dave Gavitt [1169],,,,,,4,,,
Marquette,Al McGuire [2127],,,,,,5,,,
Houston,Guy Lewis [1902],,,,,,6,,,
Maryland-Eastern Shore-nm,John Bates [168],,,,,,7,,,
Syracuse,Roy Danforth [737],,,,,,8,,,
Louisiana-Lafayette,Beryl Shipley [2912],,,,,,9,,,
San Francisco,Bob Gaillard [1137],,,,,,10,,,
Kansas State,Jack Hartman [1384],,,,,,11,,,
Virginia Tech,Don DeVoe [808],,,,,,12,,,
Minnesota,Bill Musselman [2323],,,,,,13,,,
McNeese State-nm,Bill Reigel [2664],,,,,,14,,,
American,Tom Young [3499],,,,,,15,,,
Memphis,Gene Bartow [163],,,,,,16,,,
Howard-nm,Marshall Emery [970],,,,,,17,,,
Indiana,Bob Knight [1782],,,,,,18,,,
Saint Joseph's,Jack McKinney [2139],,,,,,19,,,
New Mexico,Norm Ellenberger [958],,,,,,20,,,
Oklahoma City,Abe Lemons [1890],,,,,,21,,,
Missouri,Norm Stewart [3051],,,,,,22,,,
Oral Roberts,Ken Trickey [3192],,,,,,23,,,
Jacksonville,Tom Wasdin [3309],,,,,,24,,,
Louisiana Tech-nm,Scotty Robertson [2726],,,,,,25,,,
Vanderbilt,Roy Skinner [2942],,,,,,26,,,
Louisville,Denny Crum [711],,,,,,27,,,
Maryland,Lefty Driesell [883],,,,,,28,,,
Austin Peay,Lake Kelly [1732],,,,,,29,,,
South Carolina,Frank McGuire [2128],,,,,,30,,,
North Carolina,Dean Smith [2954],,,,,,31,,,
Pennsylvania,Chuck Daly [733],,,,,,32,,,
Marshall,Bob Daniels [738],,,,,,33,,,
Massachusetts,Jack Leaman [1873],,,,,,34,,,
Weber State,Gene Visscher [3257],,,,,,35,,,
Alabama,C.M. Newton [2358],,,,,,36,,,
Northeastern,Jim Calhoun [454],,,,,,37,,,
St. John's (NY),Frank Mulzoff [2306],,,,,,38,,,
Saint Louis,Robert Polk [2552],,,,,,39,,,
Brigham Young,Glenn Potter [2565],,,,,,40,,,
Santa Clara,Carroll Williams [3398],,,,,,41,,,
Morgan State-nm,Nathaniel Frazier [1114],,,,,,42,,,
Kentucky,Joe B. Hall [1320],,,,,,43,,,
Centenary (LA),Larry Little [1914],,,,,,44,,,
Texas Tech,Gerald Myers [2329],,,,,,45,,,
Florida State,Hugh Durham [911],,,,,,46,,,
Tulsa,Ken Hayes [1403],,,,,,47,,,
Idaho State,Jim Killingsworth [1760],,,,,,48,,,
Oklahoma,John MacLeod [1980],,,,,,49,,,
Furman,Joe Williams [3407],,,,,,50,,,
Northern Illinois,Thomas Jorgensen [1688],,,,,,51,,,
Murray State,Cal Luther [1961],,,,,,52,,,
Arizona State,Ned Wulk [3482],,,,,,53,,,
Fairfield,Fred Barakat [136],,,,,,54,,,
Drexel-nm,Ray Haesler [1303],,,,,,55,,,
Miami (OH),Darrell Hedric [1417],,,,,,56,,,
Davidson,Terry Holland [1508],,,,,,57,,,
Duquesne,Red Manning [2012],,,,,,58,,,
Montana State,Hank Anderson [63],,,,,,59,,,
California-Santa Barbara,Ralph Barkey [142],,,,,,60,,,
Cincinnati,Gale Catlett [529],,,,,,61,,,
Denver,Al Harden [1348],,,,,,62,,,
Texas A&M,Shelby Metcalf [2189],,,,,,63,,,
George Washington,Carl Slone [2947],,,,,,64,,,
Penn State,John Bach [110],,,,,,65,,,
Southern California,Bob Boyd [304],,,,,,66,,,
Hardin-Simmons,Russell Berry [229],,,,,,67,,,
Princeton,Pete Carril [504],,,,,,68,,,
Detroit Mercy,Jim Harding [1349],,,,,,69,,,
Temple,Harry Litwack [1919],,,,,,70,,,
Tennessee,Ray Mears [2166],,,,,,71,,,
Purdue,Fred Schaus [2835],,,,,,72,,,
Lafayette,Tom Davis [771],,,,,,73,,,
Oregon,Dick Harter [1382],,,,,,74,,,
Texas-El Paso,Don Haskins [1390],,,,,,75,,,
Iowa State,Maury John [1636],,,,,,76,,,
Utah State,T.L. Plain [2546],,,,,,77,,,
Manhattan,John Powers [2574],,,,,,78,,,
Arizona,Fred Snowden [2979],,,,,,79,,,
Ohio,James Snyder [2982],,,,,,80,,,
Indiana State,Gordon Stauffer [3024],,,,,,81,,,
Arkansas,Larry Van Eman [3232],,,,,,82,,,
Boston University,Fang Mitchell [2233],,,,,,83,,,
Notre Dame,Digger Phelps [2525],,,,,,84,,,
Connecticut,Dee Rowe [2777],,,,,,85,,,
La Salle,Paul Westhead [3354],,,,,,86,,,
Washington,Marv Harshman [1381],,,,,,87,,,
North Carolina A&T-nm,Warren Reynolds [2679],,,,,,88,,,
Louisiana State,Dale Brown [368],,,,,,89,,,
Air Force,Hank Egan [951],,,,,,90,,,
Illinois,Harv Schmidt [2845],,,,,,91,,,
Ohio State,Fred Taylor [3124],,,,,,92,,,
San Diego State,Dick Davis [756],,,,,,93,,,
Rutgers,Richard Lloyd [1923],,,,,,94,,,
Oregon State,Ralph Miller [2217],,,,,,95,,,
Toledo,Bob Nichols [2361],,,,,,96,,,
Hawaii,Red Rocha [2738],,,,,,97,,,
Creighton,Eddie Sutton [3090],,,,,,98,,,
Stetson,Glenn Wilkes [3389],,,,,,99,,,
Maine,Skip Chappelle [546],,,,,,100,,,
Pepperdine,Gary Colson [619],,,,,,101,,,
Stanford,Howard Dallmar [732],,,,,,102,,,
Delaware,Don Harnum [1358],,,,,,103,,,
Morehead State,Bill Harrell [1365],,,,,,104,,,
Gettysburg,Robert Hulton [1561],,,,,,105,,,
Tennessee Tech,Connie Inman [1593],,,,,,106,,,
Baylor,Bill Menefee [2177],,,,,,107,,,
DePaul,Ray Meyer [2196],,,,,,108,,,
Trinity (TX),Pete Murphy [2314],,,,,,109,,,
South Alabama,Jim Taylor [3127],,,,,,110,,,
South Carolina State,Ben Jobe [1634],,,,,,111,,,
Michigan State,Gus Ganakas [1147],,,,,,112,,,
Canisius,John Morrison [2279],,,,,,113,,,
Michigan,Johnny Orr [2437],,,,,,114,,,
Iowa,Dick Schultz [2862],,,,,,115,,,
Brown,Gerald Alaimo [25],,,,,,116,,,
Gonzaga,Adrian Buoncristiani [417],,,,,,117,,,
Charlotte,Bill C. Foster [1096],,,,,,118,,,
Harvard,Robert Harrison [1378],,,,,,119,,,
Mississippi,Cob Jarvis [1618],,,,,,120,,,
Pacific,Stan Morrison [2281],,,,,,121,,,
Drake,Howard Stacey [3007],,,,,,122,,,
Butler,George Theofanis [3137],,,,,,123,,,
Texas,Leon Black [253],,,,,,124,,,
Virginia,Bill Gibson [1183],,,,,,125,,,
Illinois State,Will Robinson [2733],,,,,,126,,,
Navy,Dave Smalley [2948],,,,,,127,,,
Long Island University,Ron Smalls [2949],,,,,,128,,,
Dayton,Don Donoher [851],,,,,,129,,,
Texas-Arlington,Barry Dowd [868],,,,,,130,,,
Portland State,Ken Edwards [948],,,,,,131,,,
Bowling Green State,Pat Haley [1318],,,,,,132,,,
Montana,Jud Heathcote [1414],,,,,,133,,,
Fairleigh Dickinson,Al Lobalbo [1924],,,,,,134,,,
Seattle,Bill O'Connor [2395],,,,,,135,,,
Central Michigan-nm,Dick Parfitt [2461],,,,,,136,,,
East Carolina,Tom Quinn [2612],,,,,,137,,,
Colorado,Sox Walseth [3291],,,,,,138,,,
St. Bonaventure,Larry Weise [3340],,,,,,139,,,
Middle Tennessee,Jimmy Earle [922],,,,,,140,,,
Eastern Kentucky,Guy Strong [3074],,,,,,141,,,
Nevada-Las Vegas,John Bayer [175],,,,,,142,,,
Colorado State,Jim Williams [3405],,,,,,143,,,
Rider,John Carpenter [503],,,,,,144,,,
New Mexico State,Lou Henson [1437],,,,,,145,,,
Clemson,Tates Locke [1927],,,,,,146,,,
Tulane,Dick Longo [1937],,,,,,147,,,
Pittsburgh,Buzz Ridl [2701],,,,,,148,,,
Bradley,Joe Stowell [3066],,,,,,149,,,
