Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
San Diego,Hank Egan [951],,34,497,86,608,1,490,68,687
Rhode Island,Thomas Penders [2500],,154,497,21,608,33,490,40,687
Saint Francis (PA),Jim Baron [151],,149,497,113,608,97,490,256,687
Hofstra,Dick Berg [219],,103,497,187,608,224,490,162,687
Old Dominion,Tom Young [3499],,87,497,260,608,224,490,197,687
Southern Mississippi,M.K. Turk [3207],,107,497,67,608,65,490,76,687
New Hampshire,Gerry Friel [1127],,137,497,251,608,251,490,202,687
Indiana State,Ronald Greene [1263],,146,497,175,608,224,490,152,687
Cincinnati,Tony Yates [3488],,111,497,184,608,163,490,134,687
Morehead State,Tommy Gaither [1140],,212,497,99,608,65,490,103,687
Tennessee,Don DeVoe [808],,268,497,152,608,224,490,186,687
Chattanooga,Mack McCarthy [2075],,17,497,3,608,1,490,132,687
Memphis,Larry Finch [1041],,104,497,44,608,1,490,119,687
Providence,Gordon Chiesa [554],,124,497,72,608,97,490,75,687
Missouri State,Charles Spoonhour [3001],,3,497,37,608,1,490,30,687
American,Ed Tapscott [3113],,94,497,167,608,163,490,147,687
Mississippi,Ed Murphy [2310],,266,497,140,608,131,490,209,687
Green Bay,Dick Bennett [211],,66,497,78,608,33,490,89,687
La Salle,Speedy Morris [2274],,232,497,57,608,97,490,67,687
Purdue,Gene Keady [1710],,52,497,0,608,65,490,28,687
Weber State,Larry Farmer [1014],,206,497,122,608,224,490,224,687
Portland,Larry Steele [3026],,243,497,171,608,224,490,253,687
Alabama-Birmingham,Gene Bartow [163],,82,497,14,608,33,490,57,687
Kansas State,Lon Kruger [1811],,114,497,166,608,131,490,101,687
Saint Peter's,Ted Fiore [1048],,147,497,127,608,1,490,95,687
Maryland-Eastern Shore,Steve Williams [3417],,27,497,0,608,224,490,170,687
Stephen F. Austin,Harry Miller [2211],,1,497,206,608,1,490,1,687
Penn State,Bruce Parkhill [2467],,170,497,219,608,97,490,163,687
Fordham,Nick Macarchuk [1971],,236,497,135,608,163,490,246,687
Maine,Skip Chappelle [546],,135,497,228,608,195,490,216,687
Cal State Fullerton,George McQuarn [2160],,247,497,212,608,97,490,18,687
East Carolina,Mike Steele [3027],,96,497,165,608,195,490,149,687
Eastern Kentucky,Max Good [1224],,211,497,0,608,97,490,3,687
Illinois-Chicago,Bob Hallberg [1324],,65,497,88,608,131,490,53,687
Houston Baptist,Tommy Jones [1680],,185,497,16,608,131,490,38,687
Bradley,Stan Albeck [26],,139,497,60,608,33,490,21,687
St. Francis (NY),Bob Valvano [3228],,151,497,24,608,224,490,203,687
Creighton,Tony Barone [152],,145,497,191,608,163,490,201,687
Mississippi Valley State,Lafayette Stribling [3069],,178,497,101,608,97,490,72,687
Bowling Green State,Jim Larranaga [1856],,90,497,105,608,97,490,63,687
Georgetown,John Thompson [3154],,121,497,12,608,1,490,86,687
Marshall,Rick Huckabay [1549],,5,497,13,608,33,490,81,687
Wisconsin,Steve Yoder [3493],,58,497,258,608,224,490,191,687
Colorado State,Tiny Grant [1243],,198,497,179,608,163,490,189,687
Colgate,Joe Baker [120],,136,497,250,608,224,490,231,687
Duke,Mike Krzyzewski [1814],,75,497,98,608,33,490,71,687
Brigham Young,Ladell Andersen [57],,194,497,20,608,33,490,12,687
Western Carolina,Herb Krusen [1812],,47,497,85,608,224,490,228,687
Washington,Andy Russo [2793],,219,497,61,608,65,490,109,687
Arizona State,Steve Patterson [2479],,221,497,144,608,251,490,177,687
Austin Peay,Lake Kelly [1732],,210,497,52,608,1,490,107,687
Fairleigh Dickinson,Tom Green [1258],,80,497,147,608,33,490,97,687
Kent State,Jim McDonald [2108],,89,497,115,608,33,490,17,687
Robert Morris,Jarrett Durham [912],,148,497,170,608,163,490,169,687
