Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
San Francisco,Bob Gaillard [1137],,,,,,1,,,
Arkansas,Eddie Sutton [3090],,,,,,2,,,
Nevada-Las Vegas,Jerry Tarkanian [3114],,,,,,3,,,
Indiana State,Bob King [1763],,,,,,4,,,
Minnesota,Jim Dutcher [914],,,,,,5,,,
Syracuse,Jim Boeheim [278],,,,,,6,,,
Kentucky,Joe B. Hall [1320],,,,,,7,,,
Michigan,Johnny Orr [2437],,,,,,8,,,
Virginia Military Institute,Charlie Schmaus [2843],,,,,,9,,,
Detroit Mercy,Dick Vitale [3258],,,,,,10,,,
Old Dominion,Paul Webb [3329],,,,,,11,,,
Austin Peay,Lake Kelly [1732],,,,,,12,,,
Charlotte,Lee Rose [2767],,,,,,13,,,
North Carolina,Dean Smith [2954],,,,,,14,,,
Chattanooga-nm,Ron Shumate [2919],,,,,,15,,,
Cincinnati,Gale Catlett [529],,,,,,16,,,
Idaho State,Jim Killingsworth [1760],,,,,,17,,,
UCLA,Gene Bartow [163],,,,,,18,,,
Providence,Dave Gavitt [1169],,,,,,19,,,
Princeton,Pete Carril [504],,,,,,20,,,
Alabama,C.M. Newton [2358],,,,,,21,,,
Holy Cross,George Blaney [266],,,,,,22,,,
St. Bonaventure,Jim Satalin [2816],,,,,,23,,,
Clemson,Bill C. Foster [1096],,,,,,24,,,
Tennessee,Ray Mears [2166],,,,,,25,,,
Houston,Guy Lewis [1902],,,,,,26,,,
Marquette,Al McGuire [2127],,,,,,27,,,
North Texas,Bill Blakeley [264],,,,,,28,,,
Lafayette,Tom Davis [771],,,,,,29,,,
Toledo,Bob Nichols [2361],,,,,,30,,,
Arizona,Fred Snowden [2979],,,,,,31,,,
Miami (OH),Darrell Hedric [1417],,,,,,32,,,
Hofstra,Roger Gaeckler [1136],,,,,,33,,,
Southern Illinois,Paul Lambert [1832],,,,,,34,,,
Notre Dame,Digger Phelps [2525],,,,,,35,,,
Utah,Jerry Pimm [2537],,,,,,36,,,
Illinois State,Gene Smithson [2975],,,,,,37,,,
Creighton,Tom Apke [80],,,,,,38,,,
Louisville,Denny Crum [711],,,,,,39,,,
Oral Roberts,Jerry Hale [1317],,,,,,40,,,
Kansas State,Jack Hartman [1384],,,,,,41,,,
McNeese State,E.W. Foy [1107],,,,,,42,,,
Wake Forest,Carl Tacy [3109],,,,,,43,,,
Louisiana-Lafayette,Jim Hatfield [1393],,,,,,44,,,
Long Beach State,Dwight Jones [1667],,,,,,45,,,
Missouri,Norm Stewart [3051],,,,,,46,,,
Army,Mike Krzyzewski [1814],,,,,,47,,,
Weber State,Neil McCarthy [2076],,,,,,48,,,
St. John's (NY),Lou Carnesecca [500],,,,,,49,,,
Maryland,Lefty Driesell [883],,,,,,50,,,
Milwaukee,Bob Gottlieb [1235],,,,,,51,,,
Washington State,George Raveling [2636],,,,,,52,,,
Villanova,Rollie Massimino [2043],,,,,,53,,,
Montana,Jim Brandenburg [324],,,,,,54,,,
Pennsylvania,Chuck Daly [733],,,,,,55,,,
Middle Tennessee,Jimmy Earle [922],,,,,,56,,,
Texas Tech,Gerald Myers [2329],,,,,,57,,,
Memphis,Wayne Yates [3490],,,,,,58,,,
Purdue,Fred Schaus [2835],,,,,,59,,,
Georgetown,John Thompson [3154],,,,,,60,,,
Iowa,Lute Olson [2434],,,,,,61,,,
Oregon,Dick Harter [1382],,,,,,62,,,
Virginia Tech,Charles Moir [2241],,,,,,63,,,
James Madison,Lou Campanelli [465],,,,,,64,,,
Northwestern State,Tynes Hildebrand [1460],,,,,,65,,,
Florida,John Lotz [1943],,,,,,66,,,
Texas-Pan American,Bill White [3361],,,,,,67,,,
Massachusetts,Jack Leaman [1873],,,,,,68,,,
Oklahoma,Dave Bliss [274],,,,,,69,,,
New Orleans,Ronald Greene [1263],,,,,,70,,,
Wichita State,Harry Miller [2211],,,,,,71,,,
Georgia Tech,Dwayne Morrison [2277],,,,,,72,,,
Kansas,Ted Owens [2450],,,,,,73,,,
Central Michigan,Dick Parfitt [2461],,,,,,74,,,
Furman,Joe Williams [3407],,,,,,75,,,
Rutgers,Tom Young [3499],,,,,,76,,,
Howard,A.B. Williamson [3420],,,,,,77,,,
New Mexico,Norm Ellenberger [958],,,,,,78,,,
Wyoming,Don DeVoe [808],,,,,,79,,,
South Alabama,Cliff Ellis [963],,,,,,80,,,
Washington,Marv Harshman [1381],,,,,,81,,,
New Mexico State,Ken Hayes [1403],,,,,,82,,,
Murray State,Fred Overton [2447],,,,,,83,,,
Connecticut,Dee Rowe [2777],,,,,,84,,,
Santa Clara,Carroll Williams [3398],,,,,,85,,,
Morgan State-nm,Nathaniel Frazier [1114],,,,,,86,,,
West Virginia,Joedy Gardner [1155],,,,,,87,,,
San Jose State,Ivan Guevara [1287],,,,,,88,,,
Seton Hall,Bill Raftery [2622],,,,,,89,,,
Cal State Fullerton,Bobby Dye [918],,,,,,90,,,
Portland State,Ken Edwards [948],,,,,,91,,,
North Carolina-Wilmington,Mel Gibson [1185],,,,,,92,,,
Columbia,Thomas Penders [2500],,,,,,93,,,
Temple,Don Casey [518],,,,,,94,,,
North Carolina State,Norm Sloan [2944],,,,,,95,,,
Morehead State,Jack Schalow [2834],,,,,,96,,,
Iona,Jim Valvano [3229],,,,,,97,,,
Fairfield,Fred Barakat [136],,,,,,98,,,
Georgia Southern,Larry Chapman [544],,,,,,99,,,
Dayton,Don Donoher [851],,,,,,100,,,
Florida State,Hugh Durham [911],,,,,,101,,,
Baylor,Carroll Dawson [774],,,,,,102,,,
Appalachian State,Bobby Cremins [695],,,,,,103,,,
La Salle,Paul Westhead [3354],,,,,,104,,,
South Carolina State,Tim Autrey [105],,,,,,105,,,
Saint Francis (PA),Pete Lonergan [1932],,,,,,106,,,
Richmond,Carl Slone [2947],,,,,,107,,,
West Texas A&M,Ron Ekker [954],,,,,,108,,,
Utah State,Dutch Belnap [199],,,,,,109,,,
Louisiana State,Dale Brown [368],,,,,,110,,,
Nevada,Jim Carey [488],,,,,,111,,,
Louisiana-Monroe,Lenny Fant [1013],,,,,,112,,,
DePaul,Ray Meyer [2196],,,,,,113,,,
Stetson,Glenn Wilkes [3389],,,,,,114,,,
Oregon State,Ralph Miller [2217],,,,,,115,,,
Colgate,Mike Griffin [1278],,,,,,116,,,
Navy,Bob Hamilton [1328],,,,,,117,,,
Oklahoma City,Paul Hansen [1344],,,,,,118,,,
South Carolina,Frank McGuire [2128],,,,,,119,,,
George Washington,Bob Tallent [3110],,,,,,120,,,
Arizona State,Ned Wulk [3482],,,,,,121,,,
William & Mary,George Balanis [123],,,,,,122,,,
Valparaiso,Ken Rochlitz [2740],,,,,,123,,,
Colorado State,Jim Williams [3405],,,,,,124,,,
Arkansas State,Marvin Adams [15],,,,,,125,,,
Mississippi State,Kermit Davis [766],,,,,,126,,,
Duke,Bill E. Foster [1097],,,,,,127,,,
Indiana,Bob Knight [1782],,,,,,128,,,
Western Michigan,Dick Shilts [2910],,,,,,129,,,
Nebraska,Joe Cipriano [569],,,,,,130,,,
Saint Joseph's,Harry Booth [292],,,,,,131,,,
Maine,Skip Chappelle [546],,,,,,132,,,
Duquesne,John Cinicola [568],,,,,,133,,,
Pepperdine,Gary Colson [619],,,,,,134,,,
Auburn,Bob Davis [754],,,,,,135,,,
Louisiana Tech,Emmet Hendricks [1431],,,,,,136,,,
Virginia Commonwealth,Dana Kirk [1771],,,,,,137,,,
Rhode Island,Jack Kraft [1798],,,,,,138,,,
Catholic,Jack Kvancz [1821],,,,,,139,,,
Texas,Abe Lemons [1890],,,,,,140,,,
Fairleigh Dickinson,Al Lobalbo [1924],,,,,,141,,,
American,Jim Lynam [1964],,,,,,142,,,
Loyola (IL),Jerry Lyne [1968],,,,,,143,,,
Saint Peter's,Dick McDonald [2106],,,,,,144,,,
Texas A&M,Shelby Metcalf [2189],,,,,,145,,,
Niagara,Dan Raskin [2633],,,,,,146,,,
Northern Illinois,John McDougal [2114],,,,,,147,,,
Seattle,Bill O'Connor [2395],,,,,,148,,,
Manhattan,John Powers [2574],,,,,,149,,,
Butler,George Theofanis [3137],,,,,,150,,,
Delaware,Ron Rainey [2625],,,,,,151,,,
Illinois,Lou Henson [1437],,,,,,152,,,
San Diego State,Tim Vezie [3251],,,,,,153,,,
Northeastern,Jim Calhoun [454],,,,,,154,,,
New Hampshire,Gerry Friel [1127],,,,,,155,,,
St. Francis (NY),Lou Rossini [2773],,,,,,156,,,
East Tennessee State,Sonny Smith [2972],,,,,,157,,,
Drexel,Ray Haesler [1303],,,,,,158,,,
Brigham Young,Frank Arnold [92],,,,,,159,,,
