Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Long Island University,Clair Bee [185],,,,,,1,,,
Notre Dame,George Keogan [1748],,,,,,2,,,
Kansas,Phog Allen [42],,,,,,3,,,
Washington & Lee,Harry Young [3496],,,,,,4,,,
Indiana,Everett Dean [777],,,,,,5,,,
Arkansas,Glen Rose [2764],,,,,,6,,,
Western Kentucky,E.A. Diddle [819],,,,,,7,,,
Columbia,Paul Mooney [2256],,,,,,8,,,
Manhattan,Neil Cohalan [601],,,,,,9,,,
George Washington,William Reinhart [2669],,,,,,10,,,
North Carolina,Walter Skidmore [2940],,,,,,11,,,
Western Michigan,Herbert W. Buck Read [2643],,,,,,12,,,
Duquesne,Chick Davies [753],,,,,,13,,,
St. John's (NY),James Freeman [1121],,,,,,14,,,
DePaul,Jim Kelly [1731],,,,,,15,,,
Purdue,Piggy Lambert [1833],,,,,,16,,,
North Carolina State,Ray Sermon [2884],,,,,,17,,,
Indiana State,Wally Marks [2019],,,,,,18,,,
Washington,Hec Edmundson [940],,,,,,19,,,
New York University,Howard Cann [473],,,,,,20,,,
St. Bonaventure,Carroll Reilly [2666],,,,,,21,,,
Duke,Eddie Cameron [463],,,,,,22,,,
Bucknell,Malcolm Musser [2324],,,,,,23,,,
Stanford,John Bunn [414],,,,,,24,,,
Toledo,Harold Anderson [64],,,,,,25,,,
Michigan,Cappy Cappon [481],,,,,,26,,,
Colgate,John Galloway [1146],,,,,,27,,,
Furman,Robert Smith [2970],,,,,,28,,,
Temple,James Usilton [3222],,,,,,29,,,
Niagara,Taps Gallagher [1144],,,,,,30,,,
Saint Joseph's,Bill Ferguson [1028],,,,,,31,,,
Washington State,Jack Friel [1128],,,,,,32,,,
Rhode Island,Frank Keaney [1712],,,,,,33,,,
Tennessee,Blair Gullion [1289],,,,,,34,,,
City College of New York,Nat Holman [1513],,,,,,35,,,
Kentucky,Adolph Rupp [2789],,,,,,36,,,
Syracuse,Lew Andreas [74],,,,,,37,,,
Detroit Mercy,Lloyd Brazil [331],,,,,,38,,,
Northern Colorado,John Davis [762],,,,,,39,,,
Texas Tech,Berl Huffman [1551],,,,,,40,,,
Richmond,Malcolm Pitt [2543],,,,,,41,,,
Maryland,Burton Shipley [2913],,,,,,42,,,
Arizona,Fred Enke [979],,,,,,43,,,
Denver,Clyde Hubbard [1542],,,,,,44,,,
Creighton,Eddie Hickey [1453],,,,,,45,,,
Loyola (MD),William Lidston [1906],,,,,,46,,,
Northwestern,Dutch Lonborg [1930],,,,,,47,,,
Illinois,Craig Ruby [2783],,,,,,48,,,
Clemson,Joe Davis [761],,,,,,49,,,
Santa Clara,George Barsi [159],,,,,,50,,,
Pittsburgh,Doc Carlson [494],,,,,,51,,,
Fordham,Vincent Cavanaugh [530],,,,,,52,,,
Brooklyn,Dutch Connor [636],,,,,,53,,,
West Virginia,Marshall Glenn [1211],,,,,,54,,,
Oklahoma State,Hank Iba [1589],,,,,,55,,,
Auburn,Ralph Jordan [1687],,,,,,56,,,
Saint Mary's (CA),James Underhill [3217],,,,,,57,,,
Utah State,Dick Romney [2756],,,,,,58,,,
St. Francis (NY),Rody Cooney [651],,,,,,59,,,
Ohio,Brandon Grover [1283],,,,,,60,,,
Western State,Elwood Romney [2757],,,,,,61,,,
Mississippi State,Frank Carideo [489],,,,,,62,,,
William & Mary,Thomas Dowler [870],,,,,,63,,,
Oregon,Howard Hobson [1490],,,,,,64,,,
