Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
San Diego,Bill Grier [1275],,35,660,282,799,161,656,215,994
Rhode Island,Dan Hurley [1577],,175,660,234,799,335,656,211,994
Southern Utah,Nick Robinson [2730],,249,660,225,799,193,656,301,994
Norfolk State,Anthony Evans [990],,54,660,49,799,33,656,126,994
Saint Francis (PA),Rob Krimmel [1810],,110,660,259,799,282,656,256,994
Hofstra,Mo Cassara [522],,82,660,320,799,305,656,235,994
Southern Mississippi,Donnie Tyndall [3214],,302,660,41,799,33,656,38,994
Old Dominion,Jim Corrigan [663],Blaine Taylor [3120],77,660,202,799,97,656,169,994
New Hampshire,Bill Herrion [1445],,68,660,87,799,129,656,205,994
Indiana State,Greg Lansing [1850],,296,660,173,799,193,656,189,994
Central Arkansas,Corliss Williamson [3421],,144,660,300,799,321,656,260,994
Cincinnati,Mick Cronin [702],,257,660,8,799,33,656,157,994
Troy,Don Maestri [1987],,232,660,285,799,305,656,244,994
Morehead State,Sean Woods [3468],,202,660,211,799,129,656,117,994
Tennessee,Cuonzo Martin [2027],,192,660,126,799,33,656,62,994
Chattanooga,John Shulman [2917],,289,660,238,799,321,656,217,994
Quinnipiac,Tom Moore [2261],,104,660,132,799,161,656,15,994
Utah Valley,Dick Hunsaker [1562],,9,660,131,799,33,656,92,994
Memphis,Josh Pastner [2476],,74,660,38,799,1,656,106,994
Providence,Ed Cooley [650],,265,660,288,799,338,656,279,994
Missouri State,Paul Lusk [1959],,293,660,181,799,161,656,335,994
American,Jeff Jones [1672],,48,660,109,799,97,656,35,994
La Salle,John Giannini [1181],,169,660,165,799,65,656,124,994
Mississippi,Andy Kennedy [1737],,193,660,209,799,161,656,130,994
Green Bay,Brian Wardle [3303],,328,660,153,799,193,656,115,994
Purdue,Matt Painter [2455],,275,660,214,799,161,656,167,994
Weber State,Randy Rahe [2624],,6,660,1,799,33,656,154,994
Portland,Eric Reveno [2674],,37,660,325,799,193,656,297,994
Alabama-Birmingham,Jerod Haase [1297],,304,660,136,799,129,656,133,994
Kansas State,Bruce Weber [3331],,99,660,129,799,129,656,42,994
Saint Peter's,John Dunne [905],,243,660,317,799,255,656,284,994
Maryland-Eastern Shore,Frankie Allen [38],,153,660,260,799,305,656,285,994
Stephen F. Austin,Danny Kaspar [1706],,44,660,150,799,97,656,11,994
Penn State,Patrick Chambers [538],,279,660,284,799,305,656,213,994
Fordham,Tom Pecora [2492],,176,660,304,799,338,656,190,994
Maine,Ted Woodward [3469],,67,660,294,799,193,656,311,994
Northern Illinois,Mark Montgomery [2253],,213,660,287,799,305,656,274,994
Buffalo,Reggie Witherspoon [3454],,189,660,28,799,97,656,102,994
Cal State Fullerton,Andy Newman [2355],,61,660,4,799,33,656,91,994
East Carolina,Jeff Lebo [1875],,305,660,245,799,255,656,269,994
Eastern Kentucky,Jeff Neubauer [2352],,206,660,170,799,255,656,281,994
Illinois-Chicago,Howard Moore [2260],,330,660,272,799,255,656,220,994
Houston Baptist,Ron Cotrell [667],,60,660,182,799,161,656,177,994
North Carolina-Greensboro,Wes Miller [2221],,285,660,233,799,193,656,73,994
Bradley,Geno Ford [1088],,298,660,303,799,282,656,325,994
North Carolina Central,LeVelle Moton [2289],,147,660,191,799,224,656,36,994
St. Francis (NY),Glenn Braica [322],,94,660,117,799,97,656,129,994
Creighton,Greg McDermott [2101],,122,660,58,799,1,656,114,994
Mississippi Valley State,Chico Potts [2566],,3,660,93,799,1,656,138,994
Bowling Green State,Louis Orr [2438],,190,660,143,799,161,656,145,994
Georgetown,John Thompson [3153],,254,660,104,799,65,656,132,994
Marshall,Tom Herrion [1446],,301,660,82,799,161,656,113,994
Wisconsin,Bo Ryan [2795],,273,660,160,799,65,656,164,994
Colorado State,Larry Eustachy [989],,219,660,95,799,65,656,155,994
Colgate,Matt Langel [1846],,52,660,332,799,193,656,294,994
Duke,Mike Krzyzewski [1814],,114,660,16,799,65,656,96,994
Brigham Young,Dave Rose [2763],,32,660,84,799,65,656,108,994
Western Carolina,Larry Hunter [1570],,284,660,210,799,224,656,161,994
Washington,Lorenzo Romar [2755],,299,660,106,799,65,656,125,994
Tennessee-Martin,Jason James [1610],,208,660,0,799,305,656,287,994
Louisiana-Lafayette,Bob Marlin [2020],,229,660,101,799,33,656,30,994
Arizona State,Herb Sendek [2882],,317,660,255,799,224,656,289,994
Florida International,Richard Pitino [2541],,236,660,269,799,193,656,221,994
Florida Atlantic,Mike Jarvis [1620],,234,660,180,799,282,656,315,994
Austin Peay,Dave Loos [1939],,203,660,157,799,161,656,219,994
Portland State,Tyler Geving [1179],,22,660,247,799,65,656,22,994
College of Charleston,Doug Wojcik [3460],,282,660,44,799,65,656,10,994
Southeast Missouri State,Dickey Nutt [2386],,201,660,229,799,97,656,50,994
Fairleigh Dickinson,Greg Vetrone [3250],,111,660,306,799,305,656,188,994
Kent State,Rob Senderoff [2883],,187,660,40,799,65,656,48,994
Robert Morris,Andrew Toole [3183],,105,660,14,799,33,656,57,994
Seton Hall,Kevin Willard [3391],,261,660,235,799,255,656,194,994
Murray State,Steve Prohm [2597],,5,660,55,799,1,656,25,994
South Dakota State,Scott Nagy [2331],,30,660,26,799,1,656,59,994
Princeton,Mitch Henderson [1429],,13,660,15,799,65,656,45,994
Saint Mary's (CA),Randy Bennett [213],,29,660,21,799,1,656,8,994
Marquette,Buzz Williams [3397],,227,660,81,799,129,656,86,994
Virginia Commonwealth,Shaka Smart [2950],,75,660,0,799,1,656,82,994
Gardner-Webb,Chris Holtmann [1522],,340,660,223,799,282,656,191,994
Tennessee Tech,Steve Payne [2485],,200,660,113,799,65,656,72,994
Butler,Brad Stevens [3037],,324,660,168,799,65,656,98,994
Fresno State,Rodney Terry [3135],,93,660,254,799,193,656,185,994
North Carolina-Wilmington,Buzz Peterson [2513],,84,660,270,799,193,656,306,994
South Dakota,David Boots [293],,250,660,220,799,224,656,264,994
Army,Zach Spiker [2999],,50,660,280,799,161,656,224,994
Wichita State,Gregg Marshall [2023],,121,660,80,799,33,656,90,994
Baylor,Scott Drew [879],,96,660,70,799,65,656,103,994
Eastern Michigan,Rob Murphy [2315],,210,660,215,799,129,656,105,994
Florida State,Leonard Hamilton [1330],,123,660,5,799,1,656,101,994
South Alabama,Ronnie Arrow [96],Jeff Price [2585],228,660,232,799,224,656,97,994
Alabama,Anthony Grant [1241],,191,660,216,799,129,656,95,994
Florida,Billy Donovan [853],,136,660,133,799,97,656,70,994
Georgia Southern,Charlton Young [3494],,269,660,116,799,97,656,7,994
Oregon State,Craig Robinson [2728],,318,660,76,799,255,656,233,994
Rider,Kevin Baggett [115],,241,660,115,799,97,656,118,994
Nevada-Las Vegas,Dave Rice [2683],,218,660,105,799,97,656,141,994
Miami (FL),Jim Larranaga [1856],,125,660,54,799,161,656,137,994
Navy,Ed DeChellis [784],,53,660,0,799,224,656,250,994
San Jose State,George Nessman [2350],,92,660,322,799,224,656,332,994
Montana State,Brad Huse [1578],,40,660,244,799,193,656,248,994
Cal Poly,Joe Callero [459],,115,660,177,799,97,656,127,994
Boston College,Steve Donahue [845],,132,660,231,799,305,656,246,994
Idaho,Don Verlin [3246],,91,660,23,799,1,656,148,994
Monmouth,King Rice [2686],,106,660,53,799,193,656,146,994
Virginia,Tony Bennett [214],,126,660,197,799,129,656,136,994
Delaware State,Greg Jackson [1600],,146,660,32,799,1,656,116,994
St. John's (NY),Steve Lavin [1865],,264,660,224,799,335,656,320,994
Duquesne,Jim Ferry [1030],,170,660,195,799,282,656,296,994
Western Illinois,Jim Molinari [2243],,246,660,90,799,65,656,153,994
Texas,Rick Barnes [145],,97,660,219,799,193,656,122,994
Valparaiso,Bryce Drew [876],,322,660,0,799,33,656,170,994
Ball State,Billy Taylor [3119],,212,660,307,799,282,656,247,994
Loyola (MD),Jimmy Patsos [2477],,237,660,67,799,1,656,94,994
Jacksonville,Cliff Warren [3306],,184,660,204,799,255,656,299,994
IPFW,Tony Jasick [1621],,252,660,262,799,282,656,323,994
Texas-El Paso,Tim Floyd [1077],,308,660,124,799,193,656,319,994
Washington State,Ken Bone [289],,320,660,236,799,305,656,251,994
Louisiana-Monroe,Keith Richard [2690],,235,660,308,799,321,656,230,994
Harvard,Tommy Amaker [53],,7,660,35,799,1,656,88,994
Villanova,Jay Wright [3478],,260,660,299,799,321,656,228,994
Michigan,John Beilein [189],,272,660,50,799,1,656,175,994
Savannah State,Horace Broadnax [354],,55,660,108,799,65,656,173,994
Arkansas,Mike Anderson [69],,197,660,222,799,305,656,302,994
Georgia State,Ron Hunter [1571],,80,660,37,799,161,656,168,994
Holy Cross,Milan Brown [384],,51,660,9,799,65,656,112,994
North Texas,Tony Benford [208],,230,660,97,799,161,656,111,994
Illinois State,Dan Muller [2302],,291,660,96,799,65,656,37,994
Rice,Ben Braun [328],,307,660,252,799,282,656,222,994
St. Bonaventure,Mark Schmidt [2846],,165,660,127,799,97,656,29,994
Coastal Carolina,Cliff Ellis [963],,333,660,77,799,129,656,21,994
