Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Stanford,John Bunn [414],,,,,,1,,,
Western Kentucky,E.A. Diddle [819],,,,,,2,,,
Long Island University,Clair Bee [185],,,,,,3,,,
Oklahoma State,Hank Iba [1589],,,,,,4,,,
Notre Dame,George Keogan [1748],,,,,,5,,,
Rutgers,Frank Hill [1466],,,,,,6,,,
Georgia Tech,Roy Mundorff [2307],,,,,,7,,,
Ohio,Brandon Grover [1283],,,,,,8,,,
Rhode Island,Frank Keaney [1712],,,,,,9,,,
Pennsylvania,Lon Jourdet [1689],,,,,,10,,,
Loyola (IL),Leonard Sachs [2799],,,,,,11,,,
Toledo,Harold Anderson [64],,,,,,12,,,
New Mexico State,Jerry Hines [1478],,,,,,13,,,
Fordham,Vincent Cavanaugh [530],,,,,,14,,,
Washington & Lee,Harry Young [3496],,,,,,15,,,
Michigan,Cappy Cappon [481],,,,,,16,,,
George Washington,William Reinhart [2669],,,,,,17,,,
Kansas,Phog Allen [42],,,,,,18,,,
Saint Joseph's,Bill Ferguson [1028],,,,,,19,,,
Bradley,Alfred Robertson [2725],,,,,,20,,,
North Carolina,Walter Skidmore [2940],,,,,,21,,,
Manhattan,Neil Cohalan [601],,,,,,22,,,
Illinois,Douglas Mills [2225],,,,,,23,,,
Tennessee,Blair Gullion [1289],,,,,,24,,,
Kentucky,Adolph Rupp [2789],,,,,,25,,,
Mississippi,George Bohler [281],,,,,,26,,,
Syracuse,Lew Andreas [74],,,,,,27,,,
Western Michigan,Herbert W. Buck Read [2643],,,,,,28,,,
Southern California,Sam Barry [158],,,,,,29,,,
Washington State,Jack Friel [1128],,,,,,30,,,
Purdue,Piggy Lambert [1833],,,,,,31,,,
Oklahoma,Hugh McDermott [2102],,,,,,32,,,
Marshall,Cam Henderson [1426],,,,,,33,,,
Temple,James Usilton [3222],,,,,,34,,,
Auburn,Ralph Jordan [1687],,,,,,35,,,
Texas Tech,Berl Huffman [1551],,,,,,36,,,
Wake Forest,Murray Greason [1253],,,,,,37,,,
