Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Ohio State,Fred Taylor [3124],,,,,,1,,,
Cincinnati,Ed Jucker [1693],,,,,,2,,,
Memphis,Bob Vanatta [3238],,,,,,3,,,
St. Bonaventure,Edward Donovan [854],,,,,,4,,,
West Virginia,George King [1764],,,,,,5,,,
Saint Joseph's,Jack Ramsay [2627],,,,,,6,,,
Providence,Joseph Mullaney [2298],,,,,,7,,,
North Carolina,Frank McGuire [2128],,,,,,8,,,
Princeton,Cappy Cappon [481],,,,,,9,,,
Kansas State,Tex Winter [3445],,,,,,10,,,
Holy Cross,Roy Leenig [1882],,,,,,11,,,
Bradley,Chuck Orsborn [2439],,,,,,12,,,
St. John's (NY),Joe Lapchick [1851],,,,,,13,,,
Arizona State,Ned Wulk [3482],,,,,,14,,,
New Mexico State,Presley Askew [101],,,,,,15,,,
Vanderbilt,Robert Polk [2552],,,,,,16,,,
Duke,Vic Bubas [406],,,,,,17,,,
Maine-nm,Brian McCall [2066],,,,,,18,,,
Niagara,Taps Gallagher [1144],,,,,,19,,,
Gettysburg,Robert Hulton [1561],,,,,,20,,,
Mississippi State,Babe McCarthy [2073],,,,,,21,,,
Iowa,Sharm Scheuerman [2838],,,,,,22,,,
Utah,Jack Gardner [1154],,,,,,23,,,
Loyola Marymount,William Donovan [855],,,,,,24,,,
Miami (FL),Bruce Hale [1315],,,,,,25,,,
Drake,Maury John [1636],,,,,,26,,,
Saint Mary's (CA),James Weaver [3327],,,,,,27,,,
Louisville,Peck Hickman [1455],,,,,,28,,,
Southern California,Forrest Twogood [3213],,,,,,29,,,
Temple,Harry Litwack [1919],,,,,,30,,,
Army,George Hunter [1568],,,,,,31,,,
Ohio,James Snyder [2982],,,,,,32,,,
Saint Louis,John Benington [209],,,,,,33,,,
Purdue,Ray Eddy [936],,,,,,34,,,
Arkansas,Glen Rose [2764],,,,,,35,,,
Seattle,Vincent Cazzetta [533],,,,,,36,,,
Western Kentucky,E.A. Diddle [819],,,,,,37,,,
Wichita State,Ralph Miller [2217],,,,,,38,,,
UCLA,John Wooden [3466],,,,,,39,,,
Dayton,Tom Blackburn [256],,,,,,40,,,
Auburn,Joel Eaves [931],,,,,,41,,,
Duquesne,Red Manning [2012],,,,,,42,,,
La Salle,Dudey Moore [2259],,,,,,43,,,
Virginia Tech,Chuck Noe [2371],,,,,,44,,,
Kansas,Dick Harp [1361],,,,,,45,,,
DePaul,Ray Meyer [2196],,,,,,46,,,
