Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
San Diego,Hank Egan [951],,50,517,0,634,224,510,201,729
Rhode Island,Al Skinner [2941],,57,517,149,634,129,510,221,729
Saint Francis (PA),Jim Baron [151],,188,517,134,634,224,510,234,729
Hofstra,Butch van Breda Kolff [3230],,172,517,170,634,129,510,7,729
Old Dominion,Tom Young [3499],,183,517,119,634,193,510,185,729
Southern Mississippi,M.K. Turk [3207],,115,517,243,634,161,510,181,729
New Hampshire,Jim Boylan [307],,84,517,244,634,264,510,208,729
Indiana State,Tates Locke [1927],,196,517,260,634,224,510,214,729
Cincinnati,Bob Huggins [1552],,112,517,154,634,129,510,238,729
Morehead State,Tommy Gaither [1140],,26,517,42,634,129,510,193,729
Tennessee,Wade Houston [1538],,264,517,70,634,1,510,94,729
Chattanooga,Mack McCarthy [2075],,236,517,131,634,65,510,40,729
Memphis,Larry Finch [1041],,113,517,0,634,1,510,91,729
Providence,Rick Barnes [145],,230,517,215,634,193,510,220,729
Missouri State,Charles Spoonhour [3001],,19,517,79,634,1,510,36,729
American,Ed Tapscott [3113],,34,517,69,634,129,510,75,729
Mississippi,Ed Murphy [2310],,266,517,168,634,224,510,267,729
Green Bay,Dick Bennett [211],,125,517,135,634,33,510,213,729
La Salle,Speedy Morris [2274],,3,517,7,634,1,510,58,729
Purdue,Gene Keady [1710],,164,517,157,634,224,510,195,729
Weber State,Denny Huston [1580],,97,517,43,634,97,510,13,729
Portland,Larry Steele [3026],,49,517,240,634,193,510,232,729
Alabama-Birmingham,Gene Bartow [163],,178,517,99,634,97,510,57,729
Kansas State,Lon Kruger [1811],,103,517,132,634,129,510,114,729
Saint Peter's,Ted Fiore [1048],,13,517,2,634,33,510,25,729
Maryland-Eastern Shore,Steve Williams [3417],,79,517,250,634,250,510,170,729
Stephen F. Austin,Mike Martin [2034],,218,517,222,634,224,510,222,729
Penn State,Bruce Parkhill [2467],,56,517,11,634,97,510,112,729
Fordham,Nick Macarchuk [1971],,28,517,204,634,65,510,52,729
Maine,Rudy Keeling [1718],,80,517,192,634,161,510,157,729
Cal State Fullerton,John Sneed [2977],,129,517,10,634,129,510,82,729
East Carolina,Mike Steele [3027],,36,517,0,634,97,510,151,729
Eastern Kentucky,Mike Pollio [2556],,22,517,236,634,97,510,145,729
Illinois-Chicago,Bob Hallberg [1324],,123,517,155,634,161,510,209,729
Houston Baptist,Houston Baptist_UNKNOWN_COACH,,259,517,130,634,161,510,138,729
Bradley,Stan Albeck [26],,193,517,169,634,193,510,205,729
St. Francis (NY),Rich Zvosec [3513],,189,517,143,634,250,510,215,729
Creighton,Tony Barone [152],,63,517,58,634,1,510,76,729
Mississippi Valley State,Lafayette Stribling [3069],,204,517,230,634,193,510,199,729
Bowling Green State,Jim Larranaga [1856],,207,517,196,634,161,510,236,729
Georgetown,John Thompson [3154],,64,517,48,634,1,510,55,729
Marshall,Dana Altman [51],,239,517,151,634,161,510,261,729
Wisconsin,Steve Yoder [3493],,167,517,89,634,250,510,191,729
Colorado State,Tiny Grant [1243],,246,517,75,634,65,510,30,729
Colgate,Jack Bruen [399],,83,517,223,634,193,510,253,729
Duke,Mike Krzyzewski [1814],,221,517,0,634,1,510,105,729
Brigham Young,Roger Reid [2663],,253,517,82,634,129,510,228,729
Western Carolina,Greg Blatt [269],,243,517,185,634,193,510,268,729
Washington,Lynn Nance [2333],,12,517,235,634,129,510,251,729
Louisiana-Lafayette,Marty Fletcher [1070],,139,517,128,634,65,510,177,729
Arizona State,Bill Frieder [1126],,15,517,216,634,224,510,190,729
Austin Peay,Lake Kelly [1732],,20,517,74,634,33,510,100,729
Fairleigh Dickinson,Tom Green [1258],,117,517,116,634,33,510,89,729
Kent State,Jim McDonald [2108],,85,517,117,634,33,510,35,729
Robert Morris,Jarrett Durham [912],,116,517,98,634,1,510,38,729
Seton Hall,P.J. Carlesimo [490],,229,517,141,634,97,510,115,729
Murray State,Steve Newton [2359],,21,517,0,634,65,510,126,729
Princeton,Pete Carril [504],,52,517,45,634,1,510,113,729
Saint Mary's (CA),Paul Landreaux [1838],,43,517,39,634,1,510,65,729
Virginia Commonwealth,Sonny Smith [2972],,179,517,40,634,65,510,27,729
Tennessee Tech,Frank Harrell [1366],,24,517,233,634,193,510,155,729
Butler,Barry Collier [611],,146,517,200,634,161,510,153,729
Fresno State,Ron Adams [16],,130,517,160,634,193,510,19,729
North Carolina-Wilmington,Robert McPherson [2158],,35,517,4,634,1,510,11,729
Hardin-Simmons,Dennis Harp [1360],,258,517,221,634,250,510,148,729
Army,Les Wothke [3475],,29,517,219,634,97,510,147,729
Wichita State,Mike Cohen [604],,190,517,44,634,33,510,44,729
Baylor,Gene Iba [1588],,151,517,253,634,250,510,142,729
Eastern Michigan,Ben Braun [328],,206,517,182,634,129,510,140,729
South Alabama,Ronnie Arrow [96],,41,517,71,634,1,510,42,729
Florida State,Pat Kennedy [1742],,109,517,122,634,65,510,39,729
Alabama,Wimp Sanderson [2815],,261,517,46,634,33,510,48,729
Florida,Don DeVoe [808],,262,517,53,634,65,510,37,729
Georgia Southern,Frank Kerns [1749],,42,517,140,634,33,510,2,729
Oregon State,Jim Anderson [67],,9,517,164,634,65,510,64,729
Rider,Kevin Bannon [135],,176,517,211,634,224,510,158,729
Nevada-Las Vegas,Jerry Tarkanian [3114],,7,517,33,634,1,510,60,729
San Jose State,Stan Morrison [2281],,133,517,258,634,264,510,159,729
Navy,Pete Herrmann [1447],,39,517,255,634,193,510,270,729
Montana State,Stu Starner [3021],,99,517,228,634,129,510,197,729
