Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
San Diego,Jim Brovelli [363],,57,438,138,308,61,435,184,621
Rhode Island,Claude English [978],,166,438,0,308,247,435,251,621
Saint Francis (PA),Kevin Porter [2561],,102,438,94,308,121,435,46,621
Hofstra,Dick Berg [219],,20,438,0,308,91,435,73,621
Old Dominion,Paul Webb [3329],,73,438,0,308,1,435,80,621
Southern Mississippi,M.K. Turk [3207],,149,438,0,308,151,435,161,621
New Hampshire,Gerry Friel [1127],,49,438,51,308,61,435,58,621
Indiana State,Dave Schellhase [2836],,202,438,164,308,233,435,198,621
Cincinnati,Tony Yates [3488],,150,438,180,308,181,435,144,621
Morehead State,Wayne Martin [2036],,178,438,93,308,31,435,40,621
Tennessee,Don DeVoe [808],,249,438,0,308,181,435,115,621
Chattanooga,Murray Arnold [94],,3,438,12,308,1,435,96,621
Memphis,Dana Kirk [1771],,147,438,0,308,91,435,153,621
Missouri State,Charles Spoonhour [3001],,88,438,0,308,1,435,28,621
Providence,Joseph Mullaney [2298],,192,438,0,308,151,435,138,621
American,Ed Tapscott [3113],,19,438,0,308,61,435,18,621
Green Bay,Dick Lien [1907],,95,438,0,308,209,435,193,621
La Salle,Lefty Ervin [984],,11,438,6,308,1,435,53,621
Mississippi,Lee Hunt [1565],,246,438,117,308,61,435,71,621
Purdue,Gene Keady [1710],,236,438,0,308,61,435,49,621
Weber State,Neil McCarthy [2076],,169,438,0,308,31,435,14,621
Portland,Jack Avina [106],,60,438,135,308,151,435,216,621
Alabama-Birmingham,Gene Bartow [163],,75,438,0,308,91,435,50,621
Kansas State,Jack Hartman [1384],,127,438,167,308,151,435,213,621
Saint Peter's,Bob Dukiet [899],,111,438,109,308,61,435,111,621
Maryland-Eastern Shore,Kirkland Hall [1321],,62,438,0,308,91,435,157,621
Penn State,Bruce Parkhill [2467],,161,438,18,308,151,435,10,621
Fordham,Thomas Penders [2500],,110,438,0,308,1,435,29,621
Maine,Skip Chappelle [546],,52,438,90,308,121,435,84,621
Northern Illinois,John McDougal [2114],,215,438,116,308,209,435,190,621
Cal State Fullerton,George McQuarn [2160],,197,438,1,308,61,435,26,621
East Carolina,Charlie Harrison [1375],,16,438,0,308,151,435,136,621
Eastern Kentucky,Max Good [1224],,180,438,0,308,61,435,16,621
