Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Texas,Theo Bellmont [197],,,,,,1,,,
Illinois,Ralph Jones [1678],,,,,,2,,,
Virginia,Henry Lannigan [1849],,,,,,3,,,
Kalamazoo,E.J. Mather [2045],,,,,,4,,,
Arizona,Pop McKale [2131],,,,,,5,,,
Denver,Charles Wingender [3442],,,,,,6,,,
Kansas,W.O. Hamilton [1332],,,,,,7,,,
Saint Joseph's,John Donahue [843],,,,,,8,,,
Union (NY),Fred Dawson [775],,,,,,9,,,
Lake Forest,Ira Carrithers [505],,,,,,10,,,
Allegheny,Charles Hammett [1335],,,,,,11,,,
Syracuse,Edmund Dollard [840],,,,,,12,,,
Louisiana State,Doc Stroud [3075],,,,,,13,,,
Rice,Robert Cummings [715],,,,,,14,,,
New Mexico,Hutch Hutchinson [1581],,,,,,15,,,
Seton Hall,Frank Hill [1466],,,,,,16,,,
Mount Union,George O'Brien [2388],,,,,,17,,,
Texas A&M,Frank Steger [3029],,,,,,18,,,
Denison,Walter Livingston [1920],,,,,,19,,,
Duquesne,Eugene McGuigan [2126],,,,,,20,,,
Washington,Anthony Savage [2824],,,,,,21,,,
Army,Jacob Devers [804],,,,,,22,,,
Carleton College,Claude Hunt [1563],,,,,,23,,,
Franklin,John Thurber [3167],,,,,,24,,,
North Dakota State,Howard Wood [3464],,,,,,25,,,
Notre Dame,Jesse Harper [1362],,,,,,26,,,
Yale,Robert Stowe [3065],,,,,,27,,,
Tennessee,Zora Clevenger [588],,,,,,28,,,
Navy,Albert Cohan [602],,,,,,29,,,
Virginia Military Institute,F.H. Gaoton [1149],,,,,,30,,,
Chicago,Pat Page [2453],,,,,,31,,,
Washington College,Thomas Kibler [1756],,,,,,32,,,
Pittsburgh,George Flint [1073],,,,,,33,,,
Wabash,Clarence Thurber [3166],,,,,,34,,,
Penn State,J.F. Park [2462],,,,,,35,,,
Central Missouri,Phog Allen [42],,,,,,36,,,
Wisconsin,Doc Meanwell [2165],,,,,,37,,,
Wake Forest,Richard Crozier [709],,,,,,38,,,
Nebraska Wesleyan,William Kline [1780],,,,,,39,,,
Utah,Nelson Nordgren [2376],,,,,,40,,,
St. John's (NY),Joseph O'Shea [2415],,,,,,41,,,
Brigham Young,E.L. Roberts [2720],,,,,,42,,,
Cornell,Albert Sharpe [2894],,,,,,43,,,
Washington State,J. Fred Bohler [282],,,,,,44,,,
Ohio,Mark Banks [132],,,,,,45,,,
Colgate,Walt Hammond [1336],,,,,,46,,,
Millikin,Neal Price [2587],,,,,,47,,,
Bradley,Fred Brown [372],,,,,,48,,,
Princeton,Fred Luehring [1954],,,,,,49,,,
Oklahoma State,Paul Davis [770],,,,,,50,,,
Manhattan,Edward Hanrahan [1341],,,,,,51,,,
Citadel,Hans Kangeter [1702],,,,,,52,,,
Nevada,Silas Ross [2771],,,,,,53,,,
Roanoke,Pinky Spruhan [3003],,,,,,54,,,
Muhlenburg,George McCaa [2061],,,,,,55,,,
Colorado State,Harry Hughes [1553],,,,,,56,,,
Virginia Tech,Branch Bocock [277],,,,,,57,,,
Temple,William Nicolai [2366],,,,,,58,,,
Columbia,Harry Fisher [1051],,,,,,59,,,
Grove City,William Young [3500],,,,,,60,,,
Southwestern (KS),Bill Bates [167],,,,,,61,,,
Northern Colorado,Royce Long [1936],,,,,,62,,,
Tulsa,Forest Rees [2655],,,,,,63,,,
Minnesota,Louis Cooke [649],,,,,,64,,,
Augustana (IL),R.M. Conrad [640],,,,,,65,,,
North Dakota,Thomas Gill [1191],,,,,,66,,,
Alabama,Tubby Graves [1247],,,,,,67,,,
Saint Mary's (CA),Fred Broderick [356],,,,,,68,,,
Millsaps,Chick Maghee [1990],,,,,,69,,,
Rochester (NY),Arthur Powell [2567],,,,,,70,,,
Kent State,Alexander Whyte [3380],,,,,,71,,,
Kentucky,Alpha Brummage [401],,,,,,72,,,
Oklahoma,Bennie Owen [2448],,,,,,73,,,
Western Michigan,William Spaulding [2992],,,,,,74,,,
Northwestern,Fred Murphy [2311],,,,,,75,,,
Mississippi State,E.C. Hayes [1402],,,,,,76,,,
Georgia,Howell Peacock [2488],,,,,,77,,,
Loyola (MD),William Schuerholz [2860],,,,,,78,,,
Missouri,Eugene Van Gent [3233],,,,,,79,,,
Lehigh,S.E. Muthart [2327],,,,,,80,,,
Nebraska,Jumbo Stiehm [3054],,,,,,81,,,
Indiana State,Alfred Westphal [3355],,,,,,82,,,
Fordham,Alcott Neary [2339],,,,,,83,,,
Iowa,Maurice Kent [1746],,,,,,84,,,
Duke,Noble Clay [580],,,,,,85,,,
Wisconsin-Stevens Point,George Corneal [662],,,,,,86,,,
Vanderbilt,Guy Denton [797],,,,,,87,,,
Marietta,Don Drumm [888],,,,,,88,,,
New York University,William Lush [1958],,,,,,89,,,
Dayton,Alphonse Mahrt [1998],,,,,,90,,,
Canisius,Charles McCabe [2062],,,,,,91,,,
Gettysburg,Harry O'Brien [2389],,,,,,92,,,
Georgetown,John O'Reilly [2411],,,,,,93,,,
West Virginia,George Pyle [2607],,,,,,94,,,
Arizona State,George Schaeffer [2832],,,,,,95,,,
Oregon State,Doc Stewart [3043],,,,,,96,,,
North Carolina State,H.S. Tucker [3203],,,,,,97,,,
Texas Christian,Frederick Cahoon [451],,,,,,98,,,
Pennsylvania,Lon Jourdet [1689],,,,,,99,,,
Niagara,A. V. Barrett [153],,,,,,100,,,
Iowa State,Homer Hubbard [1544],,,,,,101,,,
Washington (MO),R.L. Thomas [3145],,,,,,102,,,
Drake,Ray Whisman [3359],,,,,,103,,,
Louisville,Team Captains [484],,,,,,104,,,
Stanford,H.W. Maloney [2005],,,,,,105,,,
Michigan State,John Macklin [1979],,,,,,106,,,
Springfield,Austin Johnson [1640],,,,,,107,,,
New Mexico State,Clarence Russel [2791],,,,,,108,,,
Butler,Cullen Thomas [3141],,,,,,109,,,
Delaware,William McAvoy [2058],,,,,,110,,,
City College of New York,Leonard Palmer [2456],,,,,,111,,,
Oregon,Hugo Bezdek [237],,,,,,112,,,
Ohio State,Wilbur St. John [3005],,,,,,113,,,
Colorado,Jimmy Ashmore [99],,,,,,114,,,
Montana State,Fred Bennion [215],,,,,,115,,,
Montana,Jerry Nissen [2368],,,,,,116,,,
Tulane,T.R. Sweetland [3104],,,,,,117,,,
William & Mary,D.W. Draper [875],,,,,,118,,,
Washington & Lee,William Raftery [2623],,,,,,119,,,
Purdue,R.E. Vaughn [3244],,,,,,120,,,
North Carolina,Chick Doak [829],,,,,,121,,,
Richmond,Frank Dobson [834],,,,,,122,,,
Auburn,Mike Donahue [844],,,,,,123,,,
Detroit Mercy,Walter Hardy [1351],,,,,,124,,,
Colorado College,Edward Hickox [1456],,,,,,125,,,
George Washington,Nathan Dougherty [861],,,,,,126,,,
Idaho,John Griffith [1279],,,,,,127,,,
Dartmouth,P.W. Loudon [1944],,,,,,128,,,
Southern California,Ralph Glaze [1210],,,,,,129,,,
Kansas State,Carl Merner [2184],,,,,,130,,,
Wyoming,Ralph Thacker [3136],,,,,,131,,,
Wooster,H.F. Tuttle [3211],,,,,,132,,,
Bucknell,George Cockill [595],,,,,,133,,,
Indiana,Arthur Berndt [223],,,,,,134,,,
Miami (OH),Howard Flack [1063],,,,,,135,,,
Wichita State,Harry Buck [408],,,,,,136,,,
Lafayette,W.G. Crowell [707],,,,,,137,,,
Clemson,J.O. Erwin [985],,,,,,138,,,
Lafayette,Joseph Fogarty [1081],,,,,,139,,,
Cincinnati,George Little [1913],,,,,,140,,,
South Carolina,L.W. Hill [1469],,,,,,141,,,
Akron,Frank Haggerty [1305],,,,,,142,,,
Utah State,Joseph Jensen [1629],,,,,,143,,,
Rutgers,George Davidson [748],,,,,,144,,,
Baylor,Bubbs Moseley [2285],,,,,,145,,,
Colorado School of Mines,Will Bryan [402],,,,,,146,,,
