Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Detroit Mercy,Bob Calihan [456],,,,,,118,,,
Kansas,Dick Harp [1361],,,,,,119,,,
Oklahoma State,Hank Iba [1589],,,,,,120,,,
Virginia,Billy McCann [2070],,,,,,121,,,
Maryland,Bud Millikan [2224],,,,,,122,,,
Yale,Joseph Vancisin [3239],,,,,,123,,,
Gonzaga,Hank Anderson [63],,,,,,124,,,
Idaho,Harlan Hodges [1495],,,,,,125,,,
Georgia,Red Lawson [1868],,,,,,126,,,
Pacific,Van Sweet [3101],,,,,,127,,,
Montana,Frosty Cox [681],,,,,,128,,,
Wake Forest,Bones McKinney [2138],,,,,,129,,,
Pittsburgh,Robert Timmons [3176],,,,,,130,,,
Washington (MO),Blair Gullion [1289],,,,,,131,,,
Delaware,Irvin Wisniewski [3451],,,,,,132,,,
Rhode Island,Ernest Calverley [461],,,,,,133,,,
Tulsa,Clarence Iba [1587],,,,,,134,,,
Murray State,Cal Luther [1961],,,,,,135,,,
Louisiana State,Jay McCreary [2098],,,,,,136,,,
Harvard,Floyd S. Wilson [3430],,,,,,137,,,
New Hampshire-nm,Bill Olson [2433],,,,,,138,,,
Arkansas,Glen Rose [2764],,,,,,139,,,
Washington State,Marv Harshman [1381],,,,,,140,,,
Loyola (LA),Hank Kuzma [1820],,,,,,141,,,
Rutgers,Warren Harris [1374],,,,,,142,,,
Drake,Maury John [1636],,,,,,143,,,
Davidson,Tom Scott [2871],,,,,,144,,,
Colgate,Howard Hartman [1383],,,,,,145,,,
Minnesota,Ozzie Cowles [680],,,,,,146,,,
Colorado State,Jim Williams [3405],,,,,,147,,,
Oregon,Steve Belko [192],,,,,,148,,,
Iowa State,Bill Strannigan [3068],,,,,,149,,,
Loyola Marymount,William Donovan [855],,,,,,150,,,
Cornell,Royner Greene [1264],,,,,,151,,,
Florida State,Bud Kennedy [1739],,,,,,152,,,
Florida,John Mauer [2049],,,,,,153,,,
