Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Richmond,Malcolm Pitt [2543],,,,,,1,,,
New York University,Howard Cann [473],,,,,,2,,,
Duquesne,Chick Davies [753],,,,,,3,,,
DePaul,Jim Kelly [1731],,,,,,4,,,
Louisiana State,Harry Rabenhorst [2614],,,,,,5,,,
Long Island University,Clair Bee [185],,,,,,6,,,
North Carolina,George Shepard [2905],,,,,,7,,,
Kentucky,Adolph Rupp [2789],,,,,,8,,,
Ohio Wesleyan,Raymond Detrick [802],,,,,,9,,,
Western Kentucky,E.A. Diddle [819],,,,,,10,,,
Syracuse,Lew Andreas [74],,,,,,11,,,
Canisius,Allie Seelbach [2875],,,,,,12,,,
Rice,Jimmy Kitts [1774],,,,,,13,,,
Purdue,Piggy Lambert [1833],,,,,,14,,,
Cincinnati,Tay Brown [390],,,,,,15,,,
Clemson,Joe Davis [761],,,,,,16,,,
Southern Methodist,James St. Clair [3004],,,,,,17,,,
Westminster (PA),John Lawther [1869],,,,,,18,,,
Toledo,Harold Anderson [64],,,,,,19,,,
Rutgers,Frank Hill [1466],,,,,,20,,,
Iowa State,Louis Menze [2180],,,,,,21,,,
Navy,John Wilson [3433],,,,,,22,,,
Saint Joseph's,Bill Ferguson [1028],,,,,,23,,,
Pennsylvania,Lon Jourdet [1689],,,,,,24,,,
Xavier,Clem Crowe [705],,,,,,25,,,
Michigan State,Benjamin VanAlstyne [3237],,,,,,26,,,
Providence,Albert McClellan [2081],,,,,,27,,,
Utah State,Dick Romney [2756],,,,,,28,,,
Southern California,Sam Barry [158],,,,,,29,,,
Indiana State,Wally Marks [2019],,,,,,30,,,
Kansas,Phog Allen [42],,,,,,31,,,
Pittsburgh,Doc Carlson [494],,,,,,32,,,
Wisconsin,Bud Foster [1099],,,,,,33,,,
Illinois,Craig Ruby [2783],,,,,,34,,,
Saint Mary's (CA),Vincent McNally [2155],,,,,,35,,,
Arkansas,Glen Rose [2764],,,,,,36,,,
Muhlenburg,John Utz [3224],,,,,,37,,,
West Virginia,Marshall Glenn [1211],,,,,,38,,,
La Salle,Leonard Tanseer [3112],,,,,,39,,,
Temple,James Usilton [3222],,,,,,40,,,
Santa Clara,Harlan Dykes [920],,,,,,41,,,
Brown,Arthur Kahler [1697],,,,,,42,,,
Indiana,Everett Dean [777],,,,,,43,,,
Springfield,Edward Hickox [1456],,,,,,44,,,
George Washington,James Pixlee [2545],,,,,,45,,,
Texas,Marty Karow [1704],,,,,,46,,,
Duke,Eddie Cameron [463],,,,,,47,,,
Tennessee,W.H. Britton [352],,,,,,48,,,
Saint Louis,Mike Nyikos [2387],,,,,,49,,,
Western Michigan,Herbert W. Buck Read [2643],,,,,,50,,,
Wyoming,Willard Witte [3456],,,,,,51,,,
Manhattan,Neil Cohalan [601],,,,,,52,,,
Niagara,Taps Gallagher [1144],,,,,,53,,,
Columbia,Paul Mooney [2256],,,,,,54,,,
Ohio State,Harold Olsen [2432],,,,,,55,,,
Oregon State,Slats Gill [1190],,,,,,56,,,
William & Mary,Thomas Dowler [870],,,,,,57,,,
Washington,Hec Edmundson [940],,,,,,58,,,
Mississippi State,Goat Hale [1316],,,,,,59,,,
New Mexico State,Jerry Hines [1478],,,,,,60,,,
Rhode Island,Frank Keaney [1712],,,,,,61,,,
Army,Leo Novak [2381],,,,,,62,,,
Butler,Tony Hinkle [1480],,,,,,63,,,
Denver,Clyde Hubbard [1542],,,,,,64,,,
Villanova,Doc Jacobs [1606],,,,,,65,,,
Brigham Young,Ott Romney [2759],,,,,,66,,,
Texas Tech,Virgil Ballard [128],,,,,,67,,,
City College of New York,Nat Holman [1513],,,,,,68,,,
South Carolina,Rock Norman [2379],,,,,,69,,,
St. John's (NY),James Freeman [1121],,,,,,70,,,
Marquette,Bill Chandler [540],,,,,,71,,,
Marshall,Tom Dandalet [735],,,,,,72,,,
Georgia,Rex Enright [980],,,,,,73,,,
Northern Arizona,Aaron McCreary [2097],,,,,,74,,,
Creighton,Arthur Schabinger [2830],,,,,,75,,,
Notre Dame,George Keogan [1748],,,,,,76,,,
Virginia,Gus Tebell [3129],,,,,,77,,,
Arizona,Fred Enke [979],,,,,,78,,,
Oregon,William Reinhart [2669],,,,,,79,,,
Dartmouth,Dolly Stark [3019],,,,,,80,,,
Kent State,Donald Starn [3020],,,,,,81,,,
Davidson,Red Laird [1829],,,,,,82,,,
Colorado College,Juan Reid [2661],,,,,,83,,,
Drake,Bill Williams [3395],,,,,,84,,,
Montana State,Schubert Dyche [917],,,,,,85,,,
Ohio,Brandon Grover [1283],,,,,,86,,,
Minnesota,Dave McMillan [2152],,,,,,87,,,
Florida,Ben Clemmons [585],,,,,,88,,,
Alabama,Hank Crisp [700],,,,,,89,,,
Furman,Flucie Stewart [3045],,,,,,90,,,
Utah,Vadal Peterson [2515],,,,,,91,,,
North Carolina State,Ray Sermon [2884],,,,,,92,,,
Iowa,Rollie Williams [3413],,,,,,93,,,
Yale,Elmer Ripley [2707],,,,,,94,,,
St. Francis (NY),Rody Cooney [651],,,,,,95,,,
Washington State,Jack Friel [1128],,,,,,96,,,
Oklahoma State,Hank Iba [1589],,,,,,97,,,
New Mexico,Roy Johnson [1655],,,,,,98,,,
Loyola (MD),William Lidston [1906],,,,,,99,,,
Northwestern,Dutch Lonborg [1930],,,,,,100,,,
Oklahoma,Hugh McDermott [2102],,,,,,101,,,
Texas A&M,John Reid [2660],,,,,,102,,,
Colorado State,Saaly Salwachter [2804],,,,,,103,,,
Washington & Lee,Harry Young [3496],,,,,,104,,,
UCLA,Caddy Works [3473],,,,,,105,,,
Penn State,Earl Leslie [1897],,,,,,106,,,
Baylor,Ralph Wolf [3461],,,,,,107,,,
Connecticut,John Heldman [1423],,,,,,108,,,
Northern Colorado,John Davis [762],,,,,,109,,,
Vanderbilt,Josh Cody [596],,,,,,110,,,
Maryland,Burton Shipley [2913],,,,,,111,,,
Mississippi,Ed Walker [3280],,,,,,112,,,
California,Nibs Price [2588],,,,,,113,,,
