Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Connecticut,Hugh Greer [1267],,,,,,1,,,
Texas,Jack Gray [1250],,,,,,2,,,
Kentucky,Adolph Rupp [2789],,,,,,3,,,
Duquesne,Chick Davies [753],,,,,,4,,,
Holy Cross,Doggie Julian [1695],,,,,,5,,,
Seton Hall,Bob Davies [752],,,,,,6,,,
Dickinson College,Richard McAndrews [2054],,,,,,7,,,
Arizona,Fred Enke [979],,,,,,8,,,
Marshall,Cam Henderson [1426],,,,,,9,,,
Vermont,Fuzzy Evans [995],,,,,,10,,,
West Virginia,Lee Patton [2481],,,,,,11,,,
Western Kentucky,E.A. Diddle [819],,,,,,12,,,
Rhode Island,Frank Keaney [1712],,,,,,13,,,
Oregon State,Slats Gill [1190],,,,,,14,,,
Navy,Ben Carnevale [501],,,,,,15,,,
Santa Clara,Ray Pesco [2510],,,,,,16,,,
North Carolina State,Everett Case [516],,,,,,17,,,
Notre Dame,Moose Krause [1802],,,,,,18,,,
Hamline,Joe Hutton [1583],,,,,,19,,,
Louisiana State,Harry Rabenhorst [2614],,,,,,20,,,
Bowling Green State,Harold Anderson [64],,,,,,21,,,
Fordham,Frank Adams [10],,,,,,22,,,
Utah,Vadal Peterson [2515],,,,,,23,,,
Wyoming,Everett Shelton [2902],,,,,,24,,,
Bradley,Alfred Robertson [2725],,,,,,25,,,
Oklahoma,Bruce Drake [872],,,,,,26,,,
Long Island University,Clair Bee [185],,,,,,27,,,
La Salle,Charles McGlone [2122],,,,,,28,,,
Tennessee,John Mauer [2049],,,,,,29,,,
Syracuse,Lew Andreas [74],,,,,,30,,,
Oklahoma State,Hank Iba [1589],,,,,,31,,,
Toledo,Bill Orwig [2442],,,,,,32,,,
Columbia,Gordon Ridings [2700],,,,,,33,,,
George Washington,Otis Zahn [3504],,,,,,34,,,
Northern Arizona,Frank Brickey [346],,,,,,35,,,
Louisville,Peck Hickman [1455],,,,,,36,,,
City College of New York,Nat Holman [1513],,,,,,37,,,
Muhlenburg,Clyde Barker [141],,,,,,38,,,
Georgetown,Elmer Ripley [2707],,,,,,39,,,
Alabama,Floyd Burdette [420],,,,,,40,,,
Saint Joseph's,Bill Ferguson [1028],,,,,,41,,,
Wisconsin,Bud Foster [1099],,,,,,42,,,
UCLA,Wilbur Johns [1639],,,,,,43,,,
Tulane,Clifford Wells [3342],,,,,,44,,,
Western Michigan,Herbert W. Buck Read [2643],,,,,,45,,,
Villanova,Alex Severence [2885],,,,,,46,,,
Duke,Gerry Gerard [1176],,,,,,47,,,
North Carolina,Tom Scott [2871],,,,,,48,,,
Illinois,Douglas Mills [2225],,,,,,49,,,
Washington State,Jack Friel [1128],,,,,,50,,,
Butler,Tony Hinkle [1480],,,,,,51,,,
St. John's (NY),Joe Lapchick [1851],,,,,,52,,,
Washington & Lee,Carl Wise [3450],,,,,,53,,,
Montana State,Brick Breeden [333],,,,,,54,,,
Loyola (IL),Thomas Haggerty [1306],,,,,,55,,,
Lafayette,William Anderson [73],,,,,,56,,,
Miami (OH),Blue Foster [1098],,,,,,57,,,
Creighton,Eddie Hickey [1453],,,,,,58,,,
Davidson,Bo Shepard [2904],,,,,,59,,,
Indiana State,John Wooden [3466],,,,,,60,,,
St. Francis (NY),Joseph Brennan [337],,,,,,61,,,
Washington,Hec Edmundson [940],,,,,,62,,,
Connecticut,Blair Gullion [1289],,,,,,63,,,
Oregon,Howard Hobson [1490],,,,,,64,,,
Minnesota,Dave McMillan [2152],,,,,,65,,,
Boston University,Russ Peterson [2514],,,,,,66,,,
Florida,Sam McAllister [2053],,,,,,67,,,
Richmond,Malcolm Pitt [2543],,,,,,68,,,
Cincinnati,John Wiethe [3384],,,,,,69,,,
Colgate,Karl Lawrence [1867],,,,,,70,,,
California,Nibs Price [2588],,,,,,71,,,
Harvard,William Barclay [138],,,,,,72,,,
South Carolina,Frank Johnson [1646],,,,,,73,,,
DePaul,Ray Meyer [2196],,,,,,74,,,
Southern Methodist,Whitey Baccus [109],,,,,,75,,,
Cornell,Royner Greene [1264],,,,,,76,,,
Pennsylvania,Donald Kellett [1727],,,,,,77,,,
Iowa,Pops Harrison [1377],,,,,,78,,,
Loyola (MD),Lefty Reitz [2671],,,,,,79,,,
Drake,Forddy Anderson [61],,,,,,80,,,
Saint Louis,John Flanigan [1065],,,,,,81,,,
Niagara,Taps Gallagher [1144],,,,,,82,,,
Kansas,Phog Allen [42],,,,,,83,,,
Denver,Ellison Ketchum [1754],,,,,,84,,,
Brooklyn,Julie Bender [204],,,,,,85,,,
Michigan,Ozzie Cowles [680],,,,,,86,,,
Indiana,Branch McCracken [2093],,,,,,87,,,
Missouri,Sparky Stalcup [3012],,,,,,88,,,
Texas-El Paso,Dale Waters [3313],,,,,,89,,,
Nevada,Jake Lawlor [1866],,,,,,90,,,
Kansas State,Jack Gardner [1154],,,,,,91,,,
Arkansas,Eugene Lambert [1831],,,,,,92,,,
Utah State,Bebe Lee [1877],,,,,,93,,,
Maryland,Burton Shipley [2913],,,,,,94,,,
Canisius,Earl Brown [370],,,,,,95,,,
New Mexico,Woody Clements [584],,,,,,96,,,
Bucknell,Woody Ludwig [1953],,,,,,97,,,
New York University,Howard Cann [473],,,,,,98,,,
Kansas,Howard Engleman [975],,,,,,99,,,
Ohio,William Trautwein [3189],,,,,,100,,,
Army,Stewart Holcomb [1504],,,,,,101,,,
Penn State,John Lawther [1869],,,,,,102,,,
Boston College,Albert McClellan [2081],,,,,,103,,,
Kent State,Harry Adams [11],,,,,,104,,,
William & Mary,Richard Gallagher [1143],,,,,,105,,,
Maine,Eck Allen [37],,,,,,106,,,
Michigan State,Benjamin VanAlstyne [3237],,,,,,107,,,
Siena,Dan Cunha [716],,,,,,108,,,
Georgia Tech,Roy McArthur [2056],,,,,,109,,,
Baylor,BIll Henderson [1425],,,,,,110,,,
West Texas A&M,Gus Miller [2210],,,,,,111,,,
Manhattan,Kenneth Norton [2380],,,,,,112,,,
Virginia Tech,George S. Gummy Proctor [2596],,,,,,113,,,
Stanford,Everett Dean [777],,,,,,114,,,
San Francisco,Pete Newell [2354],,,,,,115,,,
Detroit Mercy,John Shada [2890],,,,,,116,,,
Mississippi State,Dick Hitt [1484],,,,,,117,,,
St. Bonaventure,Harry Singleton [2935],,,,,,118,,,
Virginia,Gus Tebell [3129],,,,,,119,,,
Furman,Lyles Alley [46],,,,,,120,,,
Vanderbilt,Norm Cooper [655],,,,,,121,,,
Wake Forest,Murray Greason [1253],,,,,,122,,,
Texas Tech,Berl Huffman [1551],,,,,,123,,,
Purdue,Melvin Taube [3117],,,,,,124,,,
Massachusetts,Lorin Ball [126],,,,,,125,,,
Pittsburgh,Doc Carlson [494],,,,,,126,,,
Washington (MO),Raymond Blake [263],,,,,,127,,,
Saint Mary's (CA),Clarence Andersen [56],,,,,,128,,,
Montana,Jiggs Dahlberg [728],,,,,,129,,,
Southern California,Sam Barry [158],,,,,,130,,,
