Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Holy Cross,William Casey [520],,,,,,1,,,
Arizona,Pop McKale [2131],,,,,,2,,,
Colorado,Joe Mills [2227],,,,,,3,,,
Navy,Billy Lush [1957],,,,,,4,,,
Missouri,Craig Ruby [2783],,,,,,5,,,
Grove City,Bob Thorn [3162],,,,,,6,,,
North Dakota,Paul Davis [770],,,,,,7,,,
Kentucky,George Buchheit [407],,,,,,8,,,
New York University,Ed Thorp [3163],,,,,,9,,,
Central Missouri,Willard Greim [1272],,,,,,10,,,
Virginia Military Institute,Pinky Spruhan [3003],,,,,,11,,,
Pennsylvania,Edward McNichol [2156],,,,,,12,,,
New Mexico State,Arthur Bergman [220],,,,,,13,,,
Tulsa,Francis Schmidt [2844],,,,,,14,,,
Wichita State,Wilmer Elfrink [957],,,,,,15,,,
Penn State,Dutch Hermann [1441],,,,,,16,,,
Gettysburg,Doyle Leathers [1874],,,,,,17,,,
Akron,Fred Sefton [2876],,,,,,18,,,
Wabash,Pete Vaughan [3243],,,,,,19,,,
DePauw,Edbert Buss [440],,,,,,20,,,
Utah,Thomas Fitzpatrick [1061],,,,,,21,,,
Stanford,Walter Powell [2570],,,,,,22,,,
Nebraska,Paul Schissler [2840],,,,,,23,,,
Brigham Young,Alvin Twitchell [3212],,,,,,24,,,
Louisiana State,Branch Bocock [277],,,,,,25,,,
California,Earl Wright [3477],,,,,,26,,,
Ohio,Russell Finsterwald [1047],,,,,,27,,,
Marquette,Frank Murray [2318],,,,,,28,,,
St. Francis (NY),Brother Phillip [2528],,,,,,29,,,
Washington,Hec Edmundson [940],,,,,,30,,,
Michigan,E.J. Mather [2045],,,,,,31,,,
UCLA,Fred Cozens [682],,,,,,32,,,
Denison,Walter Livingston [1920],,,,,,33,,,
West Texas A&M,Wayne McCorkle [2088],,,,,,34,,,
Butler,Pat Page [2453],,,,,,35,,,
Valparaiso,George Keogan [1748],,,,,,36,,,
Virginia Tech,Monk Younger [3501],,,,,,37,,,
Niagara,John Blake [262],,,,,,38,,,
North Dakota State,Stanley Borleske [296],,,,,,39,,,
Idaho,David MacMillan [1981],,,,,,40,,,
Arizona State,George Cooper [653],,,,,,41,,,
Army,Joseph O'Shea [2415],,,,,,42,,,
Nevada,Raymond Courtright [672],,,,,,43,,,
Seton Hall,Frank Hill [1466],,,,,,44,,,
Wisconsin,Doc Meanwell [2165],,,,,,45,,,
Carleton College,L.L. Mendenhall [2176],,,,,,46,,,
Georgia,Herman Stegeman [3028],,,,,,47,,,
Oregon,George Bohler [281],,,,,,48,,,
Bucknell,Clarence Glass [1208],,,,,,49,,,
Ripon,Harold Olsen [2432],,,,,,50,,,
Millikin,Happy Wann [3300],,,,,,51,,,
Kansas State,E.A. Knoth [1788],,,,,,52,,,
Lafayette,William Anderson [73],,,,,,53,,,
City College of New York,Nat Holman [1513],,,,,,54,,,
Princeton,Louis Sugarman [3080],,,,,,55,,,
Southwestern (KS),Bill Bates [167],,,,,,56,,,
Texas A&M,Dana Bible [242],,,,,,57,,,
William & Mary,James Driver [886],,,,,,58,,,
Citadel,C.F. Myers [2328],,,,,,59,,,
Colgate,Bill Reid [2659],,,,,,60,,,
Texas,Theo Bellmont [197],,,,,,61,,,
Virginia,Henry Lannigan [1849],,,,,,62,,,
Clemson,Larry Conover [638],,,,,,63,,,
Colorado School of Mines,Ralph Glaze [1210],,,,,,64,,,
Southern California,Gus Henderson [1428],,,,,,65,,,
Indiana,George Lewis [1901],,,,,,66,,,
Georgetown,John O'Reilly [2411],,,,,,67,,,
Western Michigan,William Spaulding [2992],,,,,,68,,,
Chicago,Amos Alonzo Stagg [3010],,,,,,69,,,
Millsaps,W.P. Bales [125],,,,,,70,,,
Washington & Lee,William Raftery [2623],,,,,,71,,,
Creighton,Chuck Kearney [1713],,,,,,72,,,
Indiana State,Birch Bayh [176],,,,,,73,,,
Minnesota,Louis Cooke [649],,,,,,74,,,
Saint Louis,Armin Fischer [1049],,,,,,75,,,
Vermont,P.A. Larned [1854],,,,,,76,,,
Buffalo,Arthur Powell [2567],,,,,,77,,,
Northern Colorado,William Search [2873],,,,,,78,,,
Kalamazoo,Ralph Young [3498],,,,,,79,,,
Purdue,Piggy Lambert [1833],,,,,,80,,,
Temple,Francois D'Eliscu [726],,,,,,81,,,
Loyola (IL),Bill Feeney [1022],,,,,,82,,,
Colorado College,Poss Parsons [2472],,,,,,83,,,
Mississippi State,E.C. Hayes [1402],,,,,,84,,,
Fordham,Orson Kinney [1769],,,,,,85,,,
Michigan State,Lyman Frimodig [1130],,,,,,86,,,
Wooster,L.C. Boles [285],,,,,,87,,,
Montana State,Tubby Graves [1247],,,,,,88,,,
Mount Union,R. H. Peters [2512],,,,,,89,,,
Illinois,Frank Winters [3447],,,,,,90,,,
Montana,Bernie Bierman [244],,,,,,91,,,
North Carolina,Fred Boye [306],,,,,,92,,,
Duke,Floyd Egan [950],,,,,,93,,,
Miami (OH),George Little [1913],,,,,,94,,,
Utah State,Dick Romney [2756],,,,,,95,,,
Dartmouth,W.A. Zahn [3505],,,,,,96,,,
Duquesne,Ben Lubic [1950],,,,,,97,,,
Rutgers,Frank Hill [1466],,,,,,98,,,
Syracuse,Edmund Dollard [840],,,,,,99,,,
Pittsburgh,George Flint [1073],,,,,,100,,,
Northern Arizona,Lacey Eastburn [926],,,,,,101,,,
Mississippi,R.L. Sullivan [3084],,,,,,102,,,
Muhlenburg,William Ritter [2711],,,,,,103,,,
