Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
San Diego,Brad Holland [1507],,4,648,135,789,94,640,120,942
Rhode Island,Jim Baron [151],,59,648,294,789,292,640,252,942
Southern Utah,Bill Evans [991],,45,648,0,789,1,640,92,942
Norfolk State,Wil Jones [1682],,157,648,56,789,125,640,71,942
Saint Francis (PA),Bobby Jones [1662],,248,648,233,789,125,640,298,942
Hofstra,Tom Pecora [2492],,11,648,32,789,1,640,117,942
Southern Mississippi,James Green [1255],,275,648,95,789,94,640,97,942
Old Dominion,Blaine Taylor [3120],,131,648,0,789,125,640,183,942
New Hampshire,Phil Rowe [2779],,213,648,235,789,249,640,176,942
Indiana State,Royce Waltman [3298],,285,648,0,789,1,640,26,942
Cincinnati,Bob Huggins [1552],,274,648,20,789,63,640,74,942
Troy,Don Maestri [1987],,216,648,0,789,32,640,145,942
Morehead State,Kyle Macy [1984],,141,648,232,789,188,640,311,942
Tennessee,Buzz Peterson [2513],,178,648,243,789,157,640,85,942
Chattanooga,Henry Dickerson [815],,166,648,76,789,94,640,11,942
Quinnipiac,Joe DeSantis [798],,252,648,271,789,304,640,168,942
Memphis,John Calipari [457],,276,648,183,789,125,640,81,942
Providence,Tim Welsh [3344],,148,648,154,789,94,640,28,942
Missouri State,Barry Hinson [1481],,291,648,128,789,157,640,193,942
American,Jeff Jones [1672],,135,648,256,789,249,640,237,942
La Salle,Billy Hahn [1309],,57,648,221,789,219,640,302,942
Mississippi,Rod Barnes [146],,176,648,25,789,94,640,122,942
Green Bay,Mike Heideman [1420],,67,648,201,789,188,640,228,942
Purdue,Gene Keady [1710],,190,648,274,789,219,640,305,942
Weber State,Joe Cravens [688],,227,648,0,789,125,640,110,942
Portland,Michael Holton [1523],,7,648,281,789,188,640,216,942
Alabama-Birmingham,Murry Bartow [164],,278,648,150,789,219,640,136,942
Kansas State,Jim Wooldridge [3470],,128,648,259,789,274,640,264,942
Saint Peter's,Bob Leckie [1876],,303,648,295,789,249,640,204,942
Maryland-Eastern Shore,Thomas Trotter [3196],,159,648,222,789,188,640,73,942
Stephen F. Austin,Danny Kaspar [1706],,310,648,252,789,219,640,236,942
Penn State,Jerry Dunn [902],,189,648,70,789,188,640,194,942
Fordham,Bob Hill [1463],,58,648,279,789,249,640,243,942
Maine,John Giannini [1181],,210,648,69,789,63,640,67,942
Northern Illinois,Rob Judson [1694],,204,648,290,789,292,640,181,942
Buffalo,Reggie Witherspoon [3454],,205,648,289,789,304,640,249,942
Cal State Fullerton,Donny Daniels [739],,113,648,297,789,188,640,186,942
East Carolina,Bill Herrion [1445],,134,648,199,789,188,640,169,942
Eastern Kentucky,Travis Ford [1089],,144,648,296,789,219,640,256,942
Illinois-Chicago,Jimmy Collins [617],,64,648,239,789,125,640,279,942
North Carolina-Greensboro,Fran McCaffery [2065],,155,648,131,789,63,640,90,942
Bradley,Jim Molinari [2243],,287,648,48,789,63,640,106,942
St. Francis (NY),Ron Ganulin [1148],,208,648,39,789,63,640,102,942
Creighton,Dana Altman [51],,261,648,55,789,32,640,95,942
Mississippi Valley State,Lafayette Stribling [3069],,85,648,11,789,1,640,78,942
Bowling Green State,Dan Dakich [730],,197,648,169,789,219,640,29,942
Georgetown,Craig Esherick [986],,262,648,188,789,219,640,105,942
Marshall,Greg White [3365],,198,648,78,789,94,640,104,942
Wisconsin,Bo Ryan [2795],,186,648,146,789,94,640,116,942
Colorado State,Dale Layer [1871],,103,648,161,789,157,640,269,942
Colgate,Emmett Davis [757],,20,648,0,789,125,640,293,942
Duke,Mike Krzyzewski [1814],,69,648,34,789,1,640,60,942
Brigham Young,Steve Cleveland [587],,98,648,52,789,1,640,159,942
Western Carolina,Steve Shurina [2920],,174,648,231,789,304,640,212,942
Washington,Bob Bender [202],,37,648,216,789,274,640,210,942
Tennessee-Martin,Bret Campbell [467],,143,648,157,789,249,640,208,942
Louisiana-Lafayette,Jessie Evans [999],,235,648,99,789,32,640,143,942
Arizona State,Rob Evans [1004],,34,648,288,789,219,640,207,942
Florida International,Donnie Marsh [2022],,238,648,244,789,249,640,277,942
Florida Atlantic,Sidney Green [1257],,222,648,206,789,219,640,307,942
College of Charleston,John Kresse [1806],,153,648,98,789,32,640,118,942
Austin Peay,Dave Loos [1939],,139,648,0,789,32,640,15,942
Portland State,Joel Sobotka [2985],,231,648,174,789,219,640,260,942
Southeast Missouri State,Gary Garner [1158],,140,648,219,789,125,640,257,942
Fairleigh Dickinson,Tom Green [1258],,247,648,89,789,274,640,191,942
Kent State,Stan Heath [1413],,194,648,27,789,32,640,49,942
Robert Morris,Mark Schmidt [2846],,251,648,210,789,249,640,170,942
Seton Hall,Louis Orr [2438],,268,648,133,789,292,640,246,942
Murray State,Tevester Anderson [71],,138,648,125,789,94,640,46,942
Princeton,John Thompson [3153],,32,648,65,789,1,640,21,942
Saint Mary's (CA),Randy Bennett [213],,8,648,302,789,219,640,180,942
Marquette,Tom Crean [694],,280,648,160,789,32,640,9,942
Virginia Commonwealth,Mack McCarthy [2075],,132,648,132,789,63,640,8,942
Tennessee Tech,Jeff Lebo [1875],,118,648,51,789,1,640,43,942
Butler,Todd Lickliter [1905],,49,648,67,789,1,640,24,942
Fresno State,Jerry Tarkanian [3114],,108,648,71,789,32,640,72,942
North Carolina-Wilmington,Jerry Wainwright [3273],,116,648,142,789,32,640,68,942
Army,Pat Harris [1371],,21,648,153,789,188,640,242,942
Wichita State,Mark Turgeon [3206],,293,648,249,789,249,640,197,942
Baylor,Dave Bliss [274],,125,648,144,789,188,640,240,942
Eastern Michigan,Jim Boone [291],,206,648,299,789,312,640,199,942
Florida State,Steve Robinson [2731],,81,648,257,789,219,640,238,942
South Alabama,Bob Weltlich [3345],,237,648,8,789,63,640,89,942
Florida,Billy Donovan [853],,175,648,16,789,32,640,100,942
Alabama,Mark Gottfried [1234],,179,648,112,789,188,640,76,942
Georgia Southern,Jeff Price [2585],,170,648,43,789,1,640,94,942
Oregon State,Ritchie McKay [2133],,36,648,283,789,249,640,290,942
Rider,Don Harnum [1358],,299,648,92,789,219,640,66,942
Nevada-Las Vegas,Charles Spoonhour [3001],,104,648,140,789,63,640,93,942
Miami (FL),Perry Clark [577],,271,648,151,789,157,640,291,942
Navy,Don DeVoe [808],,10,648,177,789,32,640,20,942
San Jose State,Steve Barnes [147],,255,648,246,789,188,640,265,942
Montana State,Mick Durham [913],,229,648,147,789,94,640,266,942
Cal Poly,Kevin Bromley [358],,114,648,275,789,249,640,214,942
Boston College,Al Skinner [2941],,29,648,28,789,32,640,125,942
Idaho,Leonard Perry [2507],,115,648,270,789,219,640,224,942
Monmouth,Dave Calloway [460],,207,648,42,789,1,640,115,942
Virginia,Pete Gillen [1192],,79,648,21,789,125,640,132,942
Delaware State,Greg Jackson [1600],,156,648,194,789,94,640,130,942
St. John's (NY),Mike Jarvis [1620],,269,648,96,789,125,640,220,942
Duquesne,Danny Nee [2341],,60,648,286,789,274,640,219,942
Western Illinois,Jim Kerwin [1752],,74,648,240,789,219,640,223,942
Texas,Rick Barnes [145],,122,648,124,789,32,640,135,942
Valparaiso,Homer Drew [877],,46,648,29,789,32,640,129,942
Ball State,Tim Buckley [410],,202,648,36,789,188,640,121,942
Loyola (MD),Scott Hicks [1457],,302,648,277,789,274,640,295,942
Jacksonville,Hugh Durham [911],,218,648,114,789,63,640,151,942
Texas-El Paso,Jason Rabedeaux [2613],,254,648,91,789,1,640,80,942
Washington State,Paul Graham [1239],,33,648,282,789,188,640,292,942
Louisiana-Monroe,Mike Vining [3254],,311,648,200,789,157,640,211,942
Harvard,Frank Sullivan [3082],,41,648,167,789,157,640,138,942
Villanova,Jay Wright [3478],,165,648,202,789,188,640,91,942
Michigan,Tommy Amaker [53],,193,648,263,789,292,640,230,942
Georgia State,Lefty Driesell [883],,14,648,62,789,1,640,142,942
Arkansas,Nolan Richardson [2695],,177,648,126,789,125,640,156,942
Holy Cross,Ralph Willard [3392],,9,648,54,789,1,640,62,942
North Texas,Johnny Jones [1674],,242,648,300,789,304,640,206,942
Rice,Willis Wilson [3440],,257,648,224,789,219,640,233,942
Illinois State,Tom Richardson [2698],,286,648,152,789,94,640,163,942
St. Bonaventure,Jan Van Breda Kolff [3231],,56,648,165,789,125,640,157,942
Coastal Carolina,Pete Strickland [3070],,86,648,251,789,94,640,205,942
Maryland-Baltimore County,Tom Sullivan [3085],,243,648,109,789,94,640,84,942
Jacksonville State,Mike LaPlante [1852],,224,648,191,789,249,640,203,942
High Point,Jerry Steele [3025],,90,648,264,789,219,640,202,942
James Madison,Sherman Dillard [825],,133,648,175,789,157,640,289,942
Iowa,Steve Alford [34],,187,648,106,789,125,640,119,942
Charlotte,Bobby Lutz [1962],,273,648,57,789,1,640,17,942
Northern Iowa,Greg McDermott [2101],,292,648,265,789,274,640,241,942
Michigan State,Tom Izzo [1597],,107,648,97,789,32,640,10,942
Georgia Tech,Paul Hewitt [1450],,78,648,190,789,63,640,54,942
Texas Southern,Ronnie Courtney [671],,94,648,213,789,157,640,288,942
Indiana,Mike Davis [768],,188,648,35,789,157,640,35,942
Texas Christian,Billy Tubbs [3201],,258,648,53,789,125,640,33,942
Notre Dame,Mike Brey [343],,263,648,86,789,1,640,31,942
Cal State Northridge,Bobby Braswell [327],,31,648,105,789,1,640,12,942
Pittsburgh,Ben Howland [1540],,266,648,145,789,125,640,30,942
Central Michigan,Jay Smith [2961],,195,648,81,789,63,640,40,942
Howard,Frankie Allen [38],,160,648,180,789,219,640,175,942
Elon,Mark Simons [2931],,89,648,250,789,157,640,285,942
Lamar,Mike Deane [781],,313,648,127,789,274,640,178,942
Minnesota,Dan Monson [2251],,191,648,242,789,249,640,250,942
Youngstown State,John Robic [2727],,47,648,79,789,63,640,50,942
Hawaii,Riley Wallace [3288],,259,648,75,789,63,640,47,942
Citadel,Pat Dennis [796],,169,648,88,789,219,640,41,942
Fairfield,Tim O'Toole [2417],,300,648,181,789,125,640,177,942
Texas-San Antonio,Tim Carter [514],,307,648,83,789,94,640,6,942
Ohio State,Jim O'Brien [2391],,154,648,46,789,63,640,55,942
Niagara,Joe Mihalich [2201],,295,648,90,789,32,640,61,942
Montana,Don Holst [1517],,226,648,237,789,188,640,286,942
Manhattan,Bobby Gonzalez [1222],,297,648,129,789,63,640,59,942
Davidson,Bob McKillop [2136],,168,648,204,789,188,640,187,942
North Carolina,Matt Doherty [836],,70,648,33,789,32,640,53,942
Iowa State,Larry Eustachy [989],,119,648,47,789,94,640,39,942
Utah State,Stew Morrill [2270],,25,648,10,789,1,640,7,942
Texas A&M,Melvin Watkins [3316],,129,648,291,789,292,640,281,942
Florida A&M,Mike Gillespie [1195],,164,648,273,789,292,640,192,942
UCLA,Steve Lavin [1865],,15,648,2,789,63,640,75,942
Coppin State,Fang Mitchell [2233],,158,648,118,789,157,640,70,942
Sacramento State,Jerome Jenkins [1628],,230,648,285,789,249,640,313,942
Wake Forest,Skip Prosser [2599],,77,648,234,789,157,640,287,942
Lafayette,Fran O'Hanlon [2402],,22,648,44,789,157,640,198,942
Wright State,Ed Schilling [2839],,63,648,107,789,157,640,83,942
New Mexico,Fran Fraschilla [1113],,101,648,195,789,125,640,239,942
William & Mary,Rick Boyages [302],,136,648,123,789,219,640,200,942
Dartmouth,Dave Faucher [1019],,43,648,248,789,188,640,201,942
Lehigh,Sal Mentesana [2178],,19,648,214,789,94,640,274,942
Gonzaga,Mark Few [1033],,1,648,5,789,1,640,82,942
Eastern Washington,Ray Giacoletti [1180],,150,648,66,789,32,640,77,942
California,Ben Braun [328],,17,648,192,789,125,640,69,942
Canisius,Mike MacDonald [1972],,301,648,38,789,188,640,65,942
