Rank,Name,Won,Lost,Tied,Pct.
,Butler,8,10,2,0.450
,LSU,8,10,2,0.450
183,UAB,8,10,1,0.447
,UNC Wilmington,8,10,1,0.447
,Sacred Heart,8,10,1,0.447
,Loyola Chicago,8,10,1,0.447
187,Col. of Charleston,7,9,2,0.444
,Ohio St.,7,9,2,0.444
,Indiana St.,7,9,2,0.444
190,Grambling,9,12,0,0.429
191,Winthrop,8,11,1,0.425
,Western Ky.,7,10,3,0.425
,Eastern Mich.,8,11,1,0.425
,Central Mich.,7,10,3,0.425
,Birmingham-So.,8,11,1,0.425
,Miami (FL),8,11,1,0.425
,East Tenn. St.,8,11,1,0.425
198,Chattanooga,8,11,0,0.421
,George Mason,8,11,0,0.421
,Indiana,7,10,2,0.421
201,Louisiana Tech,7,10,0,0.412
,DePaul,5,8,4,0.412
203,East Carolina,8,12,1,0.405
,Auburn,8,12,1,0.405
205,Loyola Marymount,6,10,4,0.400
,Charleston So.,8,12,0,0.400
207,Drexel,7,11,1,0.395
,Virginia Tech,6,10,3,0.395
,St. John's (NY),6,10,3,0.395
,Quinnipiac,6,10,3,0.395
211,Richmond,5,9,4,0.389
212,Monmouth,5,9,3,0.382
213,IPFW,6,11,3,0.375
,FIU,4,8,4,0.375
215,Morehead St.,6,11,2,0.368
,Tennessee Tech,6,11,2,0.368
,VMI,7,12,0,0.368
218,Prairie View,5,9,0,0.357
,San Jose St.,6,12,3,0.357
220,TCU,6,11,0,0.353
,Brown,5,10,2,0.353
,American,5,10,2,0.353
223,Manhattan,6,12,2,0.350
,Radford,7,13,0,0.350
225,Centenary (LA),6,12,1,0.342
,Maryland,5,11,3,0.342
,Elon,5,11,3,0.342
,Northeastern,6,12,1,0.342
,San Diego,6,12,1,0.342
,Mercer,6,12,1,0.342
231,Akron,5,11,2,0.333
,Arkansas,6,12,0,0.333
,Buffalo,5,11,2,0.333
,Canisius,6,12,0,0.333
,Mt. St. Mary's,4,10,4,0.333
,Southern Miss.,4,9,2,0.333
,Northern Ill.,5,11,2,0.333
,Portland St.,5,11,2,0.333
,Providence,5,11,2,0.333
,South Carolina,6,12,0,0.333
,North Carolina St.,6,12,0,0.333
242,Wofford,5,12,3,0.325
243,McNeese St.,5,11,1,0.324
,La.-Lafayette,4,10,3,0.324
245,UC Irvine,5,12,2,0.316
,Mississippi St.,4,11,4,0.316
,Marist,5,12,2,0.316
,La Salle,5,12,2,0.316
249,Eastern Wash.,4,11,3,0.306
,Pittsburgh,4,11,3,0.306
,Sam Houston St.,5,12,1,0.306
,Stony Brook,5,12,1,0.306
253,Syracuse,4,12,4,0.300
,Troy,4,10,1,0.300
255,George Washington,5,12,0,0.294
256,Arkansas St.,5,13,1,0.289
257,Ark.-Pine Bluff,4,10,0,0.286
,Southern U.,4,10,0,0.286
259,Cincinnati,3,11,4,0.278
,Baylor,4,12,2,0.278
261,Idaho St.,4,12,1,0.265
,Belmont,4,12,1,0.265
263,Temple,4,13,2,0.263
,Iowa,3,12,4,0.263
265,Alabama St.,4,13,1,0.250
,Hartford,4,13,1,0.250
,IUPUI,3,11,2,0.250
,San Francisco,4,14,2,0.250
,Howard,4,13,1,0.250
270,Lafayette,2,11,4,0.235
,Wagner,3,12,2,0.235
272,Southeastern La.,3,11,1,0.233
273,Robert Morris,3,13,2,0.222
274,Air Force,4,16,1,0.214
275,Montana,3,13,1,0.206
276,Rider,3,15,2,0.200
277,South Carolina St.,3,13,0,0.188
278,UALR,3,15,1,0.184
,Ga. Southern,3,15,1,0.184
280,Ohio,3,14,0,0.176
281,Holy Cross,3,15,0,0.167
282,Idaho,3,16,0,0.158
283,Alcorn,2,12,0,0.143
284,Nicholls St.,2,13,0,0.133
285,St. Bonaventure,2,15,0,0.118
286,Saint Peter's,2,16,0,0.111
,Marshall,2,16,0,0.111
288,Citadel,2,17,0,0.105
289,Eastern Ky.,1,14,1,0.094
290,Tulane,1,11,0,0.083
291,Washington,0,17,3,0.075
,Youngstown St.,1,18,1,0.075
293,Texas Southern,1,13,0,0.071
294,UNI,1,16,0,0.059
295,Texas Tech,1,18,0,0.053
,Albany (NY),1,18,0,0.053
297,Delaware St.,0,14,1,0.033
298,Lipscomb,0,18,1,0.026
,Cleveland St.,0,18,1,0.026
NR,Kennesaw St.,13,4,1,0.750
NR,North Dakota St.,11,5,1,0.676
NR,North Florida,8,8,2,0.500
NR,Northern Colo.,7,9,2,0.444
NR,Longwood,7,9,1,0.441
NR,Francis Marion,5,9,1,0.367
NR,UC Davis,5,10,3,0.361
NR,South Dakota St.,5,12,1,0.306
