Rank,Name,Won,Lost,Tied,Pct.
1,North Carolina,27,0,0,1.000
2,Cal Poly,18,2,2,0.864
3,UCLA,20,2,3,0.860
4,Notre Dame,20,3,1,0.854
5,Utah,16,2,2,0.850
6,Portland,18,3,2,0.826
7,Penn St.,19,3,3,0.820
8,SMU,17,3,2,0.818
,Denver,18,4,0,0.818
10,Southeastern La.,15,2,4,0.810
11,Florida,19,4,2,0.800
12,Central Conn. St.,16,3,3,0.795
13,Boston College,15,3,3,0.786
,Fla. Atlantic,16,4,1,0.786
15,West Virginia,17,4,2,0.783
16,Colorado,15,4,1,0.775
17,Illinois,16,4,2,0.773
18,Hofstra,13,3,3,0.763
,Maine,13,3,3,0.763
20,Navy,17,5,1,0.761
21,UCF,16,5,1,0.750
,Tennessee,17,5,2,0.750
23,Kansas,18,6,1,0.740
24,Oakland,15,5,1,0.738
,Auburn,14,4,3,0.738
26,Princeton,11,3,3,0.735
27,Furman,15,5,2,0.727
,Georgia St.,16,6,0,0.727
,Stephen F. Austin,15,5,2,0.727
30,Oklahoma St.,15,5,3,0.717
31,UAB,13,5,1,0.711
32,Santa Clara,14,4,6,0.708
33,North Texas,15,6,1,0.705
,Saint Louis,14,5,3,0.705
35,Villanova,15,5,5,0.700
,Hawaii,13,5,2,0.700
37,Ole Miss,15,6,2,0.696
38,Samford,12,4,5,0.690
,Arizona St.,13,5,3,0.690
,Pepperdine,14,6,1,0.690
,Ohio St.,13,5,3,0.690
42,UConn,15,6,3,0.688
,Brown,10,4,2,0.688
44,Dayton,14,6,2,0.682
45,Appalachian St.,12,5,3,0.675
,Kent St.,12,5,3,0.675
47,Purdue,14,6,3,0.674
,William & Mary,14,6,3,0.674
49,BYU,16,7,3,0.673
,Florida St.,17,8,1,0.673
51,East Tenn. St.,12,6,0,0.667
,UNC Greensboro,15,7,2,0.667
,Virginia,12,5,4,0.667
54,Texas A&M,13,6,3,0.659
,Duke,14,7,1,0.659
56,DePaul,14,7,2,0.652
57,Drake,13,7,0,0.650
,Jacksonville St.,11,5,4,0.650
,Oral Roberts,12,6,2,0.650
60,Western Ky.,11,6,2,0.632
,Sacred Heart,10,5,4,0.632
,George Washington,11,6,2,0.632
63,Boston U.,12,6,5,0.630
,Western Mich.,14,8,1,0.630
65,Southeast Mo. St.,10,5,5,0.625
,UNC Asheville,11,6,3,0.625
,UC Irvine,10,5,5,0.625
,Illinois St.,11,6,3,0.625
69,Middle Tenn.,12,7,2,0.619
,Creighton,11,6,4,0.619
,UC Santa Barbara,11,6,4,0.619
72,Penn,9,5,3,0.618
73,Nebraska,13,8,1,0.614
,Eastern Ill.,11,6,5,0.614
75,Delaware,10,6,3,0.605
,Chattanooga,10,6,3,0.605
,Campbell,11,7,1,0.605
78,Michigan St.,12,8,0,0.600
,Fordham,11,7,2,0.600
,Ball St.,11,7,2,0.600
,Clemson,11,7,2,0.600
,Col. of Charleston,11,7,2,0.600
,VCU,10,6,4,0.600
,Tulane,11,7,2,0.600
,Rider,11,7,2,0.600
86,Stetson,11,7,3,0.595
,UC Riverside,11,7,3,0.595
,Xavier,12,8,1,0.595
,Washington,11,7,3,0.595
