Darrell Dickey [475]: (0.026978254433886295, 0.40767345546105943) -- 5
Ruffin McNeill [1236]: (0.03757060298046866, 0.6395025677512386) -- 2
Steve Roberts [1557]: (0.043020963187930306, 0.3267744125894993) -- 9
Bobby Ross [1589]: (0.04721677433034155, 0.5386921655167837) -- 3
Rick Minter [1283]: (0.048171948649097796, 0.6501039134198677) -- 2
Carl Franks [648]: (0.048171948649097796, 0.6501039134198677) -- 2
Rickey Bustle [228]: (0.04950697859545705, 0.33326042799702604) -- 9
Dan Enos [571]: (0.04981386696945589, 0.4754440410718094) -- 4
Ron Caragher [260]: (0.054369825897646495, 0.9056301741023535) -- 1
Morris Watts [1937]: (0.05712844658730171, 0.9083887947920086) -- 1
Dave Christensen [304]: (0.0617132316241466, 0.44240843265131974) -- 5
Mario Cristobal [392]: (0.06802172773840082, 0.4155473096326452) -- 6
Steve Fairchild [590]: (0.06869751799084006, 0.49432769209319355) -- 4
Brian Cabral [233]: (0.07016814522537762, 0.9214284934300846) -- 1
Ron Turner [1869]: (0.0706563704973599, 0.4962865445997134) -- 4
Bobby Wallace [1915]: (0.0710080126153409, 0.4966381867176944) -- 4
Charlie Weatherbie [1939]: (0.07281624165891729, 0.39456241056176067) -- 7
Lance Guidry [739]: (0.07428167765424065, 0.6762136424250106) -- 2
Chuck Long [1115]: (0.07700835197834993, 0.568483743164792) -- 3
Mark Snyder [1719]: (0.07941454163140704, 0.4601097426585802) -- 5
Paul Wulff [2028]: (0.08550424067991569, 0.5111344147822692) -- 4
Mike MacIntyre [1133]: (0.08804381701182096, 0.5795192081982631) -- 3
Ruffin McNeil [1235]: (0.08979032013562344, 0.6917222849063933) -- 2
Dave Doeren [494]: (0.09173989996755622, 0.6936718647383262) -- 2
Ken Hatfield [803]: (0.09269050209272162, 0.5183206761950752) -- 4
Howard Schnellenberger [1639]: (0.09373079601710668, 0.3946967784024916) -- 8
Mike Sanford [1616]: (0.09602186252586642, 0.47671706355303956) -- 5
Bryan Harsin [791]: (0.10236982589764654, 0.9536301741023535) -- 1
Scott Shafer [1655]: (0.10236982589764654, 0.9536301741023535) -- 1
Mark Stoops [1769]: (0.10236982589764654, 0.9536301741023535) -- 1
Todd Berry [125]: (0.10279799933478814, 0.4503235812290325) -- 6
Everett Withers [2007]: (0.10378159060352887, 0.9550419388082358) -- 1
