Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Bill Barnes [82],,54,89,19,126,57,48
Wake Forest,Paul Amen [27],,60,89,31,126,57,48
New Mexico,Marv Levy [1093],,52,89,55,126,73,48
William & Mary,Milt Drewer [521],,68,89,93,126,98,48
Dartmouth,Bob Blackman [146],,64,89,36,126,85,48
West Texas A&M,Clark Jarnagin [936],,89,89,111,126,109,48
California,Pete Elliott [558],,92,89,87,126,109,48
Cincinnati,George Blackburn [144],,84,89,77,126,78,48
Tennessee,Bowden Wyatt [2029],,24,89,4,126,28,48
Detroit Mercy,Jim Miller [1273],,64,89,85,126,68,48
Yale,Jordan Olivar [1402],,67,89,66,126,88,48
Mississippi,John Vaught [1889],,8,89,2,126,1,48
Clemson,Frank Howard [888],,27,89,11,126,25,48
Purdue,Jack Mollenkopf [1289],,80,89,26,126,35,48
Virginia Tech,Frank Moseley [1315],,64,89,83,126,68,48
Kansas State,Bernard Mertes [1254],,90,89,97,126,94,48
Wyoming,Bob Devaney [468],,10,89,43,126,57,48
Kansas,Jack Mitchell [1285],,68,89,59,126,53,48
Penn State,Rip Engle [567],,10,89,9,126,18,48
Furman,Robert King [1016],,60,89,98,126,94,48
Cornell,George James [929],,71,89,54,126,94,48
Missouri,Dan Devine [469],,58,89,35,126,41,48
Oregon,Len Casanova [275],,16,89,40,126,13,48
Pacific,Moose Myers [1342],,75,89,89,126,79,48
Vanderbilt,Arthur Guepe [738],,17,89,30,126,8,48
Wisconsin,Milt Bruhn [213],,61,89,27,126,37,48
Colorado State,Tuffy Mullison [1325],,55,89,63,126,62,48
Colgate,Alva Kelley [982],,74,89,103,126,98,48
Duke,Bill Murray [1334],,81,89,41,126,53,48
Brigham Young,Tally Stevens [1746],,79,89,88,126,85,48
Washington,Jim Owens [1414],,9,89,16,126,8,48
Illinois,Ray Eliot [553],,77,89,21,126,19,48
Arizona State,Frank Kush [1054],,10,89,50,126,1,48
Rutgers,John Stiegman [1754],,9,89,96,126,1,48
Princeton,Richard Colman [345],,73,89,76,126,91,48
Marquette,Liz Blackbourn [143],,93,89,81,126,81,48
Arizona,Jim LaRue [1070],,78,89,91,126,88,48
Kentucky,Blanton Collier [339],,22,89,22,126,25,48
Air Force,Ben Martin [1157],,66,89,23,126,53,48
Utah,Ray Nagel [1345],,48,89,90,126,68,48
Georgia,Wallace Butts [230],,8,89,7,126,1,48
Nebraska,William Jennings [943],,88,89,47,126,98,48
Hardin-Simmons,Sammy Baugh [98],,83,89,94,126,94,48
Syracuse,Ben Schwartzwalder [1644],,1,89,3,126,1,48
Army,Dale Hall [752],,58,89,62,126,44,48
South Carolina,Warren Giese [688],,60,89,5,126,31,48
Wichita State,Woody Woodard [2015],,84,89,84,126,91,48
Baylor,John Bridgers [186],,27,89,78,126,28,48
Florida State,Perry Moss [1319],,59,89,74,126,62,48
Alabama,Bear Bryant [215],,9,89,33,126,19,48
Florida,Bob Woodruff [2016],,19,89,52,126,23,48
Tulsa,Robert Dobbs [488],,78,89,45,126,62,48
Oregon State,Tommy Prothro [1497],,88,89,60,126,103,48
Texas Tech,DeWitt Weaver [1941],,31,89,72,126,35,48
Miami (FL),Andy Gustafson [741],,23,89,18,126,28,48
Navy,Wayne Hardin [773],,29,89,49,126,41,48
San Jose State,Robert Titchenal [1847],,77,89,44,126,81,48
Maryland,Thomas Nugent [1378],,60,89,24,126,44,48
New Mexico State,Warren Woodson [2020],,78,89,53,126,68,48
Boston College,Mike Holovak [871],,69,89,48,126,48,48
West Virginia,Art Lewis [1095],,76,89,58,126,73,48
George Washington,Bo Sherman [1675],,90,89,106,126,103,48
Idaho,Skip Stahley [1731],,87,89,109,126,109,48
Virginia,Richard Voris [1898],,69,89,111,126,103,48
Texas,Darrell Royal [1597],,9,89,13,126,8,48
Dayton,William Kerr [996],,83,89,95,126,88,48
Texas-El Paso,Ben Collins [340],,85,89,86,126,103,48
Northwestern,Ara Parseghian [1430],,71,89,20,126,38,48
Southern California,Don Clark [314],,53,89,6,126,1,48
Oklahoma State,Cliff Speegle [1726],,74,89,68,126,57,48
Washington State,Jim Sutherland [1791],,21,89,67,126,15,48
Virginia Military Institute,John McKenna [1220],,6,89,69,126,19,48
Harvard,John Yovicsin [2044],,75,89,28,126,1,48
Auburn,Ralph Jordan [970],,15,89,25,126,22,48
Villanova,Francis Reagan [1519],,79,89,108,126,85,48
Michigan,Bump Elliott [556],,90,89,38,126,44,48
North Carolina State,Earle Edwards [549],,72,89,99,126,62,48
Pennsylvania,Steve Sebo [1650],,9,89,37,126,8,48
Louisiana State,Paul Dietzel [483],,14,89,1,126,8,48
Colorado,Everett Grandelius [719],,74,89,46,126,48,48
Tulane,Andy Pilney [1466],,25,89,65,126,31,48
Arkansas,Frank Broyles [211],,9,89,17,126,13,48
Holy Cross,Edward Anderson [33],,70,89,56,126,83,48
Southern Methodist,Bill Meek [1246],,21,89,51,126,25,48
North Texas,Odus Mitchell [1286],,71,89,71,126,73,48
Rice,Jess Neely [1350],,32,89,104,126,57,48
Stanford,Jack Curtice [422],,73,89,80,126,62,48
Columbia,Aldo Donelli [502],,77,89,73,126,98,48
Richmond,Edwin Merrick [1250],,80,89,92,126,91,48
Iowa,Forest Evashevski [583],,85,89,39,126,41,48
Brown,John McLaughry [1224],,77,89,70,126,103,48
Michigan State,Duffy Daugherty [437],,84,89,15,126,31,48
Georgia Tech,Bobby Dodd [492],,21,89,8,126,23,48
Indiana,Phil Dickens [472],,90,89,42,126,53,48
Texas Christian,Abe Martin [1156],,20,89,12,126,15,48
Notre Dame,Joe Kuharich [1053],,86,89,14,126,39,48
Pittsburgh,John Michelosen [1264],,56,89,10,126,17,48
Minnesota,Murray Warmath [1925],,95,89,57,126,48,48
Houston,Hal Lahar [1059],,61,89,75,126,76,48
Citadel,Eddie Teague [1817],,12,89,79,126,68,48
Ohio State,Woody Hayes [812],,91,89,29,126,48,48
Montana,Ray Jenkins [939],,82,89,107,126,113,48
Mississippi State,Wade Walker [1914],,24,89,111,126,31,48
Oklahoma,Bud Wilkinson [1979],,61,89,34,126,39,48
Davidson,Davidson_UNKNOWN_COACH,,69,89,110,126,103,48
North Carolina,James Hickey [838],,58,89,32,126,48,48
Denver,John Roning [1582],,79,89,100,126,83,48
Iowa State,Clay Stapleton [1735],,67,89,64,126,44,48
Boston University,Steve Sinko [1693],,82,89,82,126,109,48
Utah State,John Ralston [1514],,63,89,102,126,76,48
Xavier,Edward Doherty [495],,66,89,101,126,79,48
Trinity (Texas),Trinity (Texas)_UNKNOWN_COACH,,83,89,105,126,98,48
Texas A&M,Jim Myers [1341],,32,89,61,126,62,48
