Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Terry Donahue [501],,13,100,11,122,14,55
Wake Forest,Al Groh [737],,73,100,65,122,76,55
William & Mary,Jimmye Laycock [1076],,64,100,107,122,97,55
New Mexico,Joe Lee Dunn [535],,92,100,59,122,54,55
West Texas A&M,West Texas A&M_UNKNOWN_COACH,,72,100,113,122,111,55
Southern Mississippi,Jim Carmody [267],,62,100,63,122,39,55
Indiana State,Indiana State_UNKNOWN_COACH,,15,100,81,122,11,55
California,Joe Kapp [973],,98,100,67,122,72,55
Cincinnati,Watson Brown [209],,67,100,52,122,72,55
Tennessee,Johnny Majors [1142],,46,100,29,122,8,55
Memphis,Rex Dockery [491],,65,100,64,122,43,55
Mississippi,Billy Brewer [181],,75,100,40,122,59,55
Purdue,Leon Burtnett [227],,25,100,99,122,24,55
Clemson,Danny Ford [640],,9,100,35,122,6,55
Virginia Tech,Bill Dooley [507],,57,100,51,122,24,55
Temple,Bruce Arians [47],,69,100,72,122,76,55
Drake,Drake_UNKNOWN_COACH,,67,100,109,122,108,55
Kansas State,Jim Dickey [477],,67,100,54,122,56,55
Wyoming,Al Kincaid [1008],,91,100,41,122,57,55
Kansas,Mike Gottfried [713],,45,100,45,122,54,55
Penn State,Joe Paterno [1433],,62,100,13,122,19,55
Long Beach State,Dave Currey [420],,110,100,56,122,1,55
Northern Illinois,Bill Mallory [1144],,24,100,16,122,24,55
Cal State Fullerton,Gene Murphy [1331],,103,100,47,122,81,55
Louisville,Bob Weber [1945],,71,100,94,122,47,55
Missouri,Warren Powers [1486],,24,100,12,122,39,55
Texas-Arlington,Texas-Arlington_UNKNOWN_COACH,,15,100,88,122,47,55
East Carolina,Ed Emory [566],,11,100,39,122,36,55
Oregon,Rich Brooks [195],,103,100,46,122,106,55
Miami (OH),Tim Rose [1588],,51,100,44,122,68,55
Pacific,Bob Cope [358],,113,100,82,122,104,55
Bowling Green State,Dennis Stolz [1765],,26,100,31,122,30,55
Vanderbilt,George MacIntyre [1132],,73,100,92,122,61,55
Wisconsin,Dave McClain [1187],,19,100,23,122,21,55
Colorado State,Leon Fuller [662],,97,100,80,122,72,55
Duke,Steve Sloan [1695],,69,100,89,122,68,55
Brigham Young,LaVell Edwards [550],,7,100,8,122,1,55
Washington,Don James [928],,78,100,22,122,65,55
Illinois,Mike White [1964],,15,100,9,122,15,55
Louisiana-Lafayette,Sam Robertson [1559],,78,100,97,122,115,55
Arizona State,Darryl Rogers [1574],,92,100,61,122,76,55
Rutgers,Frank Burns [224],,77,100,103,122,95,55
Kent State,Dick Scesniak [1630],,53,100,111,122,85,55
Arizona,Larry Smith [1706],,96,100,25,122,68,55
Kentucky,Jerry Claiborne [311],,44,100,37,122,24,55
Air Force,Ken Hatfield [803],,14,100,36,122,58,55
Georgia,Vince Dooley [509],,3,100,2,122,8,55
Utah,Chuck Stobart [1760],,101,100,58,122,76,55
Nebraska,Tom Osborne [1408],,4,100,6,122,13,55
Fresno State,Jim Sweeney [1799],,111,100,74,122,97,55
Syracuse,Dick MacPherson [1137],,67,100,21,122,81,55
Army,Jim Young [2038],,79,100,108,122,90,55
Wichita State,Willie Jeffries [937],,72,100,49,122,106,55
South Carolina,Joe Morrison [1309],,55,100,77,122,65,55
Baylor,Grant Teaff [1816],,30,100,7,122,51,55
Eastern Michigan,Jim Harkema [777],,53,100,113,122,90,55
Florida State,Bobby Bowden [166],,45,100,32,122,33,55
Southern Illinois,Rey Dempsey [459],,9,100,68,122,1,55
Florida,Charley Pell [1446],,5,100,4,122,10,55
Alabama,Ray Perkins [1449],,63,100,24,122,21,55
Oregon State,Joe Avezzano [54],,101,100,104,122,97,55
Tulsa,John Cooper [355],,30,100,62,122,85,55
Texas Tech,Jerry Moore [1300],,78,100,42,122,111,55
Nevada-Las Vegas,Harvey Hyde [913],,108,100,53,122,95,55
Miami (FL),Howard Schnellenberger [1639],,4,100,5,122,11,55
