Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Babe Horrell [884],,5,45,51,79,1,16
Catholic,Catholic_UNKNOWN_COACH,,5,45,56,79,1,16
Wake Forest,D.C. Walker [1909],,30,45,84,79,26,16
Washington & Lee,Tex Tilson [1843],,88,45,90,79,93,16
New Mexico,Ted Shipkey [1679],,61,45,32,79,108,16
William & Mary,William & Mary_UNKNOWN_COACH,,70,45,37,79,89,16
Gonzaga,Puggy Hunton [906],,55,45,74,79,70,16
Dartmouth,Red Blaik [148],,48,45,85,79,73,16
California,Stub Allison [23],,72,45,95,79,62,16
Rhodes,Rhodes_UNKNOWN_COACH,,97,45,117,79,122,16
San Francisco,George Malley [1143],,6,45,34,79,1,16
Washburn,Elmer Holm [868],,115,45,66,79,115,16
Sewanee,Heck Clark [316],,80,45,110,79,94,16
Tennessee,Bob Neyland [1364],,10,45,20,79,12,16
Santa Clara,Buck Shaw [1661],,10,45,26,79,12,16
Detroit Mercy,Gus Dorais [512],,50,45,83,79,41,16
Yale,Ducky Pond [1481],,67,45,78,79,76,16
Mississippi,Harry Mehre [1247],,39,45,67,79,41,16
Purdue,Mal Elward [562],,39,45,46,79,26,16
Clemson,Jess Neely [1350],,12,45,16,79,22,16
Virginia Tech,Henry Redd [1520],,80,45,77,79,94,16
Temple,Fred Swan [1797],,87,45,105,79,73,16
Drake,Vee Green [727],,113,45,63,79,105,16
Wyoming,Dutch Witte [2009],,122,45,117,79,126,16
Kansas State,Wesley Fry [658],,96,45,42,79,49,16
Kansas,Gwinn Henry [827],,110,45,104,79,108,16
Penn State,Bob Higgins [842],,10,45,27,79,12,16
Furman,Furman_UNKNOWN_COACH,,93,45,89,79,97,16
Fordham,Jimmy Crowley [407],,25,45,17,79,36,16
New York University,Mal Stevens [1745],,43,45,91,79,41,16
Cornell,Carl Snavely [1715],,5,45,2,79,1,16
Missouri,Don Faurot [599],,44,45,5,79,32,16
Oregon,Tex Oliver [1404],,69,45,88,79,56,16
Creighton,Marchy Schwartz [1643],,107,45,81,79,111,16
Georgetown,Jack Hagerty [749],,6,45,52,79,1,16
Vanderbilt,Ray Morrison [1310],,61,45,107,79,86,16
Wisconsin,Harry Stuhldreher [1784],,75,45,100,79,62,16
Colorado State,Harry Hughes [900],,118,45,92,79,115,16
Colgate,Andrew Kerr [995],,68,45,109,79,76,16
Duke,Wallace Wade [1902],,29,45,9,79,1,16
Brigham Young,Edwin Kimball [1005],,79,45,79,79,67,16
Washington,James Phelan [1460],,66,45,82,79,49,16
Illinois,Robert Zuppke [2053],,61,45,15,79,56,16
Arizona State,Dixie Howell [890],,31,45,33,79,12,16
Princeton,Tad Wieman [1975],,10,45,31,79,12,16
Saint Mary's (CA),Slip Madigan [1139],,24,45,38,79,41,16
Marquette,Paddy Driscoll [522],,91,45,60,79,67,16
Carnegie Mellon,William Kern [994],,61,45,112,79,62,16
Arizona,Miles Casteel [279],,91,45,59,79,111,16
Kentucky,A.D. Kirwan [1023],,29,45,69,79,32,16
