Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Red Sanders [1613],,43,66,51,99,26,27
Wake Forest,D.C. Walker [1909],,4,66,43,99,10,27
Washington & Lee,George Barclay [78],,26,66,82,99,59,27
William & Mary,Rube McCray [1196],,77,66,53,99,66,27
New Mexico,Dudley DeGroot [455],,100,66,95,99,114,27
Dartmouth,DeOrmond McLaughry [1223],,34,66,55,99,26,27
West Texas A&M,Frank Kimbrough [1006],,3,66,44,99,1,27
California,Pappy Waldorf [1908],,16,66,18,99,20,27
San Francisco,Joe Kuharich [1053],,34,66,27,99,35,27
Cincinnati,Cincinnati_UNKNOWN_COACH,,28,66,58,99,68,27
Tennessee,Bob Neyland [1364],,17,66,1,99,1,27
Chattanooga,Chattanooga_UNKNOWN_COACH,,96,66,106,99,91,27
Santa Clara,Richard Gallagher [670],,87,66,35,99,85,27
Detroit Mercy,Chuck Baer [59],,65,66,72,99,85,27
Yale,Herman Hickman [839],,30,66,33,99,29,27
Mississippi,John Vaught [1889],,96,66,24,99,85,27
Purdue,Stuart Holcomb [857],,90,66,62,99,53,27
Clemson,Frank Howard [888],,2,66,14,99,1,27
Virginia Tech,Robert McNeish [1237],,95,66,114,99,96,27
Temple,Al Kawal [976],,59,66,93,99,103,27
Drake,Warren Gaer [668],,62,66,89,99,91,27
Kansas State,Ralph Graham [717],,99,66,114,99,117,27
Wyoming,Bowden Wyatt [2029],,3,66,30,99,1,27
Kansas,Jules Sikes [1686],,58,66,64,99,41,27
Penn State,Rip Engle [567],,39,66,79,99,41,27
Furman,William Young [2042],,85,66,98,99,74,27
Fordham,Edward Danowski [432],,18,66,49,99,32,27
New York University,Hugh Devore [470],,55,66,114,99,111,27
Cornell,George James [929],,21,66,26,99,10,27
Missouri,Don Faurot [599],,38,66,67,99,35,27
Oregon,Jim Aiken [9],,108,66,114,99,101,27
Bradley,Bradley_UNKNOWN_COACH,,63,66,105,99,96,27
Pacific,Larry Siemering [1685],,51,66,73,99,79,27
Georgetown,Bob Margarita [1150],,85,66,99,99,96,27
Vanderbilt,Bill Edwards [548],,89,66,16,99,79,27
Wisconsin,Ivy Williamson [1989],,60,66,15,99,41,27
Colorado State,Robert Davis [447],,37,66,87,99,79,27
Colgate,Paul Bixler [142],,19,66,80,99,16,27
Duke,Wallace Wade [1902],,35,66,37,99,16,27
Brigham Young,Charles Atkinson [52],,51,66,110,99,117,27
Washington,Howard Odell [1394],,30,66,40,99,23,27
Illinois,Ray Eliot [553],,69,66,10,99,1,27
Arizona State,Edward Doherty [495],,20,66,61,99,74,27
Rutgers,Harvey Harman [780],,43,66,84,99,47,27
Princeton,Charles Caldwell [237],,2,66,19,99,1,27
Saint Mary's (CA),Joe Ruetz [1598],,89,66,102,99,96,27
Marquette,Liz Blackbourn [143],,74,66,68,99,47,27
Arizona,Robert Winslow [2002],,95,66,75,99,111,27
Kentucky,Bear Bryant [215],,12,66,3,99,10,27
Utah,Jack Curtice [422],,71,66,96,99,109,27
Georgia,Wallace Butts [230],,61,66,6,99,68,27
Nebraska,William Glassford [698],,27,66,60,99,20,27
Hardin-Simmons,Warren Woodson [2020],,62,66,41,99,71,27
Northern Arizona,Northern Arizona_UNKNOWN_COACH,,88,66,114,99,120,27
Syracuse,Ben Schwartzwalder [1644],,45,66,69,99,35,27
Army,Red Blaik [148],,18,66,11,99,1,27
Wichita State,Jim Trimble [1863],,59,66,63,99,79,27
South Carolina,Rex Enright [573],,76,66,70,99,63,27
Baylor,George Sauer [1621],,29,66,8,99,23,27
Alabama,Red Drew [520],,34,66,5,99,10,27
