Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,William Spaulding [1723],,78,52,16,77,40,24
Wake Forest,D.C. Walker [1909],,58,52,82,77,117,24
Washington & Lee,Tex Tilson [1843],,104,52,86,77,112,24
New Mexico,Ted Shipkey [1679],,47,52,22,77,61,24
William & Mary,William & Mary_UNKNOWN_COACH,,107,52,113,77,115,24
Gonzaga,Mike Pecarovich [1442],,101,52,113,77,80,24
Dartmouth,Red Blaik [148],,59,52,45,77,91,24
California,Stub Allison [23],,28,52,6,77,13,24
San Francisco,George Malley [1143],,43,52,113,77,46,24
Washburn,Elmer Holm [868],,69,52,111,77,101,24
Sewanee,Heck Clark [316],,65,52,113,77,85,24
Tennessee,Bob Neyland [1364],,2,52,2,77,1,24
Santa Clara,Buck Shaw [1661],,47,52,36,77,40,24
Detroit Mercy,Gus Dorais [512],,57,52,44,77,35,24
Yale,Ducky Pond [1481],,98,52,54,77,106,24
Mississippi,Harry Mehre [1247],,28,52,46,77,13,24
Purdue,Mal Elward [562],,30,52,26,77,28,24
Clemson,Jess Neely [1350],,5,52,33,77,6,24
Virginia Tech,Henry Redd [1520],,104,52,101,77,113,24
Temple,Pop Warner [1926],,45,52,77,77,51,24
Drake,Vee Green [727],,74,52,40,77,64,24
Kansas State,Wesley Fry [658],,64,52,53,77,85,24
Wyoming,Dutch Witte [2009],,108,52,94,77,85,24
Kansas,Adrian Lindsey [1103],,62,52,73,77,80,24
Penn State,Bob Higgins [842],,51,52,52,77,76,24
Furman,Furman_UNKNOWN_COACH,,96,52,113,77,123,24
Fordham,Jimmy Crowley [407],,20,52,20,77,28,24
New York University,Mal Stevens [1745],,40,52,105,77,40,24
Cornell,Carl Snavely [1715],,35,52,25,77,85,24
Missouri,Don Faurot [599],,43,52,34,77,13,24
Oregon,Tex Oliver [1404],,91,52,12,77,51,24
Creighton,Marchy Schwartz [1643],,31,52,89,77,55,24
Georgetown,Jack Hagerty [749],,3,52,42,77,1,24
Vanderbilt,Ray Morrison [1310],,37,52,41,77,9,24
Wisconsin,Harry Stuhldreher [1784],,44,52,19,77,35,24
Colorado State,Harry Hughes [900],,111,52,113,77,85,24
Colgate,Andrew Kerr [995],,59,52,91,77,91,24
Duke,Wallace Wade [1902],,25,52,10,77,13,24
Brigham Young,Edwin Kimball [1005],,108,52,66,77,1,24
Washington,James Phelan [1460],,92,52,4,77,55,24
Illinois,Robert Zuppke [2053],,48,52,104,77,40,24
Arizona State,Dixie Howell [890],,68,52,113,77,68,24
Princeton,Tad Wieman [1975],,86,52,67,77,101,24
Saint Mary's (CA),Slip Madigan [1139],,27,52,15,77,35,24
Carnegie Mellon,William Kern [994],,18,52,9,77,18,24
Marquette,Paddy Driscoll [522],,82,52,92,77,91,24
Arizona,Orian Landreth [1064],,82,52,87,77,68,24
Kentucky,A.D. Kirwan [1023],,81,52,113,77,113,24
Georgia,Joel Hunt [903],,69,52,70,77,72,24
Utah,Ike Armstrong [48],,48,52,32,77,59,24
Nebraska,Biff Jones [958],,51,52,74,77,28,24
Northern Arizona,Garrett Arbelbide [44],,80,52,107,77,64,24
Syracuse,Ossie Solem [1720],,59,52,21,77,80,24
Army,William Wood [2014],,63,52,29,77,98,24
Wichita State,Wichita State_UNKNOWN_COACH,,51,52,100,77,99,24
South Carolina,Rex Enright [573],,64,52,93,77,119,24
Baylor,Morley Jennings [942],,47,52,64,77,46,24
Florida,Josh Cody [328],,88,52,88,77,80,24
Alabama,Frank Thomas [1827],,5,52,3,77,6,24
Oregon State,Lon Stiner [1758],,75,52,18,77,18,24
Tulsa,Vic Hurt [907],,97,52,80,77,68,24
Texas Tech,Pete Cawthon [286],,22,52,23,77,40,24
Miami (FL),Jack Harding [774],,41,52,57,77,68,24
Navy,Hank Hardwick [775],,85,52,30,77,107,24
Maryland,Frank Dobson [490],,102,52,97,77,111,24
New Mexico State,Gerald Hines [849],,39,52,37,77,62,24
West Virginia,Marshall Glenn [701],,44,52,51,77,51,24
Boston College,Gilmour Dobie [489],,17,52,68,77,28,24
George Washington,George Washington_UNKNOWN_COACH,,53,52,79,77,76,24
Idaho,Ted Bank [72],,96,52,17,77,58,24
Virginia,Frank Murray [1335],,98,52,69,77,108,24
Duquesne,Clipper Smith [1698],,85,52,90,77,120,24
Texas,Dana Bible [132],,105,52,102,77,85,24
Texas-El Paso,Mack Saxon [1626],,37,52,47,77,64,24
Northwestern,Pappy Waldorf [1908],,43,52,13,77,18,24
Southern California,Howard Jones [962],,37,52,1,77,9,24
Oklahoma State,Ted Cox [376],,105,52,113,77,104,24
Virginia Military Institute,Virginia Military Institute_UNKNOWN_COACH,,45,52,59,77,108,24
Washington State,O.E. Hollingbery [864],,95,52,43,77,57,24
Harvard,Dick Harlow [779],,85,52,58,77,99,24
Auburn,Jack Meagher [1243],,96,52,65,77,24,24
Villanova,Villanova_UNKNOWN_COACH,,3,52,50,77,1,24
North Carolina State,North Carolina State_UNKNOWN_COACH,,84,52,78,77,115,24
Michigan,Fritz Crisler [391],,29,52,27,77,28,24
Pennsylvania,George Munger [1327],,61,52,81,77,104,24
Colorado,Bunny Oakes [1392],,99,52,60,77,80,24
Louisiana State,Bernie Moore [1298],,61,52,55,77,28,24
Tulane,Red Dawson [449],,8,52,35,77,9,24
Arkansas,Fred Thomsen [1835],,104,52,106,77,51,24
Holy Cross,Edward Anderson [33],,17,52,24,77,24,24
Southern Methodist,Madison Bell [109],,90,52,48,77,40,24
Rice,Jimmy Kitts [1025],,88,52,63,77,35,24
Stanford,Tiny Thornhill [1837],,93,52,31,77,46,24
Columbia,Lou Little [1107],,97,52,39,77,97,24
Chicago,Clark Shaughnessy [1659],,88,52,113,77,101,24
Richmond,Glenn Thistlethwaite [1826],,71,52,72,77,110,24
Iowa,Irl Tubbs [1866],,80,52,108,77,95,24
Brown,DeOrmond McLaughry [1223],,88,52,71,77,95,24
Michigan State,Charlie Bachman [56],,53,52,38,77,46,24
Georgia Tech,William Alexander [15],,44,52,96,77,18,24
