Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,William Spaulding [1723],,45,32,85,56,44,15
Wake Forest,F.S. Miller [1270],,87,32,88,56,97,15
Washington & Lee,Eugene Oberst [1393],,80,32,86,56,85,15
Dartmouth,Jack Cannell [258],,53,32,23,56,77,15
California,Nibs Price [1493],,21,32,4,56,12,15
Sewanee,W.H. Kirkpatrick [1022],,62,32,88,56,97,15
Tennessee,Bob Neyland [1364],,4,32,22,56,1,15
Colorado College,W.T. VandeGraaff [1885],,43,32,20,56,17,15
Washington & Jefferson,William Amos [29],,32,32,88,56,56,15
Detroit Mercy,Gus Dorais [512],,33,32,18,56,48,15
Yale,Mal Stevens [1745],,65,32,32,56,63,15
Mississippi,Homer Hazel [816],,63,32,88,56,97,15
Purdue,James Phelan [1460],,4,32,9,56,1,15
Clemson,Josh Cody [328],,66,32,67,56,80,15
Grinnell,Lester Watt [1936],,51,32,60,56,1,15
Virginia Tech,Andy Gustafson [741],,77,32,70,56,80,15
Drake,Ossie Solem [1720],,48,32,56,56,63,15
Kansas State,Bo McMillin [1231],,81,32,34,56,30,15
Wyoming,George McLaren [1222],,71,32,88,56,56,15
Kansas,Bill Hargiss [776],,80,32,59,56,63,15
Penn State,Hugo Bezdek [130],,30,32,41,56,60,15
Fordham,Frank Cavanaugh [285],,5,32,88,56,1,15
New York University,New York University_UNKNOWN_COACH,,30,32,12,56,56,15
Cornell,Gilmour Dobie [489],,48,32,77,56,80,15
Missouri,Gwinn Henry [827],,66,32,30,56,60,15
Regis (CO),Regis (CO)_UNKNOWN_COACH,,71,32,74,56,38,15
Oregon,John McEwan [1206],,52,32,38,56,42,15
Creighton,Creighton_UNKNOWN_COACH,,77,32,66,56,77,15
Georgetown,Lou Little [1107],,28,32,51,56,52,15
Vanderbilt,Dan McGugin [1210],,37,32,36,56,38,15
Wisconsin,Glenn Thistlethwaite [1826],,71,32,28,56,42,15
Colorado State,Harry Hughes [900],,42,32,52,56,25,15
Colgate,Andrew Kerr [995],,45,32,50,56,44,15
Duke,Jimmy DeHart [456],,73,32,65,56,92,15
Brigham Young,Ott Romney [1581],,43,32,53,56,12,15
Washington,Enoch Bagshaw [61],,68,32,88,56,48,15
Illinois,Robert Zuppke [2053],,43,32,17,56,1,15
Northern Colorado,William Saunders [1624],,66,32,68,56,17,15
Princeton,Princeton_UNKNOWN_COACH,,80,32,88,56,85,15
Marquette,Frank Murray [1335],,70,32,63,56,80,15
Carnegie Mellon,Walter Steffen [1742],,24,32,40,56,25,15
Kentucky,Harry Gamage [672],,37,32,42,56,70,15
Georgia,Harry Mehre [1247],,56,32,6,56,60,15
Utah,Ike Armstrong [48],,4,32,7,56,1,15
Nebraska,Dana Bible [132],,19,32,49,56,25,15
Syracuse,Lew Andreas [39],,44,32,75,56,63,15
Army,Biff Jones [958],,62,32,81,56,70,15
South Carolina,Billy Laval [1073],,80,32,72,56,92,15
Baylor,Morley Jennings [942],,8,32,58,56,12,15
Colorado Mines,George Allen [17],,64,32,73,56,30,15
Alabama,Wallace Wade [1902],,52,32,21,56,63,15
Florida,Florida_UNKNOWN_COACH,,68,32,10,56,38,15
Oregon State,Paul Schissler [1635],,45,32,16,56,44,15
Navy,William Ingram [920],,25,32,33,56,70,15
Montana State,Schubert Dyche [539],,60,32,55,56,52,15
Maryland,Curley Byrd [231],,78,32,79,56,94,15
West Virginia,Rat Rogers [1577],,33,32,62,56,52,15
Idaho,Leo Calland [246],,54,32,61,56,48,15
Virginia,Earl Abell [2],,75,32,82,56,85,15
Texas,Clyde Littlefield [1108],,27,32,47,56,12,15
Western State,Stewart Clark [318],,71,32,83,56,35,15
Northwestern,Dick Hanley [766],,71,32,8,56,38,15
Southern California,Howard Jones [962],,20,32,1,56,17,15
Oklahoma State,Pappy Waldorf [1908],,50,32,76,56,70,15
Washington State,O.E. Hollingbery [864],,24,32,43,56,21,15
Virginia Military Institute,Virginia Military Institute_UNKNOWN_COACH,,56,32,48,56,77,15
Harvard,Harvard_UNKNOWN_COACH,,63,32,15,56,35,15
Auburn,George Bohler [159],Red Floyd [634],74,32,88,56,85,15
Michigan,Harry Kipke [1020],,61,32,11,56,30,15
North Carolina State,Gus Tebell [1818],,92,32,80,56,94,15
Pennsylvania,Lou Young [2039],,31,32,31,56,63,15
Louisiana State,Russ Cohen [331],,57,32,69,56,94,15
Colorado,Myron Witham [2006],,7,32,29,56,12,15
Arkansas,Fred Thomsen [1835],,27,32,54,56,17,15
Tulane,Bernie Bierman [137],,4,32,14,56,1,15
Southern Methodist,Ray Morrison [1310],,4,32,44,56,1,15
Rice,Jack Meagher [1243],,29,32,88,56,25,15
Stanford,Pop Warner [1926],,21,32,3,56,1,15
Columbia,Charles Crowley [406],,64,32,88,56,85,15
Chicago,Amos Alonzo Stagg [1730],,64,32,64,56,44,15
Iowa,Burton Ingwersen [921],,43,32,25,56,30,15
Brown,DeOrmond McLaughry [1223],,73,32,84,56,80,15
Michigan State,Jimmy Crowley [407],,65,32,78,56,52,15
Georgia Tech,William Alexander [15],,61,32,24,56,70,15
Indiana,Pat Page [1420],,71,32,37,56,48,15
Texas Christian,Francis Schmidt [1638],,5,32,27,56,1,15
Notre Dame,Knute Rockne [1568],,4,32,2,56,1,15
Pittsburgh,Jock Sutherland [1792],,19,32,5,56,21,15
Minnesota,Clarence Spears [1725],,57,32,13,56,35,15
Ohio State,Sam Willaman [1980],,65,32,19,56,25,15
Montana,Frank Millburn [1269],,63,32,88,56,56,15
Mississippi State,J.W. Hancock [764],,77,32,88,56,97,15
Oklahoma,Adrian Lindsey [1103],,79,32,57,56,70,15
Davidson,Monk Younger [2043],,88,32,71,56,85,15
North Carolina,Chuck Collins [342],,42,32,26,56,63,15
Denver,Jeff Cravath [383],,32,32,45,56,21,15
Iowa State,C. Noel Workman [2023],,85,32,46,56,85,15
Utah State,Utah State_UNKNOWN_COACH,,52,32,35,56,30,15
Washington (MO),Albert Sharpe [1657],,78,32,87,56,70,15
Texas A&M,Madison Bell [109],,27,32,39,56,21,15
