Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Jim Mora [1302],,66,121,25,143,20,58
Middle Tennessee State,Rick Stockstill [1762],,34,121,73,143,69,58
Wake Forest,Jim Grobe [736],,88,121,80,143,91,58
New Mexico,Bob Davie [440],,109,121,109,143,121,58
Southern Mississippi,Ellis Johnson [950],,111,121,121,143,113,58
California,Jeff Tedford [1819],,74,121,77,143,109,58
Cincinnati,Butch Jones [959],Steve Stripling [1777],62,121,23,143,47,58
Troy,Larry Blakeney [150],,79,121,90,143,78,58
Tennessee,Jim Chaney [293],Derek Dooley [508],21,121,78,143,39,58
Memphis,Justin Fuente [660],,101,121,99,143,91,58
Texas State,Dennis Franchione [645],,101,121,107,143,122,58
Mississippi,Hugh Freeze [652],,19,121,76,143,32,58
Purdue,Patrick Higgins [843],Danny Hope [878],66,121,87,143,54,58
Clemson,Dabo Swinney [1801],,13,121,11,143,11,58
Virginia Tech,Frank Beamer [102],,87,121,48,143,61,58
Temple,Steve Addazio [6],,84,121,72,143,61,58
Alabama-Birmingham,Garrick McGee [1207],,109,121,113,143,109,58
Kansas State,Bill Snyder [1716],,7,121,18,143,11,58
Wyoming,Dave Christensen [304],,98,121,103,143,109,58
Kansas,Charlie Weis [1949],,92,121,121,143,99,58
Penn State,Bill O'Brien [1382],,47,121,33,143,28,58
Northern Illinois,Rod Carey [261],Dave Doeren [494],18,121,35,143,11,58
Buffalo,Jeff Quinn [1504],,69,121,102,143,95,58
Boise State,Chris Petersen [1452],,39,121,36,143,32,58
Louisville,Charlie Strong [1779],,64,121,5,143,1,58
Missouri,Gary Pinkel [1467],,19,121,65,143,32,58
East Carolina,Ruffin McNeill [1236],,71,121,89,143,85,58
Oregon,Chip Kelly [986],,3,121,12,143,8,58
Miami (OH),Don Treadwell [1860],,66,121,93,143,99,58
Bowling Green State,Dave Clawson [320],,36,121,84,143,65,58
Vanderbilt,James Franklin [647],,16,121,57,143,30,58
Marshall,Doc Holliday [863],,93,121,96,143,88,58
South Florida,Skip Holtz [877],,84,121,74,143,65,58
Wisconsin,Barry Alvarez [25],Bret Bielema [136],50,121,28,143,32,58
Akron,Terry Bowden [167],,83,121,121,143,109,58
Colorado State,Jim McElwain [1203],,96,121,104,143,113,58
Duke,David Cutcliffe [426],,83,121,69,143,78,58
Brigham Young,Bronco Mendenhall [1249],,47,121,39,143,54,58
Washington,Steve Sarkisian [1618],,69,121,13,143,47,58
Illinois,Tim Beckman [104],,70,121,112,143,61,58
Louisiana-Lafayette,Mark Hudspeth [895],,65,121,68,143,47,58
Arizona State,Todd Graham [718],,59,121,60,143,36,58
Florida International,Mario Cristobal [392],,90,121,111,143,82,58
Florida Atlantic,Carl Pelini [1445],,92,121,98,143,119,58
Rutgers,Kyle Flood [633],,75,121,20,143,25,58
Kent State,Darrell Hazell [817],,31,121,34,143,24,58
Connecticut,Paul Pasqualoni [1432],,89,121,14,143,91,58
Arizona,Rich Rodriguez [1573],,57,121,31,143,39,58
Kentucky,Joker Phillips [1462],,54,121,79,143,78,58
Air Force,Troy Calhoun [241],,105,121,95,143,99,58
Georgia,Mark Richt [1548],,6,121,6,143,4,58
