Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Rick Neuheisel [1357],,64,118,50,153,38,72
Middle Tennessee State,Rick Stockstill [1762],,35,118,69,153,67,72
Wake Forest,Jim Grobe [736],,64,118,55,153,54,72
New Mexico,Mike Locksley [1111],,96,118,116,153,104,72
Southern Mississippi,Larry Fedora [603],,80,118,73,153,76,72
California,Jeff Tedford [1819],,59,118,29,153,30,72
Cincinnati,Brian Kelly [985],Jeff Quinn [1504],5,118,11,153,10,72
Troy,Larry Blakeney [150],,30,118,63,153,45,72
Tennessee,Lane Kiffin [1002],,48,118,49,153,40,72
Memphis,Tommy West [1955],,92,118,111,153,88,72
Mississippi,Houston Nutt [1380],,49,118,34,153,4,72
Purdue,Danny Hope [878],,89,118,12,153,95,72
Clemson,Dabo Swinney [1801],,41,118,20,153,15,72
Virginia Tech,Frank Beamer [102],,17,118,16,153,15,72
Temple,Al Golden [704],,33,118,65,153,88,72
Alabama-Birmingham,Neil Callaway [247],,85,118,86,153,83,72
Wyoming,Dave Christensen [304],,16,118,82,153,58,72
Kansas State,Bill Snyder [1716],,64,118,80,153,114,72
Kansas,Mark Mangino [1147],,69,118,77,153,30,72
Penn State,Joe Paterno [1433],,12,118,22,153,10,72
Northern Illinois,Jerry Kill [1004],,103,118,74,153,88,72
Buffalo,Turner Gill [692],,99,118,93,153,95,72
Boise State,Chris Petersen [1452],,2,118,4,153,1,72
Louisville,Steve Kragthorpe [1042],,43,118,89,153,71,72
Missouri,Gary Pinkel [1467],,48,118,59,153,23,72
East Carolina,Skip Holtz [877],,64,118,51,153,67,72
Oregon,Chip Kelly [986],,16,118,7,153,4,72
Miami (OH),Michael Haywood [815],,111,118,114,153,110,72
Bowling Green State,Dave Clawson [320],,90,118,72,153,88,72
Vanderbilt,Bobby Johnson [946],,59,118,117,153,71,72
Marshall,Mark Snyder [1719],,84,118,67,153,78,72
Wisconsin,Bret Bielema [136],,20,118,27,153,10,72
South Florida,Jim Leavitt [1083],,37,118,46,153,30,72
Akron,J.D. Brookhart [194],,105,118,110,153,104,72
Colorado State,Steve Fairchild [590],,74,118,96,153,107,72
Duke,David Cutcliffe [426],,70,118,83,153,58,72
Brigham Young,Bronco Mendenhall [1249],,7,118,30,153,25,72
Washington,Steve Sarkisian [1618],,69,118,24,153,45,72
Louisiana-Lafayette,Rickey Bustle [228],,67,118,91,153,113,72
Illinois,Ron Zook [2052],,91,118,92,153,104,72
Arizona State,Dennis Erickson [576],,67,118,84,153,43,72
Florida International,Mario Cristobal [392],,77,118,105,153,112,72
Florida Atlantic,Howard Schnellenberger [1639],,66,118,94,153,88,72
Rutgers,Greg Schiano [1634],,34,118,54,153,58,72
Kent State,Doug Martin [1159],,105,118,88,153,107,72
Connecticut,Randy Edsall [547],,40,118,43,153,27,72
Arizona,Mike Stoops [1770],,57,118,10,153,33,72
Kentucky,Rich Brooks [195],,53,118,53,153,67,72
Air Force,Troy Calhoun [241],,20,118,66,153,54,72
Georgia,Mark Richt [1548],,51,118,23,153,42,72
Utah,Kyle Whittingham [1969],,8,118,52,153,27,72
Nebraska,Bo Pelini [1444],,33,118,31,153,20,72
Fresno State,Pat Hill [847],,21,118,78,153,71,72
Syracuse,Doug Marrone [1154],,45,118,58,153,54,72
Army,Rich Ellerson [555],,80,118,107,153,99,72
South Carolina,Steve Spurrier [1728],,50,118,39,153,45,72
Baylor,Art Briles [188],,70,118,81,153,52,72
Eastern Michigan,Ron English [568],,116,118,120,153,120,72
Florida State,Bobby Bowden [166],,47,118,19,153,23,72
Alabama,Nick Saban [1608],,1,118,1,153,1,72
Florida,Urban Meyer [1259],,3,118,3,153,4,72
Oregon State,Mike Riley [1550],,35,118,33,153,36,72
Tulsa,Todd Graham [718],,89,118,104,153,78,72
Texas Tech,Mike Leach [1079],Ruffin McNeill [1236],59,118,42,153,15,72
Nevada-Las Vegas,Mike Sanford [1616],,29,118,97,153,71,72
Miami (FL),Randy Shannon [1656],,35,118,17,153,20,72
San Jose State,Dick Tomey [1853],,99,118,118,153,95,72
Navy,Ken Niumatalolo [1368],,35,118,47,153,20,72
Maryland,Ralph Friedgen [654],,84,118,76,153,83,72
New Mexico State,DeWayne Walker [1910],,100,118,112,153,102,72
Western Kentucky,David Elson [561],,82,118,119,153,118,72
West Virginia,Bill Stewart [1747],,40,118,25,153,50,72
Boston College,Frank Spaziani [1724],,75,118,32,153,38,72
Ohio,Frank Solich [1721],,87,118,61,153,83,72
San Diego State,Brady Hoke [856],,51,118,108,153,78,72
Idaho,Robb Akey [11],,84,118,71,153,76,72
Virginia,Al Groh [737],,77,118,75,153,78,72
Texas,Mack Brown [204],,3,118,15,153,4,72
Ball State,Stan Parrish [1429],,111,118,113,153,118,72
Texas-El Paso,Mike Price [1492],,98,118,70,153,99,72
