Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Terry Donahue [501],,13,143,76,187,30,84
Wake Forest,Chuck Mills [1278],,88,143,75,187,58,84
New Mexico,Bill Mondt [1291],,115,143,100,187,136,84
William & Mary,James Root [1584],,86,143,43,187,42,84
West Texas A&M,Gene Mayfield [1173],,122,143,37,187,139,84
Dartmouth,John Crouthamel [400],,10,143,68,187,16,84
Southern Mississippi,Bobby Collins [341],,91,143,92,187,113,84
Indiana State,Tom Harp [782],,134,143,114,187,105,84
California,Mike White [1964],,42,143,101,187,54,84
Cincinnati,Tony Mason [1166],,15,143,46,187,12,84
Tennessee,Bill Battle [97],,62,143,53,187,42,84
Chattanooga,Joe Morrison [1309],,69,143,91,187,77,84
Memphis,Richard Williamson [1990],,73,143,51,187,47,84
Yale,Carmen Cozza [377],,5,143,35,187,7,84
Mississippi,Ken Cooper [356],,77,143,20,187,67,84
Purdue,Alex Agase [7],,92,143,32,187,36,84
Clemson,Red Parker [1426],,82,143,81,187,72,84
Virginia Tech,Jimmy Sharpe [1658],,85,143,63,187,56,84
Temple,Wayne Hardin [773],,83,143,104,187,91,84
Drake,Jack Wallace [1917],,125,143,119,187,136,84
Wyoming,Fred Akers [10],,110,143,57,187,105,84
Kansas State,Ellis Rainsberger [1513],,79,143,90,187,62,84
Kansas,Bud Moore [1299],,55,143,22,187,23,84
Penn State,Joe Paterno [1433],,25,143,74,187,47,84
Northwestern State,A.L. Williams [1981],,121,143,61,187,130,84
Furman,Art Baker [65],,92,143,39,187,12,84
Long Beach State,Wayne Howard [889],,38,143,109,187,121,84
Northern Illinois,Pat Culpepper [412],,137,143,132,187,130,84
Cal State Fullerton,Jim Colletto [338],,52,143,140,187,134,84
Cornell,George Seifert [1652],,18,143,67,187,113,84
Louisville,Vince Gibson [686],,57,143,124,187,50,84
Missouri,Al Onofrio [1405],,57,143,1,187,24,84
Texas-Arlington,Harold Elliott [557],,124,143,31,187,117,84
East Carolina,Pat Dye [540],,45,143,34,187,38,84
Oregon,Don Read [1518],,55,143,118,187,67,84
Miami (OH),Dick Crum [409],,132,143,89,187,82,84
Pacific,Chester Caddas [234],,107,143,138,187,136,84
Bowling Green State,Don Nehlen [1352],,128,143,55,187,84,84
Vanderbilt,Fred Pancoast [1423],,77,143,122,187,47,84
Marshall,Frank Ellwood [560],,132,143,84,187,72,84
Wisconsin,John Jardine [934],,92,143,103,187,38,84
Akron,Akron_UNKNOWN_COACH,,69,143,94,187,96,84
Colorado State,Sarkis Arslanian [51],,116,143,79,187,121,84
Colgate,Frederick Dunlap [532],,8,143,117,187,99,84
Duke,Mike McGee [1208],,68,143,80,187,38,84
Brigham Young,LaVell Edwards [550],,78,143,30,187,110,84
Washington,Don James [928],,56,143,105,187,56,84
Illinois,Bob Blackman [146],,76,143,26,187,33,84
Louisiana-Lafayette,Augie Tammariello [1807],,55,143,33,187,7,84
Arizona State,Frank Kush [1054],,111,143,108,187,113,84
Rutgers,Frank Burns [224],,1,143,62,187,1,84
Kent State,Dennis Fitzgerald [626],,113,143,50,187,58,84
Connecticut,Connecticut_UNKNOWN_COACH,,58,143,142,187,110,84
Princeton,Robert Casciola [276],,17,143,120,187,105,84
Arizona,Jim Young [2038],,114,143,107,187,117,84
Kentucky,Fran Curci [417],,22,143,17,187,33,84
Air Force,Ben Martin [1157],,108,143,102,187,99,84
Utah,Tom Lovat [1121],,111,143,126,187,130,84
Georgia,Vince Dooley [509],,8,143,12,187,7,84
Nebraska,Tom Osborne [1408],,53,143,5,187,7,84
