Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Tommy Prothro [1497],,18,77,4,125,7,45
Wake Forest,William Tate [1811],,104,77,70,125,100,45
Tampa,Tampa_UNKNOWN_COACH,,74,77,113,125,36,45
New Mexico,Bill Weeks [1946],,72,77,113,125,116,45
William & Mary,Marv Levy [1093],,75,77,33,125,36,45
Dartmouth,Bob Blackman [146],,15,77,54,125,95,45
West Texas A&M,Joe Kerbel [992],,27,77,57,125,22,45
Southern Mississippi,Pie Vann [1887],,39,77,76,125,28,45
California,Ray Willsey [1992],,50,77,82,125,68,45
Cincinnati,Homer Rice [1545],,91,77,91,125,50,45
Tennessee,Doug Dickey [476],,13,77,11,125,9,45
Memphis,Billy Murphy [1329],,49,77,30,125,22,45
Yale,Carmen Cozza [377],,9,77,35,125,85,45
Mississippi,John Vaught [1889],,33,77,38,125,25,45
Purdue,Jack Mollenkopf [1289],,23,77,17,125,9,45
Clemson,Frank Howard [888],,63,77,29,125,85,45
Virginia Tech,Jerry Claiborne [311],,61,77,48,125,33,45
Kansas State,Vince Gibson [686],,94,77,98,125,100,45
Wyoming,Lloyd Eaton [544],,8,77,9,125,17,45
Kansas,Pepper Rodgers [1572],,70,77,43,125,42,45
Penn State,Joe Paterno [1433],,27,77,8,125,9,45
Furman,Robert King [1016],,83,77,100,125,81,45
Buffalo,Doc Urich [1874],,99,77,92,125,85,45
Cornell,Jack Musick [1337],,16,77,60,125,91,45
Louisville,Frank Camp [250],,96,77,74,125,95,45
Missouri,Dan Devine [469],,30,77,47,125,45,45
East Carolina,Clarence Stasavich [1737],,38,77,51,125,25,45
Oregon,Jerry Frei [653],,76,77,99,125,71,45
Miami (OH),Bo Schembechler [1631],,58,77,56,125,48,45
Pacific,Pacific_UNKNOWN_COACH,,34,77,106,125,109,45
Bowling Green State,Bob Gibson [684],,69,77,77,125,50,45
Marshall,Charlie Snyder [1718],,93,77,113,125,100,45
Vanderbilt,Bill Pace [1417],,82,77,83,125,85,45
Wisconsin,John Coatta [322],,97,77,113,125,85,45
Colorado State,Milo Lude [1125],,43,77,49,125,106,45
Colgate,Hal Lahar [1059],,102,77,113,125,119,45
Duke,Tom Harp [782],,98,77,37,125,95,45
Brigham Young,Tommy Hudspeth [896],,19,77,7,125,22,45
Washington,Jim Owens [1414],,78,77,10,125,64,45
Illinois,James Valek [1877],,60,77,88,125,54,45
Arizona State,Frank Kush [1054],,16,77,19,125,18,45
Rutgers,John Bateman [92],,99,77,110,125,118,45
Kent State,Leo Strang [1775],,77,77,64,125,91,45
Princeton,Richard Colman [345],,17,77,79,125,100,45
Arizona,Darrell Mudra [1323],,38,77,96,125,64,45
Kentucky,Charley Bradshaw [177],,61,77,93,125,39,45
Air Force,Ben Martin [1157],,87,77,102,125,71,45
Utah,Mike Giddings [687],,44,77,101,125,60,45
Georgia,Vince Dooley [509],,53,77,41,125,31,45
Nebraska,Bob Devaney [468],,41,77,25,125,48,45
Syracuse,Ben Schwartzwalder [1644],,38,77,14,125,58,45
Army,Thomas Cahill [236],,101,77,63,125,58,45
South Carolina,Paul Dietzel [483],,77,77,81,125,91,45
Wichita State,Boyd Converse [349],,100,77,89,125,109,45
Baylor,John Bridgers [186],,108,77,103,125,95,45
Southern Illinois,Southern Illinois_UNKNOWN_COACH,,92,77,84,125,100,45
Florida State,Bill Peterson [1453],,43,77,21,125,31,45
Florida,Ray Graves [722],,50,77,66,125,36,45
Alabama,Bear Bryant [215],,22,77,15,125,12,45
Tulsa,Glenn Dobbs [487],,95,77,42,125,28,45
Oregon State,Dee Andros [41],,31,77,1,125,1,45
Texas Tech,J. King [1013],,77,77,34,125,42,45
Miami (FL),Charlie Tate [1810],,42,77,20,125,15,45
Navy,William Elias [552],,102,77,12,125,57,45
San Jose State,Harry Anderson [36],,59,77,113,125,113,45
Maryland,Robert Ward [1923],,108,77,113,125,109,45
New Mexico State,Warren Woodson [2020],,7,77,40,125,20,45
Ohio,Bill Hess [834],,86,77,23,125,39,45
West Virginia,Jim Carlen [264],,64,77,69,125,60,45
Boston College,Jim Miller [1273],,108,77,73,125,71,45
Idaho,Steve Musseau [1338],,85,77,112,125,113,45
Virginia,George Blackburn [144],,103,77,87,125,71,45
Texas,Darrell Royal [1597],,89,77,5,125,45,45
Dayton,John McVay [1238],,80,77,59,125,4,45
Texas-El Paso,Robert Dobbs [488],,13,77,16,125,19,45
Northwestern,Alex Agase [7],,82,77,67,125,81,45
Southern California,John McKay [1215],,8,77,2,125,4,45
Oklahoma State,Phil Cutchin [425],,76,77,45,125,50,45
Washington State,Bert Clark [312],,88,77,65,125,100,45
Virginia Military Institute,Vito Ragazzo [1510],,74,77,61,125,68,45
Harvard,John Yovicsin [2044],,18,77,72,125,106,45
Auburn,Ralph Jordan [970],,48,77,55,125,33,45
Villanova,John Gregory [729],,83,77,75,125,77,45
Michigan,Bump Elliott [556],,71,77,80,125,77,45
North Carolina State,Earle Edwards [549],,37,77,18,125,12,45
Pennsylvania,Robert Odell [1395],,19,77,104,125,109,45
Louisiana State,Charles McClendon [1189],,31,77,3,125,16,45
Colorado,Eddie Crowder [402],,20,77,28,125,4,45
Arkansas,Frank Broyles [211],,95,77,68,125,54,45
Tulane,Jim Pittman [1470],,98,77,90,125,77,45
Holy Cross,Tom Boisture [160],,94,77,31,125,81,45
North Texas,Rod Rust [1604],,8,77,52,125,25,45
Southern Methodist,Hayden Fry [657],,106,77,50,125,60,45
Rice,Bo Hagan [747],,101,77,44,125,56,45
Stanford,John Ralston [1514],,63,77,46,125,60,45
Columbia,Aldo Donelli [502],,21,77,105,125,116,45
Western Michigan,Bill Doolittle [510],,33,77,62,125,42,45
Toledo,Frank Lauterbur [1072],,10,77,36,125,1,45
Richmond,Frank Jones [960],,66,77,58,125,64,45
Iowa,Ray Nagel [1345],,73,77,95,125,85,45
Brown,Leonard Jardine [935],,20,77,108,125,113,45
Michigan State,Duffy Daugherty [437],,50,77,97,125,71,45
