Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Bill Barnes [82],,29,111,32,128,35,61
Wake Forest,Billy Hildebrand [844],,109,111,51,128,45,61
William & Mary,Milt Drewer [521],,104,111,95,128,97,61
New Mexico,Bill Weeks [1946],,15,111,53,128,15,61
Dartmouth,Bob Blackman [146],,16,111,80,128,72,61
West Texas A&M,Joe Kerbel [992],,45,111,16,128,99,61
California,Marv Levy [1093],,77,111,93,128,90,61
Cincinnati,Charles Studley [1783],,80,111,73,128,93,61
Tennessee,Bowden Wyatt [2029],,67,111,41,128,50,61
Memphis,Billy Murphy [1329],,57,111,77,128,101,61
Detroit Mercy,Jim Miller [1273],,77,111,48,128,66,61
Yale,Jordan Olivar [1402],,25,111,100,128,77,61
Mississippi,John Vaught [1889],,9,111,18,128,10,61
Clemson,Frank Howard [888],,110,111,36,128,46,61
Purdue,Jack Mollenkopf [1289],,27,111,24,128,26,61
Virginia Tech,Jerry Claiborne [311],,102,111,71,128,64,61
Wyoming,Bob Devaney [468],,6,111,44,128,10,61
Kansas State,Doug Weaver [1942],,57,111,103,128,82,61
Kansas,Jack Mitchell [1285],,20,111,22,128,41,61
Penn State,Rip Engle [567],,88,111,14,128,10,61
Furman,Robert King [1016],,99,111,75,128,99,61
Cornell,Tom Harp [782],,28,111,86,128,79,61
Missouri,Dan Devine [469],,15,111,9,128,1,61
Oregon,Len Casanova [275],,64,111,57,128,31,61
Miami (OH),Miami (OH)_UNKNOWN_COACH,,33,111,87,128,70,61
Pacific,John Rohde [1579],,68,111,105,128,104,61
Vanderbilt,Arthur Guepe [738],,93,111,90,128,54,61
Wisconsin,Milt Bruhn [213],,27,111,13,128,29,61
Colorado State,Tuffy Mullison [1325],,72,111,109,128,112,61
Colgate,Alva Kelley [982],,32,111,59,128,22,61
Duke,Bill Murray [1334],,54,111,25,128,47,61
Brigham Young,Hal Mitchell [1284],,70,111,104,128,106,61
Washington,Jim Owens [1414],,70,111,55,128,33,61
Illinois,Pete Elliott [558],,53,111,109,128,59,61
Arizona State,Frank Kush [1054],,23,111,29,128,64,61
Rutgers,John Bateman [92],,1,111,46,128,1,61
Princeton,Richard Colman [345],,21,111,60,128,74,61
Arizona,Jim LaRue [1070],,8,111,21,128,1,61
Kentucky,Blanton Collier [339],,85,111,61,128,53,61
Air Force,Ben Martin [1157],,63,111,99,128,86,61
Georgia,Johnny Griffith [735],,90,111,67,128,38,61
Utah,Ray Nagel [1345],,18,111,19,128,30,61
Nebraska,William Jennings [943],,55,111,98,128,79,61
Hardin-Simmons,Howard McChesney [1186],,66,111,109,128,110,61
Syracuse,Ben Schwartzwalder [1644],,79,111,31,128,15,61
Army,Dale Hall [752],,74,111,34,128,56,61
Wichita State,Hank Foldberg [636],,58,111,37,128,97,61
South Carolina,Marvin Bass [91],,108,111,40,128,68,61
Baylor,John Bridgers [186],,33,111,10,128,44,61
Florida State,Bill Peterson [1453],,76,111,64,128,82,61
Alabama,Bear Bryant [215],,2,111,7,128,1,61
Florida,Ray Graves [722],,68,111,76,128,35,61
Tulsa,Glenn Dobbs [487],,70,111,102,128,106,61
Oregon State,Tommy Prothro [1497],,69,111,68,128,82,61
Texas Tech,J. King [1013],,50,111,15,128,43,61
Miami (FL),Andy Gustafson [741],,87,111,30,128,33,61
San Jose State,Robert Titchenal [1847],,73,111,52,128,62,61
Navy,Wayne Hardin [773],,81,111,28,128,15,61
Maryland,Thomas Nugent [1378],,107,111,23,128,1,61
New Mexico State,Warren Woodson [2020],,45,111,94,128,101,61
West Virginia,Gene Corum [365],,96,111,56,128,55,61
Boston College,Ernest Hefferle [819],,82,111,50,128,72,61
George Washington,Jim Camp [251],,101,111,78,128,95,61
Idaho,Skip Stahley [1731],,76,111,82,128,106,61
Virginia,William Elias [552],,109,111,45,128,66,61
Texas,Darrell Royal [1597],,8,111,3,128,1,61
Dayton,Stan Zajdel [2047],,83,111,81,128,95,61
Texas-El Paso,Ben Collins [340],,47,111,109,128,106,61
Northwestern,Ara Parseghian [1430],,31,111,65,128,35,61
Southern California,John McKay [1215],,61,111,88,128,58,61
Oklahoma State,Cliff Speegle [1726],,54,111,85,128,77,61
Virginia Military Institute,John McKenna [1220],,98,111,83,128,90,61
Washington State,Jim Sutherland [1791],,73,111,84,128,86,61
Harvard,John Yovicsin [2044],,12,111,63,128,26,61
Auburn,Ralph Jordan [970],,68,111,49,128,22,61
Villanova,Alex Bell [108],,67,111,42,128,68,61
Michigan,Bump Elliott [556],,22,111,17,128,22,61
North Carolina State,Earle Edwards [549],,108,111,70,128,50,61
Pennsylvania,John Stiegman [1754],,27,111,107,128,82,61
Colorado,Everett Grandelius [719],,12,111,8,128,31,61
Louisiana State,Paul Dietzel [483],,8,111,4,128,1,61
Arkansas,Frank Broyles [211],,10,111,5,128,15,61
Tulane,Andy Pilney [1466],,90,111,97,128,62,61
Holy Cross,Edward Anderson [33],,80,111,66,128,70,61
Southern Methodist,Bill Meek [1246],,57,111,79,128,59,61
North Texas,Odus Mitchell [1286],,66,111,101,128,104,61
Rice,Jess Neely [1350],,25,111,1,128,22,61
Stanford,Jack Curtice [422],,72,111,69,128,59,61
Columbia,Aldo Donelli [502],,8,111,54,128,10,61
Richmond,Edwin Merrick [1250],,86,111,74,128,93,61
Iowa,Jerry Burns [225],,26,111,35,128,28,61
Brown,John McLaughry [1224],,31,111,108,128,86,61
Michigan State,Duffy Daugherty [437],,23,111,20,128,15,61
Georgia Tech,Bobby Dodd [492],,60,111,12,128,15,61
Indiana,Phil Dickens [472],,35,111,92,128,38,61
Texas Christian,Abe Martin [1156],,36,111,2,128,38,61
Notre Dame,Joe Kuharich [1053],,50,111,27,128,48,61
Pittsburgh,John Michelosen [1264],,92,111,43,128,56,61
Minnesota,Murray Warmath [1925],,19,111,6,128,10,61
Houston,Hal Lahar [1059],,48,111,62,128,79,61
Citadel,Eddie Teague [1817],,75,111,58,128,86,61
Ohio State,Woody Hayes [812],,2,111,11,128,1,61
Montana,Ray Jenkins [939],,65,111,89,128,110,61
Mississippi State,Wade Walker [1914],,61,111,38,128,15,61
Oklahoma,Bud Wilkinson [1979],,47,111,26,128,50,61
