Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
UCLA,Bill Barnes [82],,21,63,13,105,6,31
Wake Forest,Billy Hildebrand [844],,93,63,83,105,109,31
New Mexico,Bill Weeks [1946],,79,63,84,105,76,31
William & Mary,Milt Drewer [521],,99,63,79,105,109,31
West Texas A&M,Joe Kerbel [992],,95,63,100,105,82,31
Dartmouth,Bob Blackman [146],,31,63,86,105,69,31
Southern Mississippi,Southern Mississippi_UNKNOWN_COACH,,27,63,99,105,76,31
California,Marv Levy [1093],,100,63,82,105,116,31
Cincinnati,George Blackburn [144],,69,63,90,105,59,31
Tennessee,Bowden Wyatt [2029],,16,63,11,105,6,31
Memphis,Billy Murphy [1329],,13,63,52,105,56,31
Detroit Mercy,Jim Miller [1273],,25,63,58,105,44,31
Yale,Jordan Olivar [1402],,2,63,40,105,1,31
Mississippi,John Vaught [1889],,1,63,10,105,1,31
Purdue,Jack Mollenkopf [1289],,36,63,6,105,32,31
Clemson,Frank Howard [888],,81,63,51,105,98,31
Virginia Tech,Frank Moseley [1315],,89,63,49,105,107,31
Kansas State,Doug Weaver [1942],,88,63,111,105,64,31
Wyoming,Bob Devaney [468],,26,63,42,105,64,31
Kansas,Jack Mitchell [1285],,21,63,5,105,14,31
Penn State,Rip Engle [567],,49,63,21,105,29,31
Furman,Robert King [1016],,82,63,92,105,101,31
Cornell,George James [929],,49,63,93,105,98,31
Missouri,Dan Devine [469],,11,63,7,105,18,31
Oregon,Len Casanova [275],,43,63,43,105,32,31
Miami (OH),Miami (OH)_UNKNOWN_COACH,,56,63,85,105,51,31
Pacific,Moose Myers [1342],,87,63,66,105,98,31
Vanderbilt,Arthur Guepe [738],,51,63,75,105,82,31
Wisconsin,Milt Bruhn [213],,35,63,25,105,29,31
Colorado State,Tuffy Mullison [1325],,105,63,111,105,93,31
Colgate,Alva Kelley [982],,50,63,107,105,93,31
Duke,Bill Murray [1334],,50,63,8,105,23,31
Brigham Young,Tally Stevens [1746],,108,63,95,105,109,31
Washington,Jim Owens [1414],,11,63,4,105,1,31
Illinois,Pete Elliott [558],,34,63,17,105,25,31
Arizona State,Frank Kush [1054],,88,63,50,105,64,31
Rutgers,John Bateman [92],,18,63,60,105,1,31
Princeton,Richard Colman [345],,10,63,57,105,6,31
Marquette,Liz Blackbourn [143],,75,63,78,105,87,31
Arizona,Jim LaRue [1070],,71,63,37,105,59,31
Kentucky,Blanton Collier [339],,38,63,69,105,44,31
Air Force,Ben Martin [1157],,57,63,62,105,69,31
Georgia,Wallace Butts [230],,34,63,38,105,42,31
Utah,Ray Nagel [1345],,37,63,33,105,35,31
Nebraska,William Jennings [943],,77,63,32,105,44,31
Hardin-Simmons,Howard McChesney [1186],,103,63,111,105,93,31
Syracuse,Ben Schwartzwalder [1644],,60,63,9,105,56,31
Army,Dale Hall [752],,61,63,19,105,47,31
South Carolina,Warren Giese [688],,86,63,80,105,101,31
Wichita State,Hank Foldberg [636],,15,63,59,105,6,31
Baylor,John Bridgers [186],,86,63,26,105,38,31
Florida State,Bill Peterson [1453],,56,63,88,105,82,31
Florida,Ray Graves [722],,24,63,22,105,18,31
Alabama,Bear Bryant [215],,9,63,20,105,11,31
Oregon State,Tommy Prothro [1497],,26,63,55,105,14,31
Tulsa,Robert Dobbs [488],,73,63,53,105,56,31
Texas Tech,DeWitt Weaver [1941],,89,63,98,105,69,31
Miami (FL),Andy Gustafson [741],,62,63,54,105,59,31
Navy,Wayne Hardin [773],,23,63,3,105,25,31
San Jose State,Robert Titchenal [1847],,95,63,63,105,101,31
Maryland,Thomas Nugent [1378],,74,63,56,105,76,31
New Mexico State,Warren Woodson [2020],,2,63,28,105,1,31
West Virginia,Gene Corum [365],,91,63,111,105,109,31
Boston College,Ernest Hefferle [819],,79,63,64,105,93,31
George Washington,William Elias [552],,50,63,48,105,64,31
Idaho,Skip Stahley [1731],,104,63,105,105,105,31
Virginia,Richard Voris [1898],,102,63,111,105,114,31
Texas,Darrell Royal [1597],,83,63,31,105,32,31
Dayton,Stan Zajdel [2047],,77,63,103,105,69,31
Texas-El Paso,Ben Collins [340],,80,63,87,105,69,31
Northwestern,Ara Parseghian [1430],,31,63,35,105,23,31
Southern California,John McKay [1215],,94,63,27,105,40,31
Oklahoma State,Cliff Speegle [1726],,84,63,67,105,51,31
Virginia Military Institute,John McKenna [1220],,26,63,47,105,59,31
Washington State,Jim Sutherland [1791],,99,63,73,105,93,31
Harvard,John Yovicsin [2044],,21,63,65,105,11,31
Auburn,Ralph Jordan [970],,14,63,18,105,14,31
Villanova,Alex Bell [108],,91,63,45,105,101,31
Michigan,Bump Elliott [556],,34,63,14,105,22,31
North Carolina State,Earle Edwards [549],,61,63,44,105,69,31
Pennsylvania,John Stiegman [1754],,40,63,102,105,82,31
Louisiana State,Paul Dietzel [483],,56,63,76,105,47,31
Colorado,Everett Grandelius [719],,66,63,34,105,40,31
Arkansas,Frank Broyles [211],,62,63,29,105,25,31
Tulane,Andy Pilney [1466],,90,63,91,105,76,31
Holy Cross,Edward Anderson [33],,71,63,68,105,64,31
North Texas,Odus Mitchell [1286],,92,63,111,105,87,31
Southern Methodist,Bill Meek [1246],,93,63,111,105,76,31
Rice,Jess Neely [1350],,80,63,24,105,29,31
Stanford,Jack Curtice [422],,110,63,110,105,117,31
Columbia,Aldo Donelli [502],,43,63,94,105,76,31
Richmond,Edwin Merrick [1250],,78,63,81,105,87,31
Iowa,Forest Evashevski [583],,10,63,2,105,11,31
Brown,John McLaughry [1224],,43,63,101,105,87,31
Michigan State,Duffy Daugherty [437],,17,63,15,105,18,31
Georgia Tech,Bobby Dodd [492],,40,63,16,105,25,31
Indiana,Phil Dickens [472],,38,63,104,105,35,31
Texas Christian,Abe Martin [1156],,84,63,39,105,35,31
Notre Dame,Joe Kuharich [1053],,79,63,74,105,114,31
Pittsburgh,John Michelosen [1264],,58,63,23,105,51,31
Minnesota,Murray Warmath [1925],,21,63,1,105,6,31
Houston,Hal Lahar [1059],,38,63,70,105,18,31
Hawaii,Hawaii_UNKNOWN_COACH,,102,63,108,105,107,31
Citadel,Eddie Teague [1817],,36,63,72,105,69,31
Ohio State,Woody Hayes [812],,22,63,12,105,14,31
Montana,Ray Jenkins [939],,95,63,96,105,82,31
Mississippi State,Wade Walker [1914],,51,63,71,105,51,31
Oklahoma,Bud Wilkinson [1979],,83,63,46,105,47,31
Davidson,Davidson_UNKNOWN_COACH,,82,63,89,105,105,31
North Carolina,James Hickey [838],,94,63,30,105,113,31
Denver,John Roning [1582],,104,63,61,105,87,31
Iowa State,Clay Stapleton [1735],,34,63,41,105,42,31
Boston University,Steve Sinko [1693],,73,63,97,105,59,31
Utah State,John Ralston [1514],,14,63,36,105,38,31
Xavier,Edward Doherty [495],,57,63,77,105,47,31
Trinity (Texas),Trinity (Texas)_UNKNOWN_COACH,,99,63,109,105,87,31
Texas A&M,Jim Myers [1341],,90,63,106,105,51,31
